,"This is a citation overview for a set of 7 documents.",,,,,,,,,,,,
,,,,,,,,,,,,,
,"h index = 3 (Of the 7 documents considered for the h-Index, 3 have been cited at least 3 times.)",,,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,<2010,2010,2011,2012,subtotal,>2012,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,24,13,15,5,33,0,57
2009,"Characterization of W1745C and S1783A: 2 Novel mutations causing defective collagen binding in the A3 domain of von Willebrand factor","Riddell A.F., Gomez K., Millar C.M., Mellars G., Gill S., Brown S.A., Sutherland M., Laffan M.A., McKinnon T.A.J.",00064971,"Blood",114, 16,0,3,7,4,14,0,14
2008,"Is VWF R924Q a benign polymorphism, a marker of a null allele or a factor VIII-binding defect? The debate continues with results from the UKHCDO VWD study","Lester W., Guilliatt A., Grundy P., Enayat S., Millar C., Hill F., Cumming T., Collins P.",03406245,"Thrombosis and Haemostasis",100, 4,2,1,0,0,1,0,3
2008,"Consideration of platelet function disorders in patients with reduced VWF levels","Millar C.M., Riddell A.F., Tuddenham E.G.",13518216,"Haemophilia",14, 5,0,0,0,0,0,0,0
2008,"Survival of von Willebrand factor released following DDAVP in a type I von Willebrand disease cohort: Influence of glycosylation, proteolysis and gene mutations","Millar C.M., Riddell A.F., Brown S.A., Starke R., Mackie I., Bowen D.J., Jenkins P.V., Van Mourik J.A.",03406245,"Thrombosis and Haemostasis",99, 5,9,6,5,0,11,0,20
2006,"Oligosaccharide structures of von Willebrand factor and their potential role in von Willebrand disease","Millar C.M., Brown S.A.",0268960X,"Blood Reviews",20, 2,9,3,2,1,6,0,15
2005,"The Y/C1584 mutation of von Willebrand factor in type 2M von Willebrand disease: Frequency and clearance of von Willebrand factor [4]","Millar C.M., Riddel A.F., Griffioe A., Jenkin P.V., Brown S.A.",00071048,"British Journal of Haematology",130, 3,3,0,0,0,0,0,3
2002,"Diabetes mellitus diagnosed following request for haemoglobin electrophoresis","Millar C.M., Phelan L., Bain B.J.",00071048,"British Journal of Haematology",117, 4,1,0,1,0,1,0,2
