,"This is a citation overview for a set of 195 documents.",,,,,,,,,,,,
,,,,,,,,,,,,,
,"h index = 47 (Of the 195 documents considered for the h-Index, 47 have been cited at least 47 times.)",,,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,2009,subtotal,>2009,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,7945,854,815,518,2187,0,10132
2009,"Decreased Sputum Mature Dendritic Cells in Healthy Smokers and Patients with Chronic Obstructive Pulmonary Disease","Tsoumakidou M., Bouloukaki I., Koutala H., Kouvidi K., Mitrouska I., Zakynthinos S., Tzanakis N., Jeffery P.K., Siafakas N.M.",10182438,"International Archives of Allergy and Immunology",150, 4,0,0,0,0,0,0,0
2009,"Montelukast and bronchial inflammation in asthma: A randomised, double-blind placebo-controlled trial","Ramsay C.F., Sullivan P., Gizycki M., Wang D., Swern A.S., Barnes N.C., Reiss T.F., Jeffery P.K.",09546111,"Respiratory Medicine",103, 7,0,0,0,0,0,0,0
2009,"Expression of blood dendritic cell antigens (BDCAs) by CD1a+ human pulmonary cells","Tsoumakidou M., Kemp S.J., Thorley A.J., Zhu J., Dewar A., Jeffery P.K., Tetley T.D.",09546111,"Respiratory Medicine",103, 6,0,0,0,0,0,0,0
2009,"Airway inflammation in patients with asthma with high-fixed or low-fixed plus as-needed budesonide/formoterol","Pavord I.D., Jeffery P.K., Qiu Y., Zhu J., Parker D., Carlsheimer A., Naya I., Barnes N.C.",00916749,"Journal of Allergy and Clinical Immunology",123, 5,0,0,0,0,0,0,0
2008,"Rhinovirus-induced lower respiratory illness is increased in asthma and related to virus load and Th1/2 cytokine and IL-10 production","Message S.D., Papi A., Jeffery P.K., Stanciu L.A., Johnston S.L., Laza-Stanca V., Mallia P., Parker H.L., Zhu J., Kebadze T., Contoli M., Sanderson G., Kon O.M.",00278424,"Proceedings of the National Academy of Sciences of the United States of America",105, 36,0,0,0,9,9,0,9
2008,"Nasal abnormalities in cystic fibrosis mice independent of infection and inflammation","Hilliard T.N., Alton E.W.F.W., Zhu J., Farley R., Escudero-Garcia S., Wainwright B.J., Jeffery P.K., Griesenbach U., Bush A., Davies J.C.",10441549,"American Journal of Respiratory Cell and Molecular Biology",39, 1,0,0,0,1,1,0,1
2008,"Dendritic cells in chronic obstructive pulmonary disease: New players in an old game","Tsoumakidou M., Demedts I.K., Brusselle G.G., Jeffery P.K.",1073449X,"American Journal of Respiratory and Critical Care Medicine",177, 11,0,0,0,10,10,0,10
2008,"Increased airway smooth muscle mass in children with asthma, cystic fibrosis, and non-cystic fibrosis bronchiectasis","Regamey N., Jeffery P.K., Davies J.C., Ochs M., Hilliard T.N., Muhlfeld C., Cornish N., Fleming L., Saglani S., Alton E.W.F.W., Bush A.",1073449X,"American Journal of Respiratory and Critical Care Medicine",177, 8,0,0,1,5,6,0,6
2008,"Authors' reply [2]","Qiu Y., Jeffery P.K.",00406376,"Thorax",63, 2,0,0,0,0,0,0,0
