,"This is a citation overview for a set of 96 documents.",,,,,,,,,,,,
,,,,,,,,,,,,,
,"h index = 31 (Of the 96 documents considered for the h-Index, 31 have been cited at least 31 times.)",,,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,<2010,2010,2011,2012,subtotal,>2012,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,2326,210,244,83,537,0,2863
2009,"The role of human endogenous retroviruses in melanoma","Singh S., Kaye S., Gore M.E., McClure M.O., Bunker C.B.",00070963,"British Journal of Dermatology",161, 6,2,3,4,0,7,0,9
2009,"P07-09. Contemporaneous transmission of genetically distinct HIV variants from a single donor to two recipients","English S., Weber J., McClure M., Phillips R., Frater J., Katzourakis A., Flanagan P., Duda A., Francis J., Matthews P., Prendergast A., Goulder P., Fidler S.",17424690,"Retrovirology",6, 3,0,0,0,0,0,0,0
2009,"Reductions in HIV transmission risk behaviour following diagnosis of primary HIV infection: A cohort of high-risk men who have sex with men","Fox J., White P.J., Macdonald N., Weber J., McClure M., Fidler S., Ward H.",14642662,"HIV Medicine",10, 7,0,4,7,7,18,0,18
2009,"Pgp3 antibody enzyme-linked immunosorbent assay, a sensitive and specific assay for seroepidemiological analysis of Chlamydia trachomatis infection","Wills G.S., Horner P.J., Reynolds R., Johnson A.M., Muir D.A., Brown D.W., Winston A., Broadbent A.J., Parker D., McClure M.O.",15566811,"Clinical and Vaccine Immunology",16, 6,0,1,5,0,6,0,6
2009,"Revisiting the past: Utilizing archival tissue for the detection and quantification of gene expression","Singh S., Kaye S., Francis N.D., Peston D., Gore M.E., McClure M.O., Bunker C.B.",00070963,"British Journal of Dermatology",160, 4,0,1,0,0,1,0,1
2009,"A one-step SYBR Green I-based product-enhanced reverse transcriptase assay for the quantitation of retroviruses in cell culture supernatants","Pizzato M., Erlwein O., Bonsall D., Kaye S., Muir D., McClure M.O.",01660934,"Journal of Virological Methods",156, 1-2,1,4,5,0,9,0,10
2009,"HLA-associated clinical progression correlates with epitope reversion rates in early human immunodeficiency virus infection","Duda A., Lee-Turner L., Fox J., Robinson N., Dustan S., Kaye S., Fryer H., Carrington M., McClure M., Mclean A.R., Fidler S., Weber J., Phillips R.E., Frater A.J., Breckenridge A., Conlon C., Cooper D., Conradie F., Kaldor J., Schechter M., Claydon P., Kaleebu P., Ramjee G., Ssali F., Tambussi G.",0022538X,"Journal of Virology",83, 3,4,6,7,0,13,0,17
2009,"Functional and structural characterization of the integrase from the prototype foamy virus","Valkov E., Gupta S.S., Hare S., Helander A., Roversi P., Mcclure M., Cherepanov P.",03051048,"Nucleic Acids Research",37, 1,4,11,16,3,30,0,34
