,"Author: Keun, Hector C.",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 20 (Of the 40 documents considered for the h-Index, 20 have been cited at least 20 times.)",,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,431,233,236,469,177,1077
2009,"Cluster analysis statistical spectroscopy using nuclear magnetic resonance generated metabolic data sets from perturbed biological systems","Robinette S.L., Nicholson J.K., Veselkov K.A., Bohus E., Coen M., Keun H.C., Ebbels T.M.D., Beckonert O., Holmes E.C., Lindon J.C.",00032700,"Analytical Chemistry",81, 16,0,0,0,0,0,0
2009,"Pivotal role for two electron reduction in 2,3-dimethoxy-1,4-naphthoquinone and 2-methyl-1,4-naphthoquinone metabolism and kinetics in vivo that prevents liver redox stress","Parry J.D., Luo J., Phillips K.M., Vetillard A., Lyon J.J., Keun H.C., Lutz W.K., Gant T.W., Pointon A.V., Lutz U., Teichert F., Charlwood J.K., Chan P.H., Athersuch T.J., Taylor E.L., Singh R.",0893228X,"Chemical Research in Toxicology",22, 4,0,0,0,0,0,0
2009,"Detection of metabolic alterations in non-tumor gastrointestinal tissue of the ApcMin/+ mouse by1H mas NMR spectroscopy","Backshall A., Alferez D., Teichert F., Wilson I.D., Wilkinson R.W., Goodlad R.A., Keun H.C.",15353893,"Journal of Proteome Research",8, 3,0,0,0,0,0,0
2009,"Citrate transport and metabolism in mammalian cells: Prostate epithelial cells and prostate cancer","Mycielska M.E., Patel A., Rizaner N., Mazurek M.P., Keun H., Patel A., Ganapathy V., Djamgoz M.B.A.",02659247,"BioEssays",31, 1,0,0,0,0,0,0
2009,"Metabolic profiling of human colorectal cancer using high-resolution magic angle spinning nuclear magnetic resonance (HR-MAS NMR) spectroscopy and gas chromatography mass spectrometry (GC/MS)","Chan E.C.Y., Koh P.K., Mal M., Cheah P.Y., Eu K.W., Backshall A., Cavill R., Nicholson J.K., Keun H.C.",15353893,"Journal of Proteome Research",8, 1,0,0,0,0,4,4
2009,"Genetic algorithms for simultaneous variable and sample selection in metabonomics","Cavill R., Keun H.C., Holmes E., Lindon J.C., Nicholson J.K., Ebbels T.M.D.",13674803,"Bioinformatics",25, 1,0,0,0,0,0,0
2008,"Temporal metabonomic modeling of L-arginine-lnduced exocrine pancreatitis","Bohus E., Coen M., Keun H.C., Ebbels T.M.D., Beckonert O., Lindon J.C., Holmes E., Noszal B., Nicholson J.K.",15353893,"Journal of Proteome Research",7, 10,0,0,0,0,1,1
2008,"Robust algorithms for automated chemical shift calibration of 1D 1H NMR spectra of blood serum","Pearce J.T.M., Athersuch T.J., Ebbels T.M.D., Lindon J.C., Nicholson J.K., Keun H.C.",00032700,"Analytical Chemistry",80, 18,0,0,0,0,1,1
2008,"The carcinoGENOMICS project: Critical selection of model compounds for the development of omics-based in vitro carcinogenicity screening assays","Vinken M., Castell J., Bort R., Donato T., Ryan M., Corvi R., Keun H., Ebbels T., Athersuch T., Sansone S.-A., Rocca-Serra P., Doktorova T., Stierum R., Jennings P., Pfaller W., Gmuender H., Vanhaecke T., Rogiers V., Ellinger-Ziegelbauer H., Ahr H.-J., Lock E., Carmichael P., Roggen E., van Delft J., Kleinjans J.",13835742,"Mutation Research - Reviews in Mutation Research",659, 3,0,0,0,0,1,1
2008,"Application of the FLIPSY pulse sequence for increased sensitivity in 1H NMR-based metabolic profiling studies","Lauridsen M., Maher A.D., Keun H., Lindon J.C., Nicholson J.K., Nyberg N.T., Hansen S.H., Cornett C., Jaroszewski J.W.",00032700,"Analytical Chemistry",80, 9,0,0,0,0,1,1
2008,"Heteronuclear 19F-1H statistical total correlation spectroscopy as a tool in drug metabolism: Study of flucloxacillin biotransformation","Keun H.C., Nicholson J.K., Athersuch T.J., Beckonert O., Wang Y., Saric J., Shockcor J.P., Lindon J.C., Wilson I.D., Holmes E.",00032700,"Analytical Chemistry",80, 4,0,0,3,3,6,9
2007,"Metabolic profiling, metabolomic and metabonomic procedures for NMR spectroscopy of urine, plasma, serum and tissue extracts.","Beckonert O., Keun H.C., Ebbels T.M., Bundy J., Holmes E., Lindon J.C., Nicholson J.K.",17502799,"Nature protocols",2, 11,0,0,21,21,23,44
2007,"Oncogenes meet metabolism. From deregulated genes to a broader understanding of tumour physiology. Preface.","Riefke B., Mumberg D., Kroemer G., Keun H., Petersen K., Steger-Hartmann T.",,"Ernst Schering Foundation symposium proceedings",, 4,0,0,0,0,0,0
2007,"Biomarker discovery for drug development and translational medicine using metabonomics.","Keun H.C.",,"Ernst Schering Foundation symposium proceedings",, 4,0,0,0,0,0,0
2007,"Prediction and classification of drug toxicity using probabilistic modeling of temporal metabolic data: The consortium on metabonomic toxicology screening approach","Ebbels T.M.D., Keun H.C., Beckonert O.P., Bollard M.E., Lindon J.C., Holmes E., Nicholson J.K.",15353893,"Journal of Proteome Research",6, 11,0,1,12,13,8,21
2007,"COMET and the challenge of drug safety screening","Nicholson J., Keun H., Ebbels T.",15353893,"Journal of Proteome Research",6, 11,0,0,0,0,2,2
2007,"Standard reporting requirements for biological samples in metabolomics experiments: Mammalian/in vivo experiments","Griffin J.L., Rubtsov D.V., Robertson D., Nicholls A.W., Daykin C.A., Heald S., Keun H.C., Schuppe-Koistinen I., Griffiths J.R., Cheng L.L., Rocca-Serra P.",15733882,"Metabolomics",3, 3,0,3,2,5,2,7
2007,"Application of metabonomics in drug development","Keun H.C., Athersuch T.J.",14622416,"Pharmacogenomics",8, 7,0,0,4,4,3,7
2007,"Metabolic profile biomarkers of metal contamination in a sentinel terrestrial species are applicable across multiple sites","Bundy J.G., Keun H.C., Sidhu J.K., Spurgeon D.J., Svendsen C., Kille P., Morgan A.J.",0013936X,"Environmental Science and Technology",41, 12,0,0,4,4,5,9
2007,"Direct quantitative trait locus mapping of mammalian metabolic phenotypes in diabetic and normoglycemic rat models","Dumas M.-E., Keun H.C., Baunsgaard D., Scott J., Sidelmann U.G., Nicholson J.K., Gauguier D., Wilder S.P., Bihoreau M.-T., Barton R.H., Fearnside J.F., Argoud K., D'Amato L., Wallis R.H., Blancher C.",10614036,"Nature Genetics",39, 5,0,4,16,20,9,29
2006,"Impact of analytical bias in metabonomic studies of human blood serum and plasma","Teahan O., Gamble S., Holmes E., Waxman J., Nicholson J.K., Bevan C., Keun H.C.",00032700,"Analytical Chemistry",78, 13,0,12,5,17,5,22
2006,"Metabolomic evaluation of rat liver and testis to characterize the toxicity of triazole fungicides","Ekman D.R., Keun H.C., Eads C.D., Furnish C.M., Murrell R.N., Rockett J.C., Dix D.J.",15733882,"Metabolomics",2, 2,0,3,1,4,4,8
