,"Author: Meeran, Professor Mohammed Karim;Meeran, Karim",,,,,,,,,,,,
,,,,,,,,,,,,,
,This is a citation overview for a set of 67 documents.,,,,,,,,,,,,
,,,,,,,,,,,,,
,"h index = 20 (Of the 67 documents considered for the h-Index, 20 have been cited at least 20 times.)",,,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,2009,subtotal,>2009,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,1394,218,206,137,561,0,1955
2009,Pituitary disorders,Meeran K.,13573039,Medicine,37,8,0,0,0,0,0,0,0
2009,Symptoms of endocrine disease,Meeran K.,13573039,Medicine,37,8,0,0,0,0,0,0,0
2009,The role of arterial stimulation and simultaneous venous sampling in addition to cross-sectional imaging for localisation of biochemically proven insulinoma,"Morganstein D.L., Jackson J., Isla A., Lynn J., Devendra D., Meeran K., Todd J.F.",9387994,European Radiology,, ,0,0,0,0,0,0,0
2009,Urinary monocyte chemoattractant protein-1 (MCP-1) and connective tissue growth factor (CCN2) as prognostic markers for progression of diabetic nephropathy,"Tam F.W.K., Riser B.L., Meeran K., Rambow J., Pusey C.D., Frankel A.H.",10434666,Cytokine,47,1,0,0,0,0,0,0,0
2009,High dose cabergoline therapy for a resistant macroprolactinoma during pregnancy,"Banerjee A., Wynne K., Tan T., Hatfield E.C., Martin N.M., Williamson C., Meeran K.",3000664,Clinical Endocrinology,70,5,0,0,0,0,0,0,0
2009,Day 5 morning serum cortisol predicts hypothalamic-pituitary-adrenal function after transsphenoidal surgery for pituitary tumors,"Jayasena C.N., Gadhvi K.A., Gohel B., Martin N.M., Mendoza N., Meeran K., Dhillo W.S.",99147,Clinical Chemistry,55,5,0,0,0,0,0,0,0
2009,Dopamine agonists and hyperprolactinaemia.,"Martin N.M., Tan T., Meeran K.",14685833,BMJ (Clinical research ed.),338, ,0,0,0,0,0,0,0
2009,Dopamine agonists and hyperprolactinaemia,"Martin N.M., Tan T., Meeran K.",9598146,BMJ,338,7694,0,0,0,0,0,0,0
2009,"MELAS syndrome, diabetes and thyroid disease: The role of mitochondrial oxidative stress","Tan T.M.M., Caputo C., Medici F., Pambakian A.L., Dornhorst A., Meeran K., Williams G.R., Khoo B.",3000664,Clinical Endocrinology,70,2,0,0,0,0,0,0,0
