,"Author: Gregory-Evans, Cheryl Y.",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 11 (Of the 34 documents considered for the h-Index, 11 have been cited at least 11 times.)",,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,515,86,70,156,41,712
2009,"Retinoblastoma Has Properties of a Cone Precursor Tumor and Depends Upon Cone-Specific MDM2 Signaling","Xu X.L., Cobrinik D., Fang Y., Lee T.C., Forrest D., Gregory-Evans C., Almeida D., Liu A., Jhanwar S.C., Abramson D.H.",00928674,"Cell",137, 6,0,0,0,0,2,2
2009,"Single choroideremia gene in nonmammalian vertebrates explains early embryonic lethality of the zebrafish model of choroideremia.","Moosajee M., Tulloch M., Baron R.A., Gregory-Evans C.Y., Pereira-Leal J.B., Seabra M.C.",15525783,"Investigative ophthalmology & visual science",50, 6,0,0,0,0,0,0
2009,"Ex vivo gene therapy using intravitreal injection of GDNF-secreting mouse embryonic stem cells in a rat model of retinal degeneration","Gregory-Evans K., Chang F., Hodges M.D., Gregory-Evans C.Y.",10900535,"Molecular Vision",15, ,0,0,0,0,0,0
2008,"Translational bypass of nonsense mutations in zebrafish rep1, pax2.1 and lamb1 highlights a viable therapeutic option for untreatable genetic eye disease","Moosajee M., Gregory-Evans K., Ellis C.D., Seabra M.C., Gregory-Evans C.Y.",09646906,"Human Molecular Genetics",17, 24,0,0,0,0,1,1
2008,"Systemic aminoglycoside treatment in rodent models of retinitis pigmentosa","Guerin K., Gregory-Evans C.Y., Hodges M.D., Moosajee M., Mackay D.S., Gregory-Evans K., Flannery J.G.",00144835,"Experimental Eye Research",87, 3,0,0,1,1,1,2
2007,"SNP genome scanning localizes oto-dental syndrome to chromosome 11q13 and microdeletions at this locus implicate FGF3 in dental and inner-ear disease and FADD in ocular coloboma","Gregory-Evans C.Y., Wackens G., Gregory-Evans K., Moosajee M., Hodges M.D., Mackay D.S., Game L., Vargesson N., Bloch-Zupan A., Ruschendorf F., Santos-Pinto L.",09646906,"Human Molecular Genetics",16, 20,0,0,1,1,1,2
