,"Authors: Best, Nicola G.; Best, G. Nicola",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 21 (Of the 52 documents considered for the h-Index, 21 have been cited at least 21 times.)",,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,935,342,518,860,428,2223
2009,"The role of biological fertility in predicting family size","Joffe M., Key J., Best N., Jensen T.K., Keiding N.",02681161,"Human Reproduction",24, 8,0,0,0,0,0,0
2009,"Bayesian graphical models for regression on multiple data sets with different variables","Jackson C.H., Best N.G., Richardson S.",14654644,"Biostatistics",10, 2,0,0,0,0,0,0
2008,"Use of space time models to investigate the stability of patterns of disease","Abellan J.J., Richardson S., Best N.",00916765,"Environmental Health Perspectives",116, 8,0,0,1,1,2,3
2008,"Generic reversible jump MCMC using graphical models","Lunn D.J., Best N., Whittaker J.C.",09603174,"Statistics and Computing",, ,0,0,0,0,0,0
2008,"Chlorination disinfection by-products and risk of congenital anomalies in England and Wales","Nieuwenhuijsen M.J., Dattani N., Fawell J., Briggs D., Jarup L., Elliott P., Toledano M.B., Bennett J., Best N., Hambly P., de Hoogh C., Wellesley D., Boyd P.A., Abramsky L.",00916765,"Environmental Health Perspectives",116, 2,0,0,2,2,1,3
2008,"Hierarchical related regression for combining aggregate and individual data in studies of socio-economic disease risk factors","Jackson C., Best N., Richardson S.",09641998,"Journal of the Royal Statistical Society. Series A: Statistics in Society",171, 1,0,0,2,2,7,9
2007,"Bayesian analysis of the multivariate geographical distribution of the socio-economic environment in England","Abellan J.J., Fecht D., Best N., Richardson S., Briggs D.J.",11804009,"Environmetrics",18, 7,0,0,0,0,1,1
2007,"Sex ratio and time to pregnancy: Analysis of four large European population surveys","Joffe M., Bennett J., Best N., Jensen T.K.",09598146,"British Medical Journal",334, 7592,0,3,2,5,0,5
2006,"Outdoor NOx and stroke mortality: Adjusting for small area level smoking prevalence using a Bayesian approach","Maheswaran R., Haining P.R., Pearson T., Law J., Brindley P., Best G.N.",09622802,"Statistical Methods in Medical Research",15, 5,0,1,1,2,0,2
2006,"Bayesian spatio-temporal analysis of joint patterns of male and female lung cancer risks in Yorkshire (UK)","Richardson S., Abellan J.J., Best N.",09622802,"Statistical Methods in Medical Research",15, 4,0,2,6,8,3,11
2006,"Improving ecological inference using individual-level data","Jackson C.H., Best N., Richardson S.",02776715,"Statistics in Medicine",25, 12,1,7,15,22,5,28
2006,"A Bayesian toolkit for genetic association studies","Lunn D.J., Whittaker J.C., Best N.",07410395,"Genetic Epidemiology",30, 3,1,5,6,11,9,21
2006,"Human fertility decline? [1]","Joffe M., Key J., Best N., Keiding N., Jensen T.K.",10443983,"Epidemiology",17, 2,2,0,1,1,1,4
2005,"Studying time to pregnancy by use of a retrospective design","Joffe M., Key J., Best N., Keiding N., Scheike T., Jensen T.K.",00029262,"American Journal of Epidemiology",162, 2,10,8,9,17,4,31
2005,"Modelling exposure to disinfection by-products in drinking water for an epidemiological study of adverse birth outcomes","Whitaker H., Best N., Nieuwenhuijsen M.J., Wakefield J., Fawell J., Elliott P.",10534245,"Journal of Exposure Analysis and Environmental Epidemiology",15, 2,2,0,3,3,2,7
2005,"Relation of trihalomethane concentrations in public water supplies to stillbirth and birth weight in three water regions in England","Toledano M.B., Nieuwenhuijsen M.J., Best N., Whitaker H., Hambly P., de Hoogh C., Fawell J., Jarup L., Elliott P.",00916765,"Environmental Health Perspectives",113, 2,7,9,9,18,3,28
2005,"A comparison of Bayesian spatial models for disease mapping","Best N., Richardson S., Thomson A.",09622802,"Statistical Methods in Medical Research",14, 1,10,11,18,29,13,52
2004,"Studying human fertility.","Joffe M., Key J., Best N., Jensen T.K.",00916765,"Environmental health perspectives",112, 11,2,1,0,1,0,3
2004,"Statistical issues in the prospective monitoring of health outcomes across multiple units","Marshall C., Best N., Bottle A., Aylin P.",09641998,"Journal of the Royal Statistical Society. Series A: Statistics in Society",167, 3,5,6,5,11,2,18
2004,"Interpreting posterior relative risk estimates in disease-mapping studies","Richardson S., Thomson A., Best N., Elliott P.",00916765,"Environmental Health Perspectives",112, 9,18,11,13,24,13,55
2004,"Tracing ingestion of 'novel' foods in UK diets for possible health surveillance - A feasibility study","Robertson C., Best N., Diamond J., Elliott P.",13689800,"Public Health Nutrition",7, 2,1,0,2,2,1,4
