,"This is a citation overview for a set of 52 documents.",,,,,,,,,,,,
,,,,,,,,,,,,,
,"h index = 23 (Of the 52 documents considered for the h-Index, 23 have been cited at least 23 times.)",,,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,<2010,2010,2011,2012,subtotal,>2012,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,1658,240,205,66,511,0,2169
2009,"C1q enhances IFN-7 production by antigen-specific T cells via the CD40 costimulatory pathway on dendritic cells","Baruah P., Dumitriu I.E., Malik T.H., Cook H.T., Dyson J., Scott D., Simpson E., Botto M.",00064971,"Blood",113, 15,0,8,6,3,17,0,17
2008,"In vitro expansion improves in vivo regulation by CD4+CD25 + regulatory T cells","Chai J.-G., Coe D., Chen D., Simpson E., Dyson J., Scott D.",00221767,"Journal of Immunology",180, 2,14,5,5,2,12,0,26
2007,"Expression of eEF1A2 is associated with clear cell histology in ovarian carcinomas: Overexpression of the gene is not dependent on modifications at the EEF1A2 locus","Tomlinson V.A.L., Williams A.R.W., Abbott C.M., Newbery H.J., Bergmann J.H., Boyd J., Scott D., Wray N.R., Sellar G.C., Gabra H., Graham A.",00070920,"British Journal of Cancer",96, 10,7,1,1,1,3,0,10
2007,"Physiologic and aberrant regulation of memory T-cell trafficking by the costimulatory molecule CD28","Mirenda V., Jarmin S.J., David R., Dyson J., Scott D., Gu Y., Lechler R.I., Okkenhaug K., Marelli-Berg F.M.",00064971,"Blood",109, 7,17,6,1,3,10,0,27
2007,"Natural regulation of immunity to minor histocompatibility antigens","Robertson N.J., Chai J.-G., Millrain M., Scott D., Hashim F., Manktelow E., Lemonnier F., Simpson E., Dyson J.",00221767,"Journal of Immunology",178, 6,4,3,2,1,6,0,10
2006,"Differential effects of immunosuppressive drugs on T-cell motility","Datta A., David R., Glennie S., Scott D., Cernuda-Morollon E., Lechler R.I., Ridley A.J., Marelli-Berg F.M.",16006135,"American Journal of Transplantation",6, 12,2,0,0,0,0,0,2
2006,"Role of immunoproteasomes in cross-presentation","Palmowski M.J., Simpson E., Cerundolo V., Gileadi U., Salio M., Gallimore A., Millrain M., James E., Addey C., Scott D., Dyson J.",00221767,"Journal of Immunology",177, 2,11,4,3,1,8,0,19
2005,"Identification of the immunodominant HY H2-Dk epitope and evaluation of the role of direct and indirect antigen presentation in HY responses","Millrain M., Dyson J., Scott D., Addey C., Dewchand H., Ellis P., Ehrmann I., Mitchell M., Burgoyne P., Simpson E.",00221767,"Journal of Immunology",175, 11,2,4,3,0,7,0,9
2005,"Ovarian carcinomas: CCN genes are aberrantly expressed and CCN1 promotes proliferation of these cells","Gery S., Said J.W., Koeffler H.P., Xie D., Yin D., Gabra H., Miller C., Wang H., Scott D., Yi W.S., Popoviciu M.L.",10780432,"Clinical Cancer Research",11, 20,11,5,8,3,16,0,27
