,"Authors: Friedland, J. S.; Friedland, Jon S.",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 19 (Of the 100 documents considered for the h-Index, 19 have been cited at least 19 times.)",,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,1214,244,243,487,172,1873
2009,"Analysis of matrix metalloproteinase secretion by macrophages.","Elkington P.T., Green J.A., Friedland J.S.",10643745,"Methods in molecular biology (Clifton, N.J.)",531, ,0,0,0,0,0,0
2009,"Matrix metalloproteinase-1 is regulated in tuberculosis by a p38 MAPK-dependent, p-aminosalicylic acid-sensitive signaling cascade.","Rand L., Saraiva L., Friedland J.S., Elkington P.T.",15506606,"Journal of immunology (Baltimore, Md. : 1950)",182, 9,0,0,0,0,0,0
2009,"Inhaled corticosteroids after respiratory syncytial virus infection","Handforth J., Friedland J.S., Sharland M.",09598146,"BMJ",338, 7701,0,0,0,0,0,0
2009,"Inhaled corticosteroids after respiratory syncytial virus infection.","Handforth J., Friedland J.S., Sharland M.",14685833,"BMJ (Clinical research ed.)",338, ,0,0,0,0,0,0
2009,"Upper-room ultraviolet light and negative air ionization to prevent tuberculosis transmission.","Escombe A.R., Ramirez R., Quino W., Gonzalez A., Friedland J.S., Evans C.A., Moore D.A., Gilman R.H., Navincopa M., Ticona E., Mitchell B., Noakes C., Martinez C., Sheen P.",15491676,"PLoS medicine",6, 3,0,0,0,0,3,3
2009,"Screening migrants for tuberculosis: where next?","Hargreaves S., Carballo M., Friedland J.S.",14733099,"The Lancet Infectious Diseases",9, 3,0,0,0,0,1,1
2009,"Upper-room ultraviolet light and negative air ionization to prevent tuberculosis transmissio","Escombe A.R., Ramirez R., Quino W., Gonzalez A., Friedland J.S., Evans C.A., Moore D.A.J., Gilman R.H., Navincopa M., Ticona E., Mitchell B., Noakes C., Martinez C., Sheen P.",15491277,"PLoS Medicine",6, 3,0,0,0,0,0,0
2009,"High MMP-9 activity characterises pleural tuberculosis correlating with granuloma formation","Sheen P., Friedland J.S., O'Kane C.M., Chaudhary K., Tovar M., Santillan C., Sosa J., Caviedes L., Gilman R.H., Stamp G.",09031936,"European Respiratory Journal",33, 1,0,0,0,0,1,1
2009,"30 years on; the continuing evolution of our journal and our society","Read R.C., Friedland J.S.",01634453,"Journal of Infection",58, 1,0,0,0,0,0,0
2008,"Peptide YY: A Gut Hormone Associated with Anorexia during Infectious Diarrhea in Children","Beck A.L., Cabrera L., Pan W.K.Y., Cama V., Friedland J.S., Ghatei M.A., Bloom S.R., Lewis J., Gilman R.H.",00223476,"Journal of Pediatrics",153, 5,0,0,0,0,0,0
2008,"Tackling tissue destruction in tuberculosis","Friedland J.S.",00359203,"Transactions of the Royal Society of Tropical Medicine and Hygiene",102, 10,0,0,0,0,0,0
2008,"The infectiousness of tuberculosis patients coinfected with HIV","Escombe A.R., Gonzalez A., Noakes C.J., Friedland J.S., Evans C.A., Moore D.A.J., Gilman R.H., Pan W., Navincopa M., Ticona E., Martinez C., Caviedes L., Sheen P.",15491277,"PLoS Medicine",5, 9,0,0,0,0,4,4
2008,"l-Glutamate in Middlebrook 7H9 culture medium upregulates matrix metalloproteinase-2 secretion from human astrocytoma cells","Harris J.E., Friedland J.S.",01650270,"Journal of Neuroscience Methods",173, 2,0,0,0,0,0,0
2008,"Chemokine-receptor upregulation and disease severity in Respiratory Syncytial Virus infection","Morrison P.T., Sharland M., Thomas L.H., Manna S., Handforth J., Tibby S., Friedland J.S.",15216616,"Clinical Immunology",128, 1,0,0,0,0,0,0
2008,"Monocyte-dependent oncostatin M and TNF-? synergize to stimulate unopposed matrix metalloproteinase-1/3 secretion from human lung fibroblasts in tuberculosis","O'Kane C.M., Elkington P.T., Friedland J.S.",00142980,"European Journal of Immunology",38, 5,0,0,0,0,2,2
2008,"Charging systems for migrants in primary care: The experiences of family doctors in a high-migrant area of London","Hargreaves S., Holmes A.H., Saxena S., Le Feuvre P., Farah W., Shafi G., Chaudry J., Khan H., Friedland J.S.",11951982,"Journal of Travel Medicine",15, 1,0,0,0,0,1,1
