,"Author: Karadimitris, Anastasios",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 11 (Of the 23 documents considered for the h-Index, 11 have been cited at least 11 times.)",,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,273,74,56,130,40,443
2009,"Inherited glycosylphosphatidyl inositol deficiency: A treatable CDG","Almeida A., Layton M., Karadimitris A.",09254439,"Biochimica et Biophysica Acta - Molecular Basis of Disease",1792, 9,0,0,0,0,0,0
2009,"Regulation of multiple myeloma survival and progression by CD1d","Spanoudakis E., Karadimitris A., Hu M., Naresh K., Terpos E., Melo V., Reid A., Kotsianidis L., Abdalla S., Rahemtulla A.",00064971,"Blood",113, 11,0,0,0,0,0,0
2009,"Kinetics, function and bone marrow trafficking of CD4+ CD25+FOXP3+ regulatory T cells in myelodysplastic syndromes (MDS)","Kotsianidis I., Karadimitris A., Tsatalas C., Bouchliou I., Nakou E., Spanoudakis E., Margaritis D., Christophoridou A.V., Anastasiades A., Tsigalou C., Bourikas G.",08876924,"Leukemia",23, 3,0,0,0,0,0,0
2008,"Abnormalities in the myeloid progenitor compartment in Down syndrome fetal liver precede acquisition of GATA1 mutations","Tunstall-Pedoe O., Roy A., Karadimitris A., De La Fuente J., Fisk N.M., Bennett P., Norton A., Vyas P., Roberts I.",00064971,"Blood",112, 12,0,0,0,0,6,6
2008,"Human invariant NKT cells display alloreactivity instructed by invariant TCR-CD1d interaction and killer Ig receptors","Patterson S., Chaidos A., Neville D.C.A., Poggi A., Butters T.D., Roberts I.A.G., Karadimitris A.",00221767,"Journal of Immunology",181, 5,0,0,0,0,1,1
2007,"Targeted therapy for inherited GPI deficiency","Almeida A.M., Murakami Y., Baker A., Maeda Y., Roberts I.A.G., Kinoshita T., Layton D.M., Karadimitris A.",00284793,"New England Journal of Medicine",356, 16,0,0,1,1,4,5
2006,"Natural killer T cells and haemopoiesis","Karadimitris A., Patterson S., Spanoudakis E.",00071048,"British Journal of Haematology",134, 3,0,2,0,2,0,2
2006,"Hypomorphic promoter mutation in PIGM causes inherited glycosylphosphatidylinositol deficiency","Almeida A.M., Mollica L., Crawford D.H., Baker A., Ferguson M., Roberts I., Houlston R., Kinoshita T., Karadimitris A., Murakami Y., Layton D.M., Hillmen P., Sellick G.S., Maeda Y., Richards S., Patterson S., Kotsianidis I.",10788956,"Nature Medicine",12, 7,0,9,4,13,6,19
2006,"Regulation of hematopoiesis in vitro and in vivo by invariant NKT cells","Kotsianidis I., Roberts I.A.G., Karadimitris A., Silk J.D., Spanoudakis E., Patterson S., Almeida A., Schmidt R.R., Tsatalas C., Bourikas G., Cerundolo V.",00064971,"Blood",107, 8,3,2,3,5,2,10
2006,"No evidence of mutations of the PSMB5 (beta-5 subunit of proteasome) in a case of myeloma with clinical resistance to Bortezomib [1]","Politou M., Karadimitris A., Terpos E., Kotsianidis I., Apperley J.F., Rahemtulla A.",01452126,"Leukemia Research",30, 2,0,1,1,2,1,3
2005,"Human invariant NKT cells are required for effective in vitro alloresponses","Patterson S., Karadimitris A., Kotsianidis I., Almeida A., Politou M., Rahemtulla A., Matthew B., Schmidt R.R., Cerundolo V., Roberts I.A.G.",00221767,"Journal of Immunology",175, 8,1,1,3,4,1,6
2003,"Severe telomere shortening in patients with paroxysmal nocturnal hemoglobinuria affects both GPI- and GPI+ hematopoiesis","Karadimitris A., Araten D.J., Luzzatto L., Notaro R.",00064971,"Blood",102, 2,6,3,2,5,1,12
2003,"Generation of CD1 tetramers as a tool to monitor glycolipid-specific T cells","Gadola S.D., Karadimitris A., Zaccai N.R., Salio M., Dulphy N., Shepherd D., Jones E.Y., Cerundolo V.",09628436,"Philosophical Transactions of the Royal Society B: Biological Sciences",358, 1433,2,1,0,1,0,3
2003,"Chronic myeloid leukemia in chronic phase responding to imatinib: The occurrence of additional cytogenetic abnormalities predicts disease progression","Marktel S., Rahemtulla A., Olavarria E., Apperley J.F., Goldman J.M., Marin D., Foot N., Szydlo R., Bua M., Karadimitris A., De Melo V.A.S., Kotzampaltiris P., Dazzi F.",03906078,"Haematologica",88, 3,30,10,8,18,3,51
2003,"Frequency and phenotype of circulating V?24/V?11 double-positive natural killer T cells during hepatitis C virus infection","Lucas M., Cerundolo V., Klenerman P., Gadola S., Meier U., Young N.T., Harcourt G., Karadimitris A., Coumi N., Brown D., Dusheiko G.",0022538X,"Journal of Virology",77, 3,30,9,12,21,2,53
2002,"Dynamics of hematopoiesis in paroxysmal nocturnal hemoglobinuria (PNH): No evidence for intrinsic growth advantage of PNH clones","Araten D.J., Bessler M., McKenzie S., Castro-Malaspina H., Childs B.H., Boulad F., Karadimitris A., Notaro R., Luzzatto L.",08876924,"Leukemia",16, 11,12,3,1,4,0,16
2002,"Multiple myeloma cured by conventional chemotherapy: A report and a review","Notaro R., De Renzo A., De Rosa G., Karadimitris A., Rotoli B.",10428194,"Leukemia and Lymphoma",43, 4,0,0,0,0,0,0
2001,"Association of clonal T-cell large granular lymphocyte disease and paroxysmal nocturnal haemoglobinuria (PNH): Further evidence for a pathogenetic link between T cells, aplastic anaemia and PNH","Karadimitris A., Roberts I.A.G., Luzzatto L., Li K., Notaro R., Araten D.J., Nafa K., Thertulien R., Ladanyi M., Stevens A.E., Rosenfeld C.S.",00071048,"British Journal of Haematology",115, 4,15,9,1,10,2,27
2001,"Cytogenetic and morphological abnormalities in paroxysmal nocturnal haemoglobinuria","Araten D.J., Boulad F., Weiss M., Anagnostopoulos N., Kutlar A., Savage D.G., Maziarz R.T., Jhanwar S., Luzzatto L., Swirsky D., Karadimitris A., Notaro R., Nafa K., Bessler M., Thaler H.T., Castro-Malaspina H., Childs B.H.",00071048,"British Journal of Haematology",115, 2,9,3,0,3,2,14
