,"This is a citation overview for a set of 153 documents.",,,,,,,,,,,,
,,,,,,,,,,,,,
,"h index = 38 (Of the 153 documents considered for the h-Index, 38 have been cited at least 38 times.)",,,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,<2010,2010,2011,2012,subtotal,>2012,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,3476,413,474,136,1023,0,4499
2009,"Development of hormone-dependent prostate cancer models for the evaluation of inhibitors of 17?-hydroxysteroid dehydrogenase Type 3","Day J.M., Reed M.J., Tutill H.J., Foster P.A., Bailey H.V., Heaton W.B., Sharland C.M., Vicker N., Potter B.V.L., Purohit A.",03037207,"Molecular and Cellular Endocrinology",301, 1-2,1,2,2,0,4,0,5
2009,"The design of novel 17?-hydroxysteroid dehydrogenase type 3 inhibitors","Vicker N., Reed M.J., Purohit A., Potter B.V.L., Sharland C.M., Heaton W.B., Gonzalez A.M.R., Bailey H.V., Smith A., Springall J.S., Day J.M., Tutill H.J.",03037207,"Molecular and Cellular Endocrinology",301, 1-2,3,4,3,1,8,0,11
2009,"BCRP expression does not result in resistance to STX140 in vivo, despite the increased expression of BCRP in A2780 cells in vitro after long-term STX140 exposure","Day J.M., Foster P.A., Tutill H.J., Newman S.P., Ho Y.T., Leese M.P., Potter B.V.L., Reed M.J., Purohit A.",00070920,"British Journal of Cancer",100, 3,0,0,1,0,1,0,1
2009,"The development of steroid sulfatase inhibitors for hormone-dependent cancer therapy","Day J.M., Purohit A., Tutill H.J., Foster P.A., Woo L.W.L., Potter B.V.L., Reed M.J.",00778923,"Annals of the New York Academy of Sciences",1155, ,2,5,4,2,11,0,13
2008,"Inhibition of steroid sulfatase activity in endometriotic implants by STX64 (667Coumate): A potential new therapy","Fusi L., Purohit A., Brosens J., Woo L.W.L., Potter B.V.L., Reed M.J.",1537744X,"TheScientificWorldJournal",8, ,0,0,2,0,2,0,2
2008,"2-Methoxyoestradiol-3,17-O,O-bis-sulphamate and 2-deoxy-D-glucose in combination: A potential treatment for breast and prostate cancer","Tagg S.L.C., Foster P.A., Leese M.P., Potter B.V.L., Reed M.J., Purohit A., Newman S.P.",00070920,"British Journal of Cancer",99, 11,1,7,1,0,8,0,9
2008,"Synthesis of aromatase inhibitors and dual aromatase steroid sulfatase inhibitors by linking an arylsulfamate motif to 4-(4H-1,2,4-triazol-4-ylamino) benzonitrile: SAR, crystal structures, in vitro and in vivo activities","Bubert C., Woo L.W.L., Sutcliffe O.B., Mahon M.F., Chander S.K., Purohit A., Reed M.J., Potter B.V.L.",18607179,"ChemMedChem",3, 11,0,3,4,1,8,0,8
2008,"Effects of C-17 heterocyclic substituents on the anticancer activity of 2-ethylestra-1,3,5(10)-triene-3-O-sulfamates: Synthesis, in vitro evaluation and computational modelling","Jourdan F., Potter B.V.L., Bubert C., Leese M.P., Smith A., Ferrandis E., Regis-Lydi S., Newman S.P., Purohit A., Reed M.J.",14770520,"Organic and Biomolecular Chemistry",6, 22,1,2,2,1,5,0,6
2008,"A new therapeutic strategy against hormone-dependent breast cancer: The preclinical development of a dual aromatase and sulfatase inhibitor","Foster P.A., Reed M.J., Purohit A., Chander S.K., Newman S.P., Woo L.W.L., Sutcliffe O.B., Bubert C., Zhou D., Chen S., Potter B.V.L.",10780432,"Clinical Cancer Research",14, 20,1,3,3,1,7,0,8
2008,"Anticancer steroid sulfatase inhibitors: Synthesis of a potent fluorinated second-generation agent, in vitro and in vivo activities, molecular modeling, and protein crystallography","Woo L.W.L., Fischer D.S., Sharland C.M., Trusselle M., Foster P.A., Chander S.K., Di Fiore A., Supuran C.T., De Simone G., Purohit A., Reed M.J., Potter B.V.L.",15357163,"Molecular Cancer Therapeutics",7, 8,0,3,4,0,7,0,7
