,"Author: Boily, Marie Claude",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 13 (Of the 45 documents considered for the h-Index, 13 have been cited at least 13 times.)",,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,337,89,158,247,92,676
2009,"Economic evaluation of human papillomavirus vaccination in developed countries","Brisson M., Van De Velde N., Boily M.-C.",16624246,"Public Health Genomics",12, 5-6,0,0,0,0,1,1
2009,"Using mathematical modeling to bridge phase 3 microbicide trials with public health decision making","Masse B.R., Boily M.-C., Desai K.",15254135,"Journal of Acquired Immune Deficiency Syndromes",50, 4,0,0,0,0,0,0
2009,"Heterosexual risk of HIV-1 infection per sexual act: systematic review and meta-analysis of observational studies","Boily M.-C., Baggaley R.F., Wang L., Masse B., White R.G., Hayes R.J., Alary M.",14733099,"The Lancet Infectious Diseases",9, 2,0,0,0,0,2,2
2008,"Systematic review of orogenital HIV-1 transmission probabilities","Baggaley R.F., White R.G., Boily M.-C.",03005771,"International Journal of Epidemiology",37, 6,0,0,1,1,0,1
2008,"Using mathematical modelling to investigate the plausibility of attributing observed antenatal clinic declines to a female sex worker intervention in Karnataka state, India","Boily M.-C., Ramesh B.M., Demers E., Aiary M., Pickles M., Vickerman P., Buzdugan R., Lsac S., Deering K.N., Blanchard J.F., Moses S., Lowndes C.M.",02699370,"AIDS",22, 5,0,0,2,2,0,2
2008,"Evaluation design for large-scale HIV prevention programmes: The case of Avahan, the India AIDS initiative","Chandrasekaran P., Moore J., Dallabetta G., Loo V., Mills S., Saidel T., Adhikary R., Alary M., Lowndes C.M., Boily M.-C.",02699370,"AIDS",22, 5,0,0,8,8,0,8
2008,"The impact of out-migrants and out-migration on the HIV/AIDS epidemic: A case study from south-west India","Deering K.N., Vickerman P., Moses S., Ramesh B.M., Blanchard J.F., Boily M.-C.",02699370,"AIDS",22, 5,0,0,0,0,0,0
2008,"Incremental role of male circumcision on a generalised HIV epidemic through its protective effect against other sexually transmitted infections: From efficacy to effectiveness to population-level impact","Boily M.-C., Desai K., Masse B., Gumel A.",13684973,"Sexually Transmitted Infections",84, 2,0,0,0,0,0,0
2008,"Modeling the impact of HIV chemoprophylaxis strategies among men who have sex with men in the United States: HIV infections prevented and cost-effectiveness","Desai K., Boily M.-C., Garnett G.P., McElroy P.D., Sansom S.L., Ackers M.L., Stewart S.R., Hall H.I., Hu D.J., Sanders R., Scotton C.R., Soorapanth S.",02699370,"AIDS",22, 14,0,0,0,0,1,1
2008,"Estimating vertically acquired HIV infections and the impact of the prevention of mother-to-child transmission program in Zimbabwe: Insights from decision analysis models","Dube S., Boily M.-C., Mugurungi O., Mahomva A., Chikhata F., Gregson S.",15254135,"Journal of Acquired Immune Deficiency Syndromes",48, 1,0,0,2,2,3,5
2008,"Measuring the public-health impact of candidate HIV vaccines as part of the licensing process","Boily M.-C., Abu-Raddad L., Desai K., Masse B., Self S., Anderson R.",14733099,"The Lancet Infectious Diseases",8, 3,0,0,1,1,3,4
2007,"Evaluating large-scale HIV prevention interventions: Study design for an integrated mathematical modelling approach","Boily M.-C., Washington R., Reza-Paul S., Labbe A.C., Anderson R.M., Deering K.N., Alary M., Lowndes C.M., Vickerman P., Kumaranayake L., Blanchard J., Moses S., Ramesh B.M., Pickles M., Watts C.",13684973,"Sexually Transmitted Infections",83, 7,0,1,7,8,2,10
2007,"Influence of selected formation rules for finite population networks with fixed macrostructures: Implications for individual-based model of infectious diseases","Boily M.C., Asghar Z., Garske T., Ghani A.C., Poulin R.",08898480,"Mathematical Population Studies",14, 4,0,0,0,0,0,0
2007,"Estimating the number needed to vaccinate to prevent diseases and death related to human papillomavirus infection","Brisson M., Van De Velde N., De Wals P., Boily M.-C.",08203946,"Canadian Medical Association Journal",177, 5,0,1,8,9,6,15
2007,"Proportion of new HIV infections attributable to herpes simplex 2 increases over time: Simulations of the changing role of sexually transmitted infections in sub-Saharan African HIV epidemics","Freeman E.E., Orroth K.K., White R.G., Glynn J.R., Bakker R., Boily M.-C., Habbema D., Buve A., Hayes R.J.",13684973,"Sexually Transmitted Infections",83, 1,0,1,8,9,9,18
2007,"Understanding the differences between contrasting HIV epidemics in east and west Africa: Results from a simulation model of the Four Cities Study","Orroth K.K., Freeman E.E., Bakker R., Buve A., Glynn J.R., Boily M.-C., White R.G., Habbema J.D.F., Hayes R.J.",13684973,"Sexually Transmitted Infections",83, 1,0,1,7,8,2,10
2007,"Analytic insights into the population level impact of imperfect prophylactic HIV vaccines","Abu-Raddad L.J., Boily M.-C., Self S., Longini Jr. I.M.",15254135,"Journal of Acquired Immune Deficiency Syndromes",45, 4,0,0,2,2,2,4
2007,"The potential cost-effectiveness of prophylactic human papillomavirus vaccines in Canada","Brisson M., Van de Velde N., De Wals P., Boily M.-C.",0264410X,"Vaccine",25, 29,0,4,25,29,21,50
