,"This is a citation overview for a set of 98 documents.",,,,,,,,,,,,
,,,,,,,,,,,,,
,"h index = 30 (Of the 98 documents considered for the h-Index, 30 have been cited at least 30 times.)",,,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,<2010,2010,2011,2012,subtotal,>2012,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,1749,319,227,98,644,0,2393
2008,"A review of the close surveillance policy for stage I female germ cell tumors of the ovary and other sites","Patterson D.M., Murugaesu N., Holden L., Seckl M.J., Rustin G.J.S.",1048891X,"International Journal of Gynecological Cancer",18, 1,4,4,7,0,11,0,15
2007,"The impact of molecular genetic diagnosis on the management of women with hCG-producing malignancies","Fisher R.A., Savage P.M., MacDermott C., Hook J., Sebire N.J., Lindsay I., Seckl M.J.",00908258,"Gynecologic Oncology",107, 3,5,7,1,0,8,0,13
2007,"Repeat retroperitoneal lymph-node dissection after chemotherapy for metastatic testicular germ cell tumour","Willis S.F., Winkler M., Savage P., Seckl M.J., Christmas T.J.",14644096,"BJU International",100, 4,2,0,2,0,2,0,4
2007,"Nongestational choriocarcinoma arising from a primary ovarian tumour","Oladipo A., Mathew J., Oriolowo A., Lindsay I., Fisher R., Seckl M., Yiannakis D.",14700328,"BJOG: An International Journal of Obstetrics and Gynaecology",114, 10,0,0,1,0,1,0,1
2007,"Gestational trophoblastic neoplasia management: An update","Ngan S., Seckl M.J.",10408746,"Current Opinion in Oncology",19, 5,15,8,4,0,12,0,27
2007,"A review of the management by hysterectomy of 25 cases of gestational trophoblastic tumours from March 1993 to January 2006","Doumplis D., Al-Khatib K., Sieunarine K., Lindsay I., Seckl M., Bridges J., Smith J.R.",14700328,"BJOG: An International Journal of Obstetrics and Gynaecology",114, 9,3,4,3,3,10,0,13
2007,"Case report: PET/CT, a cautionary tale","Wang J., Cook G., Frank J., Dina R., Livni N., Lynn J., Fleming W., Seckl M.J.",14712407,"BMC Cancer",7, ,1,0,1,0,1,0,2
2007,"Fertility-sparing partial hysterectomy for placental-site trophoblastic tumour","Pfeffer P.E., Sebire N., Lindsay I., McIndoe A., Lim A., Seckl M.",14702045,"Lancet Oncology",8, 8,3,5,0,3,8,0,11
2007,"Placental site trophoblastic tumor with an ovarian metastasis","Milingos D., Doumplis D., Savage P., Seckl M., Lindsay I., Smith J.R.",1048891X,"International Journal of Gynecological Cancer",17, 4,0,1,0,0,1,0,1
2007,"Management and outcome of healthy women with a persistently elevated ?-hCG","Palmieri C., Hancock B.W., Seckl M.J., Dhillon T., Fisher R.A., Young A.-M., Short D., Mitchell H., Aghajanian C., Savage P.M., Newlands E.S.",00908258,"Gynecologic Oncology",106, 1,6,2,2,1,5,0,11
2007,"Shortened duration of human chorionic gonadotrophin surveillance following complete or partial hydatidiform mole: Evidence for revised protocol of a UK regional trophoblastic disease unit","Sebire N.J., Foskett M., Short D., Savage P., Stewart W., Thomson M., Seckl M.J.",14700328,"BJOG: An International Journal of Obstetrics and Gynaecology",114, 6,5,3,2,1,6,0,11
2007,"Critical role for lipid raft-associated Src kinases in activation of PI3K-Akt signalling","Arcaro A., Aubert M., Espinosa del Hierro M.E., Khanzada U.K., Angelidou S., Tetley T.D., Bittermann A.G., Frame M.C., Seckl M.J.",08986568,"Cellular Signalling",19, 5,25,9,11,2,22,0,47
2007,"A comparison of patients with relapsed and chemo-refractory gestational trophoblastic neoplasia","Powles T., Savage P.M., Stebbing J., Short D., Young A., Bower M., Pappin C., Schmid P., Seckl M.J.",00070920,"British Journal of Cancer",96, 5,8,4,3,2,9,0,17
2007,"Discrepancies between commercially available immunoassays in the detection of tumour-derived hCG","Mitchell H., Seckl M.J.",03037207,"Molecular and Cellular Endocrinology",260-262, ,9,4,1,0,5,0,14
2007,"Histomorphometric features of hydatidiform moles in early pregnancy: Relationship to detectability by ultrasound examination","Fowler D.J., Lindsay I., Seckl M.J., Sebire N.J.",09607692,"Ultrasound in Obstetrics and Gynecology",29, 1,2,1,3,1,5,0,7
2006,"Erratum: The significance of the time interval between antecedent pregnancy and diagnosis of high-risk gestational trophoblastic tumours (British Journal of Cancer (2006) 95, (1145-1147) DOI: 10.1038/sj.bjc.6603416)","Powles T., Young A., Sanitt A., Stebbing J., Short D., Bower M., Savage P.M., Seckl M.J., Schmid P.",00070920,"British Journal of Cancer",95, 12,0,0,0,0,0,0,0
2006,"Plasma kisspeptin is raised in patients with gestational trophoblastic neoplasia and falls during treatment","Dhillo W.S., Seckl M.J., Ghatei M.A., Bloom S.R., Savage P., Murphy K.G., Chaudhri O.B., Patterson M., Nijher G.M., Foggo V.M., Dancey G.S., Mitchell H.",01931849,"American Journal of Physiology - Endocrinology and Metabolism",291, 5,17,6,4,2,12,0,29
2006,"The significance of the time interval between antecedent pregnancy and diagnosis of high-risk gestational trophoblastic tumours","Powles T., Young A., Sammit A., Stebbing J., Short D., Bower M., Savage P.M., Seckl M.J., Schmid P.",00070920,"British Journal of Cancer",95, 9,3,2,0,1,3,0,6
