,"This is a citation overview for a set of 193 documents.",,,,,,,,,,,,
,,,,,,,,,,,,,
,"h index = 49 (Of the 193 documents considered for the h-Index, 49 have been cited at least 49 times.)",,,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,<2010,2010,2011,2012,subtotal,>2012,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,9692,628,566,167,1361,0,11053
2009,"PPAR?/? agonists modulate platelet function via a mechanism involving PPAR receptors and specific association/repression of PKC?-brief report","Ali F.Y., Hall M.G., Desvergne B., Warner T.D., Mitchell J.A.",10795642,"Arteriosclerosis, Thrombosis, and Vascular Biology",29, 11,0,4,2,0,6,0,6
2009,"Utility of 96-well plate aggregometry and measurement of thrombi adhesion to determine aspirin and clopidogrel effectiveness","Armstrong P.C.J., Dhanji A.-R., Truss N.J., Zain Z.N.M., Tucker A.T., Mitchell J.A., Warner T.D.",03406245,"Thrombosis and Haemostasis",102, 4,0,2,7,0,9,0,9
2009,"Targeting PPAR receptors in the airway for the treatment of inflammatory lung disease","Belvisi M.G., Mitchell J.A.",00071188,"British Journal of Pharmacology",158, 4,1,4,9,2,15,0,16
2009,"Synergistic induction of endothelin-1 by tumor necrosis factor ? and interferon ? is due to enhanced NF-?B binding and histone acetylation at specific ?B sites","Wort S.J., Pinhu L., Ito K., Adcock I.M., Ito M., Chou P.-C., Mc Master S.K., Badiger R., Jazrawi E., de Souza P., Evans T.W., Mitchell J.A.",00219258,"Journal of Biological Chemistry",284, 36,0,3,7,3,13,0,13
2009,"Activation of PPAR?/? inhibits leukocyte recruitment, cell adhesion molecule expression, and chemokine release","Piqueras L., Sanz M.J., Perretti M., Morcillo E., Norling L., Mitchell J.A., Li Y., Bishop-Bailey D.",07415400,"Journal of Leukocyte Biology",86, 1,2,6,6,1,13,0,15
2009,"Crucial role of TNF receptors 1 and 2 in the control of polymicrobial sepsis","Secher T., Vasseur V., Poisson D.M., Mitchell J.A., Cunha F.Q., Alves-Filho J.C., Ryffel B.",00221767,"Journal of Immunology",182, 12,0,2,2,0,4,0,4
2009,"Antiplatelet actions of statins and fibrates are mediated by PPARs","Ali F.Y., Armstrong P.C.J., Dhanji A.-R.A., Tucker A.T., Paul-Clark M.J., Mitchell J.A., Warner T.D.",10795642,"Arteriosclerosis, Thrombosis, and Vascular Biology",29, 5,3,6,10,3,19,0,22
2009,"Toll-like receptor 2 is essential for the sensing of oxidants during inflammation","Paul-Clark M.J., McMaster S.K., Sorrentino R., Sriskandan S., Bailey L.K., Moreno L., Ryffel B., Quesniaux V.F., Mitchell J.A.",1073449X,"American Journal of Respiratory and Critical Care Medicine",179, 4,3,8,2,4,14,0,17
2008,"COX-1, and not COX-2 activity, regulates airway function: Relevance to aspirin-sensitive asthma","Harrington L.S., Lucas R., McMaster S.K., Moreno L., Scadding G., Warner T.D., Mitchell J.A.",08926638,"FASEB Journal",22, 11,0,3,5,0,8,0,8
