,"Author: Cunninghame Graham, Debbie S.",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 5 (Of the 7 documents considered for the h-Index, 5 have been cited at least 5 times.)",,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,83,34,29,63,56,202
2009,Genome-wide association studies in systemic lupus erythematosus: A perspective,Cunninghame Graham D.S.,14786354,Arthritis Research and Therapy,11,4,0,0,0,0,0,0
2009,The heritability and genetics of complement C3 expression in UK SLE families,"Rhodes B., Hunnangkul S., Morris D.L., Hsaio L.-C., Cunninghame Graham D.S., Nitsch D., Whittaker J.C., Vyse T.J.",14664879,Genes and Immunity,10,5,0,0,0,0,0,0
2008,Genetic variants near TNFAIP3 on 6q23 are associated with systemic lupus erythematosus,"Graham R.R., Gates C., Plenge R.M., Behrens T.W., Wither J.E., Rioux J.D., Fortin P.R., Cunninghame Graham D., Wong A.K., Vyse T.J., Daly M.J., Cotsapas C., Altshuler D., Moser K.L., Gaffney P.M., Davies L., Hackett R., Lessard C.J., Leon J.M., Burtt N.P., Guiducci C., Parkin M.",10614036,Nature Genetics,40,9,0,0,0,0,37,37
2007,The human GIMAP5 gene has a common polyadenylation polymorphism increasing risk to systemic lupus erythematosus,"Hellquist A., Skoog T., Vendelin J., Cunninghame-Graham D.S., Vyse T.J., Kere J., Lindgren C.M., Zucchelli M., Kivinen K., Saarialho-Kere U., Koskenmies S., Widen E., Julkunen H., Wong A., Karjalainen-Lindsberg M.-L.",222593,Journal of Medical Genetics,44,5,0,1,2,3,5,8
2004,The candidate gene approach: Have murine models informed the study of human SLE?,"Cunninghame Graham D.S., Vyse T.J.",99104,Clinical and Experimental Immunology,137,1,5,2,0,2,0,7
2004,Polymorphism at the C-reactive protein locus influences gene expression and predisposes to systemic lupus erythematosus,"Russell A.I., Vyse T.J., Cunninghame Graham D.S., Shepherd C., Roberton C.A., Whittaker J., Meeks J., Powell R.J., Isenberg D.A., Walport M.J.",9646906,Human Molecular Genetics,13,1,61,30,25,55,14,130
2003,Differentiation-dependent up-regulation of p47phox gene transcription is associated with changes in PU.1 phosphorylation and increased binding affinity,"Marden C.M., Stefanidis D., Cunninghame-Graham D.S., Casimir C.M.",0006291X,Biochemical and Biophysical Research Communications,305,1,7,0,2,2,0,9
1995,Relationship between duodenal cytosolic aconitase activity and iron status in the mouse,"Rabie A., Simpson R.J., Bomford A., Cunninghame-Graham D., Peters T.J.",3044165,Biochimica et Biophysica Acta - General Subjects,1245,3,10,1,0,1,0,11
