,"Author: Purkayastha, Sanjay",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 14 (Of the 60 documents considered for the h-Index, 14 have been cited at least 14 times.)",,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,62,132,203,335,155,552
2009,Single-incision laparoscopic surgery for cholecystectomy: an evolving technique,"Chow A., Purkayastha S., Aziz O., Paraskeva P.",9302794,Surgical Endoscopy,, ,0,0,0,0,0,0
2009,Cardiopulmonary exercise testing as a risk assessment method in non cardio-pulmonary surgery: A systematic review,"Smith T.B., Stonell C., Purkayastha S., Paraskevas P.",32409,Anaesthesia,64,8,0,0,0,0,0,0
2009,"The morbidity surrounding reversal of defunctioning ileostomies: A systematic review of 48 studies including 6,107 cases","Chow A., Tilney H.S., Paraskeva P., Jeyarajah S., Zacharakis E., Purkayastha S.",1791958,International Journal of Colorectal Disease,24,6,0,0,0,0,0,0
2009,Assessing the quality of the volume-outcome relationship in uro-oncology,"Mayer E.K., Purkayastha S., Athanasiou T., Darzi A., Vale J.A.",14644096,BJU International,103,3,0,0,0,0,0,0
2008,The authors reply,"Purkayastha S., Tekkis P.P., Athanasiou T., Lord Darzi Of Denham, Heriot A.G.",123706,Diseases of the Colon and Rectum,51,10,0,0,0,0,0,0
2008,Meta-analysis: The use of adhesion prevention membranes in abdominal surgery (Alimentary Pharmacology and Therapeutics (2008) DOI: 10.1111/j.1365-2036.2008.03740.x)),"Tilney H.S., Purkayastha S., Constantinides V.A., Morris R., Darzi A.W., Tekkis P.P.",2692813,Alimentary Pharmacology and Therapeutics,28,7,0,0,0,0,0,0
2008,Meta-analysis of randomized studies evaluating chewing gum to enhance postoperative recovery following colectomy,"Purkayastha S., Tilney H.S., Darzi A.W., Tekkis P.P.",40010,Archives of Surgery,143,8,0,0,0,0,5,5
2008,Surgeons have held conferences in Second Life.,"Leong J.J., Kinross J., Taylor D., Purkayastha S.",14685833,BMJ (Clinical research ed.),337, ,0,0,1,1,0,1
2008,Surgeons have held conferences in Second Life,"Leong J.J., Kinross J., Taylor D., Purkayastha S.",9598146,BMJ,337,7661,0,0,0,0,2,2
