,"Authors: Wharton, John; Wharton, John",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 16 (Of the 33 documents considered for the h-Index, 16 have been cited at least 16 times.)",,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,1990,167,145,312,93,2395
2009,"Persistent eNOS activation secondary to caveolin-1 deficiency induces pulmonary hypertension in mice and humans through PKG nitration","Zhao Y.-Y., Malik A.B., Zhao Y.D., Mirza M.K., Huang J.H., Potula H.-H.S.K., Vogel S.M., Brovkovych V., Yuan J.X.-J., Wharton J.",00219738,"Journal of Clinical Investigation",119, 7,0,0,0,0,0,0
2009,"Therapeutic targets in pulmonary arterial hypertension","Rhodes C.J., Davidson A., Gibbs J.S.R., Wharton J., Wilkins M.R.",01637258,"Pharmacology and Therapeutics",121, 1,0,0,0,0,2,2
2008,"Circulating endothelial progenitor cells in patients with eisenmenger syndrome and idiopathic pulmonary arterial hypertension","Diller G.-P., Bauersachs J., Hobbs A.J., Wilkins M.R., Gatzoulis M.A., Wharton J., Van Eijl S., Okonko D.O., Howard L.S., Ali O., Thum T., Wort S.J., Bedard E., Gibbs J.S.R.",00097322,"Circulation",117, 23,0,0,2,2,7,9
2007,"Emerging therapies for pulmonary arterial hypertension","Ali O., Wharton J., Gibbs J.S.R., Howard L., Wilkins M.R.",13543784,"Expert Opinion on Investigational Drugs",16, 6,0,1,1,2,1,3
2006,"Phosphodiesterase type 4 expression and anti-proliferative effects in human pulmonary artery smooth muscle cells","Growcott E.J., Spink K.G., Ren X., Afzal S., Banner K.H., Wharton J.",1465993X,"Respiratory Research",7, ,0,3,3,6,3,9
2005,"Hypoxia amplifies the proliferative capacity of distal human pulmonary artery smooth-muscle cells","Growcott E.J., Banner K.H., Wharton J.",00123692,"Chest",128, 6,0,1,1,2,0,2
2005,"Antiproliferative effects of phosphodiesterase type 5 inhibition in human pulmonary artery cells","Wharton J., Strange J.W., Moller G.M.O., Growcott E.J., Ren X., Franklyn A.P., Phillips S.C., Wilkins M.R.",1073449X,"American Journal of Respiratory and Critical Care Medicine",172, 1,19,18,14,32,13,64
2005,"Autoradiography of enzymes, second messenger systems, and ion channels.","Walsh D.A., Wharton J.",10643745,"Methods in molecular biology (Clifton, N.J.)",306, ,0,0,0,0,0,0
2004,"Profibrotic effects of endothelin-1 via the ETA receptor in cultured human cardiac fibroblasts","Hafizi S., Wharton J., Chester A.H., Yacoub M.H.",10158987,"Cellular Physiology and Biochemistry",14, 4-6,10,4,4,8,1,19
2003,"Phosphodiesterase type 5 as a target for the treatment of hypoxia-induced pulmonary hypertension","Sebkhi A., Strange J.W., Phillips S.C., Wharton J., Wilkins M.R.",00097322,"Circulation",107, 25,60,18,20,38,6,104
2003,"Pulmonary arterial hypertension and the vasoconstrictive factor: Is there still a role for vasodilator testing?","Gibbs J.S.R., Wharton J., Wilkins M.R.",0195668X,"European Heart Journal",24, 4,2,1,0,1,0,3
2002,"Hypoxic induction of COX-2 regulates proliferation of human pulmonary artery smooth muscle cells","Yang X., Sheares K.K.K., Davie N., Upton P.D., Taylor G.W., Horsley J., Wharton J., Morrell N.W.",10441549,"American Journal of Respiratory Cell and Molecular Biology",27, 6,20,6,4,10,3,33
2002,"Recent insights into the pathogenesis and therapeutics of pulmonary hypertension","Strange J.W., Wharton J., Phillips P.G., Wilkins M.R.",01435221,"Clinical Science",102, 3,24,1,0,1,1,26
2002,"ETA and ETB receptors modulate the proliferation of human pulmonary artery smooth muscle cells","Davie N., Haleen S.J., Upton P.D., Polak J.M., Yacoub M.H., Morrell N.W., Wharton J.",1073449X,"American Journal of Respiratory and Critical Care Medicine",165, 3,56,16,21,37,6,99
2002,"Phosphodiesterase inhibition in the treatment of pulmonary hypertension","Sebkhi A., Phillips P.G., Strange J., Wharton J., Wilkins M.R.",01973118,"Cardiovascular Reviews and Reports",23, 5,0,0,0,0,0,0
2001,"Progress in, and future prospects for, the treatment of primary pulmonary hypertension","Wilkins M.R., Wharton J.",13556037,"Heart",86, 6,3,1,0,1,1,5
2001,"Differential adrenomedullin release and endothelin receptor expression in distinct subpopulations of human airway smooth-muscle cells","Upton P.D., Wharton J., Davie N., Ghatei M.A., Smith D.M., Morrell N.W.",10441549,"American Journal of Respiratory Cell and Molecular Biology",25, 3,2,0,0,0,0,2
2001,"Adrenomedullin expression and growth inhibitory effects in distinct pulmonary artery smooth muscle cell subpopulations","Upton P.D., Smith D.M., Morrell N.W., Wharton J., Coppock H., Davie N., Yang X., Yacoub M.H., Ghatei M.A., Polak J.M., Bloom S.R.",10441549,"American Journal of Respiratory Cell and Molecular Biology",24, 2,19,2,1,3,1,23
2000,"Prostacyclin analogues differentially inhibit growth of distal and proximal human pulmonary artery smooth muscle cells","Wharton J., Davie N., Upton P.D., Yacoub M.H., Polak J.M., Morrell N.W.",00097322,"Circulation",102, 25,40,10,6,16,1,57
2000,"Expression and function of angiotensin converting enzyme, chymase, and angiotensin II in the human radial artery and internal thoracic artery","Borland J.A.A., Chester A.H., Rooker S.J., Wharton J., Davie N., Amrani M., Yacoub M.H.",00034975,"Annals of Thoracic Surgery",70, 6,6,0,4,4,0,10
2000,"Angiotensin converting enzyme in human synovium: Increased stromal [125I)351A binding in rheumatoid arthritis","Walsh D.A., Catravas J., Wharton J.",00034967,"Annals of the Rheumatic Diseases",59, 2,9,4,2,6,1,16
1999,"Angiotensin II activates MAPK and stimulates growth of human pulmonary artery smooth muscle via AT1 receptors","Morrell N.W., Upton P.D., Kotecha S., Huntley A., Yacoub M.H., Polak J.M., Wharton J.",10400605,"American Journal of Physiology - Lung Cellular and Molecular Physiology",277, 3,31,1,2,3,1,35
