,"Author: Gentleman, Stephen M.",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 16 (Of the 47 documents considered for the h-Index, 16 have been cited at least 16 times.)",,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,2116,145,134,279,141,2536
2009,"Clinical correlates of pathology in the claustrum in Parkinson's disease and dementia with Lewy bodies","Kalaitzakis M.E., Pearce R.K.B., Gentleman S.M.",03043940,"Neuroscience Letters",461, 1,0,0,0,0,0,0
2009,"Parkinson disease: Extranigral, multisystem, and ?-synuclein ""plus""","Kalaitzakis M.E., Graeber M.B., Gentleman S.M., Pearce R.K.B.",00039942,"Archives of Neurology",66, 7,0,0,0,0,0,0
2009,"Staging/typing of Lewy body related ?-synuclein pathology: A study of the BrainNet Europe Consortium","Alafuzoff I., Gelpi E., Gentleman S., Giaccone G., Ironside J.W., Kavantzas N., King A., Korkolopoulou P., Kovacs G.G., Meyronet D., Monoranu C., Ince P.G., Parchi P., Parkkinen L., Patsouris E., Roggendorf W., Rozemuller A., Stadelmann-Nessler C., Streichenberger N., Thal D.R., Kretzschmar H., Arzberger T., Al-Sarraj S., Bell J., Bodi I., Bogdanovic N., Bugiani O., Ferrer I.",00016322,"Acta Neuropathologica",117, 6,0,0,0,0,1,1
2009,"Dementia and visual hallucinations associated with limbic pathology in Parkinson's disease","Kalaitzakis M.E., Christian L.M., Moran L.B., Graeber M.B., Pearce R.K.B., Gentleman S.M.",13538020,"Parkinsonism and Related Disorders",15, 3,0,0,0,0,2,2
2009,"Assessment of ?-amyloid deposits in human brain: A study of the BrainNet Europe Consortium","Alafuzoff I., Gelpi E., Gentleman S., Giaccone G., Graeber M., Hortobagyi T., Hoftberger R., Ince P., Ironside J.W., Kavantzas N., King A., Thal D.R., Korkolopoulou P., Kovacs G.G., Meyronet D., Monoranu C., Nilsson T., Parchi P., Patsouris E., Pikkarainen M., Revesz T., Rozemuller A., Arzberger T., Seilhean D., Schulz-Schaeffer W., Streichenberger N., Wharton S.B., Kretzschmar H., Bogdanovic N., Al-Sarraj S., Bodi I., Boluda S., Bugiani O., Duyckaerts C.",00016322,"Acta Neuropathologica",117, 3,0,0,0,0,0,0
2009,"Acute and chronic effects of intravitreally injected ?-amyloid on the neurotransmitter system in the retina","Aruoma O.I., Jen S.S.M., Watts H.R., George J., Gentleman S.M., Anderson P.J.B., Jen L.-S.",0300483X,"Toxicology",256, 1-2,0,0,0,0,0,0
2009,"Evidence against a reliable staging system of ?-synuclein pathology in Parkinson's disease","Kalaitzakis M.E., Graeber M.B., Gentleman S.M., Pearce R.K.B.",03051846,"Neuropathology and Applied Neurobiology",35, 1,0,0,0,0,1,1
2008,"Controversies over the staging of ?-synuclein pathology in Parkinson's disease","Kalaitzakis M.E., Graeber M.B., Gentleman S.M., Pearce R.K.B.",00016322,"Acta Neuropathologica",116, 1,0,0,3,3,8,11
2008,"Interactions between APP secretases and inflammatory mediators","Sastre M., Walter J., Gentleman S.M.",17422094,"Journal of Neuroinflammation",5, ,0,0,0,0,3,3
2008,"The dorsal motor nucleus of the vagus is not an obligatory trigger site of Parkinson's disease: A critical analysis of ?-synuclein staging","Kalaitzakis M.E., Graeber M.B., Gentleman S.M., Pearce R.K.B.",03051846,"Neuropathology and Applied Neurobiology",34, 3,0,0,5,5,11,16
2008,"Inter-laboratory comparison of neuropathological assessments of ?-amyloid protein: A study of the BrainNet Europe consortium","Alafuzoff I., Ferrer I., Gelpi E., Gentleman S., Giaccone G., Kavantzas N., King A., Korkolopoulou P., Kovacs G.G., Meyronet D., Monoranu C., Pikkarainen M., Parchi P., Patsouris E., Roggendorf W., Stadelmann C., Streichenberger N., Tagliavini F., Kretzschmar H., Arzberger T., Thal D.R., Al-Sarraj S., Bell J., Bodi I., Budka H., Capetillo-Zarate E.",00016322,"Acta Neuropathologica",115, 5,0,0,3,3,5,8
2008,"Response from authors","Kalaitzakis M.E., Graeber M.B., Gentleman S.M., Pearce R.K.B.",00223069,"Journal of Neuropathology and Experimental Neurology",67, 5,0,0,0,0,0,0
2008,"Management of a twenty-first century brain bank: Experience in the BrainNet Europe consortium","Bell J.E., Gelpi E., Gentleman S.M., Giaccone G., Huitinga I., Ironside J.W., Klioueva N., Kovacs G.G., Meyronet D., Palkovits M., Parchi P., Alafuzoff I., Patsouris E., Reynolds R., Riederer P., Roggendorf W., Seilhean D., Schmitt A., Schmitz P., Streichenberger N., Schwalber A., Kretzschmar H., Al-Sarraj S., Arzberger T., Bogdanovic N., Budka H., Dexter D.T., Falkai P., Ferrer I.",00016322,"Acta Neuropathologica",115, 5,0,0,2,2,2,4
2008,"Striatal beta-amyloid deposition in Parkinson disease with dementia.","Kalaitzakis M.E., Graeber M.B., Gentleman S.M., Pearce R.K.",00223069,"Journal of neuropathology and experimental neurology",67, 2,0,0,4,4,9,13
