,"Authors: Buluwela, Lakjaya; Buluwela, Lakjaya; Buluwela, Lakjaya",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 7 (Of the 11 documents considered for the h-Index, 7 have been cited at least 7 times.)",,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,779,46,40,86,33,898
2006,"ZNF366 is an estrogen receptor corepressor that acts through CtBP and histone deacetylases","Lopez-Garcia J., Buluwela L., Kamalati T., Ali S., Periyasamy M., Thomas R.S., Christian M., Leao M., Jat P., Kindle K.B., Heery D.M., Parker M.G.",03051048,"Nucleic Acids Research",34, 21,0,0,3,3,3,6
2005,"T:G mismatch-specific thymine-DNA glycosylase (TDG) as a coregulator of transcription interacts with SRC1 family members through a novel tyrosine repeat motif","Lucey M.J., Losson R., Chambon P., Parker M.G., Schar P., Heery D.M., Buluwela L., Ali S., Chen D., Lopez-Garcia J., Hart S.M., Phoenix F., Al-Jehani R., Alao J.P., White R., Kindle K.B.",03051048,"Nucleic Acids Research",33, 19,2,3,6,9,2,13
2004,"Estrogen receptors and anti-estrogen therapies.","Buluwela L., Constantinidou D., Pike J., Ali S.",09273042,"Cancer treatment and research",119, ,1,0,0,0,0,1
2003,"T:G mismatch-specific thymine-DNA glycosylase potentiates transcription of estrogen-regulated genes through direct interaction with estrogen receptor ?","Chen D., Schar P., Ali S., Lucey M.J., Phoenix F., Lopez-Garcia J., Hart S.M., Losson R., Buluwela L., Coombes R.C., Chambon P.",00219258,"Journal of Biological Chemistry",278, 40,9,6,7,13,4,26
2001,"Loss of cyclin D2 expression in the majority of breast cancers is associated with promoter hypermethylation","Evron E., Sukumar S., Umbricht C.B., Korz D., Raman V., Loeb D.M., Niranjan B., Buluwela L., Weitzman S.A., Marks J.",00085472,"Cancer Research",61, 6,66,10,5,15,6,87
2001,"Wilms' tumor suppressor gene (WT1) is expressed in primary breast tumors despite tumor-specific promoter methylation","Loeb D.M., Evron E., Patel C.B., Mohini Sharma P., Niranjan B., Buluwela L., Weitzman S.A., Korz D., Sukumar S.",00085472,"Cancer Research",61, 3,62,9,7,16,6,84
2000,"Organization and conservation of the Gart/Son/Donson locus in mouse and human genomes","Wynn S.L., Kessling A., Lee J.S., Buluwela L., Fisher R.A., Pagel C., Price M., Liu Q.Y., Khan I.M., Zammit P., Dadrah K., Mazrani W.",08887543,"Genomics",68, 1,5,0,1,1,0,6
1998,"In vivo effects of hepatocyte growth factor/scatter factor on mouse mammary gland development","Yant J., Buluwela L., Niranjan B., Gusterson B., Kamalati T.",00144827,"Experimental Cell Research",241, 2,16,1,1,2,2,20
1997,"The role of myoepithelial-derived growth factors in the human breast","Coombes R.C., Buluwela L., Gomm J.J.",13510088,"Endocrine-Related Cancer",4, 1,0,0,0,0,0,0
1996,"Inhibitory effects of activin on the growth and morphogenesis of primary and transformed mammary epithelial cells","Liu Q.Y., Niranjan B., Gomes P., Gomm J.J., Davies D., Coombes R.C., Buluwela L.",00085472,"Cancer Research",56, 5,56,3,2,5,3,64
1996,"Expression of FGFR2 BEK and K-SAM mRNA variants in normal and malignant human breast","Luqmani Y.A., Bansal G.S., Mortimer C., Buluwela L., Coombes R.C.",09598049,"European Journal of Cancer",32, 3,7,0,1,1,1,9
1995,"HGF/SF: A potent cytokine for mammary growth, morphogenesis and development","Niranjan B., Buluwela L., Yant J., Perusinghe N., Atherton A., Phippard D., Dale T., Gusterson B., Kamalati T.",09501991,"Development",121, 9,96,2,1,3,1,100
1994,"Ectoenzyme regulation by phenotypically distinct fibroblast sub-populations isolated from the human mammary gland","Atherton A.J., O'Hare M.J., Buluwela L., Titley J., Monaghan P., Paterson H.F., Warburton M.J., Gusterson B.A.",00219533,"Journal of Cell Science",107, 10,22,1,1,2,1,25
1994,"A simple ligation step improves the efficiency of T-overhang vectors","Khan I.M., Zammit P.S., Green M., Buluwela L.",01689525,"Trends in Genetics",10, 7,0,0,0,0,0,0
1994,"A map of the human immunoglobulin V(H) locus completed by analysis of the telomeric region of chromosome 14q","Cook G.P., Tomlinson I.M., Walter G., Riethman H., Carter N.P., Buluwela L., Winter G., Rabbitts T.H.",10614036,"Nature Genetics",7, 2,170,1,2,3,1,174
1994,"Human immunoglobulin VH and D segments on chromosomes 15q11.2 and 16p11.2","Tomlinson I.M., Cook G.P., Carter N.P., Elaswarapu R., Smith S., Walter G., Buluwela L., Rabbitts T.H., Winter G.",09646906,"Human Molecular Genetics",3, 6,54,1,1,2,0,56
1993,"In vitro regulation of HGF/SF expression.","Kamalati T., Thirunavukarasu B., Buluwela L.",00811386,"Symposia of the Society for Experimental Biology",47, ,0,0,0,0,0,0
1993,"Cosmid cloning and walking to map human CD1 leukocyte differentiation antigen genes","Yu C.Y., Wu L.-C., Buluwela L., Milstein C.",00766879,"Methods in Enzymology",217, ,4,1,0,1,0,5
1993,"In vitro regulation of HGF-SF expression by epithelial-mesenchymal interactions.","Kamalati T., Brooks R.F., Holder N., Buluwela L.",,"EXS",65, ,2,0,0,0,0,2
1992,"Protein-DNA interactions and a putative papillomavirus binding factor","Khan I.M., Malcolm A.D.B., Kamalati T., Buluwela L.",03005127,"Biochemical Society Transactions",20, 2,0,0,0,0,0,0
1992,"Down-regulation of scatter factor in MRC 5 fibroblasts by epithelial-derived cells. A model for scatter factor modulation","Kamalati T., Thirunavukarasu B., Wallace A., Holder N., Brooks R., Nakamura T., Stoker M., Gherardi E., Buluwela L.",00219533,"Journal of Cell Science",101, 2,6,0,0,0,0,6
1991,"Human antibody production in transgenic mice: Expression from 100 kb of the human IgH locus","Bruggemann M., Spicer C., Buluwela L., Rosewell I., Barton S., Surani M.A., Rabbitts T.H.",00142980,"European Journal of Immunology",21, 5,28,2,1,3,1,32
1989,"Chromosomal translocations involving the T-cell receptor delta chain locus and two loci on the short arm of chromosome 11.","Boehm T., Rabbitts T.H., Baer R., Buluwela L., Forster A., Lavenir I., Nacheva E., Waters J., White L., Williams D.",04400607,"Hamatologie und Bluttransfusion",32, ,0,0,0,0,0,0
1989,"A rapid procedure for colony screening using nylon filters","Buluwela L., Forster A., Boehm T., Rabbitts T.H.",03051048,"Nucleic Acids Research",17, 1,46,4,0,4,1,51
1988,"A V(H) gene is located within 95 Kb of the human immunoglobulin heavy chain constant region genes","Buluwela L., Rabbitts T.H.",00142980,"European Journal of Immunology",18, 11,13,0,0,0,0,13
1988,"A cluster of chromosome 11p13 translocations found via distinct D-D and D-D-J rearrangements of the human T cell receptor delta chain gene.","Boehm T., Buluwela L., Williams D., White L., Rabbitts T.H.",02614189,"EMBO Journal",7, 7,26,1,0,1,1,28
1988,"The use of chromosomal translocations to study human immunoglobulin gene organization: mapping DH segments within 35 kb of the C mu gene and identification of a new DH locus.","Buluwela L., Albertson D.G., Sherrington P., Rabbitts P.H., Spurr N., Rabbitts T.H.",02614189,"EMBO Journal",7, 7,65,0,0,0,0,65
1988,"Organization of the human CD3 locus on chromosome 11","Tunnacliffe A., Olsson C., Buluwela L., Rabbitts T.H.",00142980,"European Journal of Immunology",18, 10,9,1,1,2,0,11
1987,"Physical linkage of three CD3 genes on human chromosome 11.","Tunnacliffe A., Buluwela L., Rabbitts T.H.",02614189,"EMBO Journal",6, 10,14,0,0,0,0,14
1986,"Molecular genetics of antigen receptors and associated chromosomal abnormalities in human leukemias","Rabbitts T.H., Baer R., Buluwela L.",00917451,"Cold Spring Harbor Symposia on Quantitative Biology",51, 2,0,0,0,0,0,0
1981,"The use of the restriction endonuclease Ddel for mapping related DNAs","Buluwela L., Malcolm A.D.B., Coleman D.V., Gardner S.D.",01448463,"Bioscience Reports",1, 3,0,0,0,0,0,0
