,"This is a citation overview for a set of 44 documents.",,,,,,,,,,,,
,,,,,,,,,,,,,
,"h index = 19 (Of the 44 documents considered for the h-Index, 19 have been cited at least 19 times.)",,,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,<2010,2010,2011,2012,subtotal,>2012,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,828,156,111,31,298,0,1126
2009,"Is there a place for 'immuno' in the immunotherapy of multiple sclerosis?","Forsthuber T.G., Muraro P.",1750743X,"Immunotherapy",1, 3,0,0,0,0,0,0,0
2009,"Autologous non-myeloablative haemopoietic stem cell transplantation in relapsing-remitting multiple sclerosis: a phase I/II study","Burt R.K., Loh Y., Cohen B., Stefosky D., Balabanov R., Katsamakis G., Oyama Y., Russell E.J., Stern J., Muraro P., Rose J., Testori A., Bucha J., Jovanovic B., Milanetti F., Storek J., Voltarelli J.C., Burns W.H.",14744422,"The Lancet Neurology",8, 3,14,30,19,8,57,0,71
2008,"Different development of myelin basic protein agonist- and antagonist-specific human TCR transgenic T cells in the thymus and periphery","Kawamura K., Muraro P.A., Martin R., Ito K., Yao K., Shukaliak-Quandt J.A., Huh J., Baig M., Quigley L., Ito N., Necker A., McFarland H.F.",00221767,"Journal of Immunology",181, 8,0,0,1,0,1,0,1
2008,"Immune re-education following autologous hematopoietic stem cell transplantation","Abrahamsson S., Muraro P.A.",08916934,"Autoimmunity",41, 8,3,1,5,1,7,0,10
2008,"Autologous HSCT for advanced MS: Is the glass half-empty or really half-full? [1]","Nash R.A., Muraro P.A., Stuve O., Bowen J.D., Frohman E.M., Griffith L.M., Hutton G.J., Kraft G.H., Popat U., Racke M.K.",00068950,"Brain",131, 2,4,2,0,0,2,0,6
2007,"Emerging Therapies for Multiple Sclerosis","Muraro P.A., Bielekova B.",19337213,"Neurotherapeutics",4, 4,10,6,0,0,6,0,16
