,"Author: Rezek, Dr Iead;Rezek Iead",,,,,,,,,,,,
,,,,,,,,,,,,,
,This is a citation overview for a set of 25 documents.,,,,,,,,,,,,
,,,,,,,,,,,,,
,"h index = 8 (Of the 25 documents considered for the h-Index, 8 have been cited at least 8 times.)",,,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,<2010,2010,2011,2012,subtotal,>2012,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,343,43,25,8,76,0,419
2008,On similarities between inference in game theory and machine learning,"Rezek I., Leslie D.S., Reece S., Roberts S.J., Rogers A., Dash R.K., Jennings N.R.",10769757,Journal of Artificial Intelligence Research,33, ,1,2,1,0,3,0,4
2007,An iterative signal detection algorithm based on bayesian belief propagation ideas,"Proudler I., Roberts S., Reece S., Rezek I.",,"2007 15th International Conference on Digital Signal Processing, DSP 2007",, ,0,0,0,0,0,0,0
2007,"Efficient statistical performance modeling for autonomic, service-oriented systems","Zhang R., Bivens A., Rezek I.",,"Proceedings - 21st International Parallel and Distributed Processing Symposium, IPDPS 2007; Abstracts and CD-ROM",, ,0,0,0,0,0,0,0
2007,Increasing the depth of anesthesia assessment,"Rezek I., Roberts S.J., Conradt R.",7395175,IEEE Engineering in Medicine and Biology Magazine,26,2,2,3,1,0,4,0,6
2005,Unifying learning in games and graphical models,"Rezek I., Roberts S.J., Rogers A., Dash R.K., Jennings N.",,"2005 7th International Conference on Information Fusion, FUSION",2, ,0,0,0,0,0,0,0
2005,Depth of anaesthesia assessment with generative polyspectral models,"Rezek I., Roberts S.J., Siva E., Conradt R.",,Proceedings - ICMLA 2005: Fourth International Conference on Machine Learning and Applications,2005, ,0,0,0,0,0,0,0
2004,Positional entropy during pigeon homing I: Application of Bayesian latent state modelling,"Roberts S., Guilford T., Rezek I., Biro D.",225193,Journal of Theoretical Biology,227,1,12,1,0,1,2,0,14
2004,Positional entropy during pigeon homing II: Navigational interpretation of Bayesian latent state models,"Guilford T., Roberts S., Biro D., Rezek I.",225193,Journal of Theoretical Biology,227,1,19,2,2,0,4,0,23
2002,Maximum a posteriori estimation of coupled hidden Markov models,"Rezek I., Gibbs M., Roberts S.J.",13875485,"Journal of VLSI Signal Processing Systems for Signal, Image, and Video Technology",32, 1-2,0,1,0,0,1,0,1
2002,"An automatic, continuous and probabilistic sleep stager based on a Hidden Markov Model","Flexer A., Dorffner G., Sykacek P., Rezek I.",8839514,Applied Artificial Intelligence,16,3,8,3,2,0,5,0,13
2001,"Erratum: Learning interaction dynamics with coupled hidden Markov models (IEE Proceedings: Science, Measurement and Technology (2000) 147:6 (345-350))","Rezek I., Sykacek P., Roberts S.J.",13502344,"IEE Proceedings: Science, Measurement and Technology",148,5,0,0,0,0,0,0,0
2000,Automated assessment of vigilance using committees of radial basis function analyzers,"Roberts Stephen, Rezek Iead, Everson Richard, Stone Helen, Wilson Sue, Alford Chris",5379989,IEE Conference Publication,,476,0,0,0,0,0,0,0
2000,Coupled hidden Markov models for biosignal interaction modelling,"Rezek Iead, Sykacek Peter, Roberts Stephen J.",5379989,IEE Conference Publication,,476,0,0,0,0,0,0,0
2000,Estimation of Coupled Hidden Markov Models with application to biosignal interaction modelling,"Rezek Iead, Roberts Stephen J.",,Neural Networks for Signal Processing - Proceedings of the IEEE Workshop,2, ,3,0,0,1,1,0,4
2000,Automated assessment of vigilance using committees of radial basis function analysers,"Roberts S., Rezek I., Everson R., Stone H., Wilson S., Aiford C.",13502344,"IEE Proceedings: Science, Measurement and Technology",147,6,13,3,0,0,3,0,16
2000,Learning interaction dynamics with coupled hidden Markov models,"Rezek I., Sykacek P., Roberts S.J.",13502344,"IEE Proceedings: Science, Measurement and Technology",147,6,5,0,0,0,0,0,5
2000,Maximum certainty data partitioning,"Roberts S.J., Everson R., Rezek I.",313203,Pattern Recognition,33,5,41,1,3,0,4,0,45
2000,"Using Hidden Markov Models to build an automatic, continuous and probabilistic sleep stager","Flexer A., Sykacek P., Rezek I., Dorffner G.",,Proceedings of the International Joint Conference on Neural Networks,3, ,3,0,1,0,1,0,4
1999,Minimum entropy data partitioning,"Roberts Stephen J., Everson Richard, Rezek Iead",5379989,IEE Conference Publication,2,470,1,0,0,0,0,0,1
1999,Temporal and spatial complexity measures for electroencephalogram based brain-computer interfacing,"Roberts S.J., Penny W., Rezek I.",1400118,Medical and Biological Engineering and Computing,37,1,26,2,3,0,5,0,31
1998,Bayesian approaches to gaussian mixture modeling,"Roberts S.J., Husmeier D., Rezek I., Penny W.",1628828,IEEE Transactions on Pattern Analysis and Machine Intelligence,20,11,102,9,5,2,16,0,118
1998,The use of advanced information processing methods in EEG analysis,"Roberts S.J., Rezek I.A., Penny W.D., Everson R.M.",9633308,IEE Colloquium (Digest),,462,0,0,0,0,0,0,0
1998,Stochastic complexity measures for physiological signal analysis,"Rezek I.A., Roberts S.J.",189294,IEEE Transactions on Biomedical Engineering,45,9,107,16,7,4,27,0,134
1997,Parametric model order estimation: A brief review,"Rezek Iead A., Roberts Stephen J.",9633308,IEE Colloquium (Digest),,9,0,0,0,0,0,0,0
1995,Use of neural networks in EEG analysis,"Roberts Stephen J., Krkic Milos, Rezek Iead, Pardey James, Tarassenko Lionel, Stradling John, Jordan Chris",9633308,IEE Colloquium (Digest),,241,0,0,0,0,0,0,0
