,"This is a citation overview for a set of 92 documents.",,,,,,,,,,,,
,,,,,,,,,,,,,
,"h index = 36 (Of the 92 documents considered for the h-Index, 36 have been cited at least 36 times.)",,,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,<2010,2010,2011,2012,subtotal,>2012,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,2967,409,453,147,1009,0,3976
2009,"Old and new dopamine agonists in Parkinson's disease: a reappraisal. Introduction.","Bonuccelli U., Piccini P., Rabey J.M.",18735126,"Parkinsonism & related disorders",15, ,0,0,0,0,0,0,0
2009,"Nigrostriatal dysfunction in homozygous and heterozygous Parkin gene carriers: An18F-dopa PET progression study","Pavese N., Piccini P., Khan N.L., Scherfler C., Cohen L., Brooks D.J., Wood N.W., Bhatia K.P., Quinn N.P., Lees A.J.",08853185,"Movement Disorders",24, 15,0,4,7,2,13,0,13
2009,"Parkinson disease and impulse control disorders: A review of clinical features, pathophysiology and management","Wu K., Politis M., Piccini P.",00325473,"Postgraduate Medical Journal",85, 1009,0,1,6,0,7,0,7
2009,"Positron emission tomography imaging in Parkinson's disease","Politis M., Wu K., Piccini P.",03911772,"Minerva Psichiatrica",50, 1,0,0,0,0,0,0,0
2008,"Evidence of dopamine dysfunction in the hypothalamus of patients with Parkinson's disease: An in vivo 11C-raclopride PET study","Politis M., Piccini P., Pavese N., Koh S.-B., Brooks D.J.",00144886,"Experimental Neurology",214, 1,7,7,7,1,15,0,22
2008,"Hypothalamic involvement in Huntington's disease: An in vivo PET study","Politis M., Pavese N., Tai Y.F., Tabrizi S.J., Barker R.A., Piccini P.",00068950,"Brain",131, 11,9,15,12,3,30,0,39
2008,"Long-term clinical and positron emission tomography outcome of fetal striatal transplantation in Huntington's disease","Reuter I., Piccini P., Tai Y.F., Pavese N., Chaudhuri K.R., Mason S., Polkey C.E., Clough C., Brooks D.J., Barker R.A.",00223050,"Journal of Neurology, Neurosurgery and Psychiatry",79, 8,7,4,16,3,23,0,30
2008,"Cognitive deficits and striato-frontal dopamine release in Parkinson's disease","Sawamoto N., Piccini P., Hotton G., Pavese N., Thielemans K., Brooks D.J.",00068950,"Brain",131, 5,19,15,17,10,42,0,61
2008,"PET image denoising using a synergistic multiresolution analysis of structural (MRI/CT) and functional datasets","Turkheimer F.E., Boussion N., Anderson A.N., Pavese N., Piccini P., Visvikis D.",01615505,"Journal of Nuclear Medicine",49, 4,5,0,3,1,4,0,9
2007,"Neurocognitive function in current and ex-users of ecstasy in comparison to both matched polydrug-using controls and drug-naïve controls","Hoshi R., Mullins K., Boundy C., Brignell C., Piccini P., Curran H.V.",00333158,"Psychopharmacology",194, 3,4,5,4,2,11,0,15
2007,"Ecstasy (MDMA) Does Not Have Long-Term Effects on Aggressive Interpretative Bias: A Study Comparing Current and Ex-Ecstasy Users With Polydrug and Drug-Naive Controls","Hoshi R., Cohen L., Lemanski L., Piccini P., Bond A., Curran H.V.",10641297,"Experimental and Clinical Psychopharmacology",15, 4,5,2,1,0,3,0,8
2007,"Microglial activation in presymptomatic Huntington's disease gene carriers","Tai Y.F., Pavese N., Gerhard A., Tabrizi S.J., Barker R.A., Brooks D.J., Piccini P.",00068950,"Brain",130, 7,36,18,13,4,35,0,71
