,"Author: Larkman, David J.",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 15 (Of the 38 documents considered for the h-Index, 15 have been cited at least 15 times.)",,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,344,158,152,310,107,761
2009,"An efficient automated z-shim based method to correct through-slice signal loss in EPI at 3T","Marshall H., Hajnal J.V., Warren J.E., Wise R.J., Larkman D.J.",09685243,"Magnetic Resonance Materials in Physics, Biology and Medicine",22, 3,0,0,0,0,0,0
2008,"High b-value diffusion tensor imaging of the neonatal brain at 3T","Dudink J., Counsell S.J., Larkman D.J., Kapellou O., Boardman J.P., Allsop J.M., Cowan F.M., Hajnal J.V., Edwards A.D., Rutherford M.A.",01956108,"American Journal of Neuroradiology",29, 10,0,0,0,0,2,2
2007,"Parallel magnetic resonance imaging","Larkman D.J., Nunes R.G.",00319155,"Physics in Medicine and Biology",52, 7,0,2,11,13,4,17
2007,"Thalamo-cortical connectivity in children born preterm mapped using probabilistic magnetic resonance tractography","Counsell S.J., Hajnal J.V., Rutherford M.A., Edwards A.D., Dyet L.E., Larkman D.J., Nunes R.G., Boardman J.P., Allsop J.M., Fitzpatrick J., Srinivasan L., Cowan F.M.",10538119,"NeuroImage",34, 3,0,2,7,9,4,13
2006,"Detection of vascular expression of E-selectin in vivo with MR imaging","Reynolds P.R., Larkman D.J., Haskard D.O., Hajnal J.V., Kennea N.L., George A.J.T., Edwards A.D.",00338419,"Radiology",241, 2,1,0,5,5,6,12
2006,"Nonlinear phase correction of navigated multi-coil diffusion images","Atkinson D., Counsell S., Hajnal J.V., Batchelor P.G., Hill D.L.G., Larkman D.J.",07403194,"Magnetic Resonance in Medicine",56, 5,0,0,1,1,4,5
2006,"Imaging molecular and cellular events in transplantation","George A.J.T., Bhakoo K.K., Haskard D.O., Larkman D.J., Reynolds P.R.",00411337,"Transplantation",82, 9,0,1,3,4,1,5
2006,"x-f choice: Reconstruction of undersampled dynamic MRI by data-driven alias rejection applied to contrast-enhanced angiography","Malik S.J., Schmitz S., O'Regan D., Larkman D.J., Hajnal J.V.",07403194,"Magnetic Resonance in Medicine",56, 4,0,2,0,2,0,2
2006,"A rapid method for labelling CD4+ T cells with ultrasmall paramagnetic iron oxide nanoparticles for magnetic resonance imaging that preserves proliferative, regulatory and migratory behaviour in vitro","Garden O.A., Reynolds P.R., Yates J., Larkman D.J., Marelli-Berg F.M., Haskard D.O., Edwards A.D., George A.J.T.",00221759,"Journal of Immunological Methods",314, 1-2,0,3,3,6,1,7
2006,"Current and future applications of magnetic resonance imaging and spectroscopy of the brain in hepatic encephalopathy","Grover V.P.B., Dresner M.A., Forton D.M., Counsell S., Larkman D.J., Patel N., Thomas H.C., Taylor-Robinson S.D.",10079327,"World Journal of Gastroenterology",12, 18,0,7,2,9,7,16
2006,"Parallel imaging.","Hajnal J.V., Larkman D.J.",09523480,"NMR in biomedicine.",19, 3,0,0,0,0,0,0
2006,"Editorial","Hajnal J.V., Larkman D.J.",09523480,"NMR in Biomedicine",19, 3,0,0,0,0,0,0
2006,"Magnetic resonance direct thrombus imaging at 3 T field strength in patients with lower limb deep vein thrombosis: A feasibility study","Schmitz S.A., O'Regan D.P., Gibson D., Cunningham C., Fitzpatrick J., Allsop J., Larkman D.J., Hajnal J.V.",00099260,"Clinical Radiology",61, 3,0,0,0,0,0,0
2006,"Axial and radial diffusivity in preterm infants who have diffuse white matter changes on magnetic resonance imaging at term-equivalent age","Counsell S.J., Edwards A.D., Rutherford M.A., Shen Y., Boardman J.P., Larkman D.J., Kapellou O., Ward P., Allsop J.M., Cowan F.M., Hajnal J.V.",00314005,"Pediatrics",117, 2,4,17,14,31,13,48
2006,"Beyond the g-factor limit in sensitivity encoding using joint histogram entropy","Larkman D.J., Batchelor P.G., Atkinson D., Rueckert D., Hajnal J.V.",07403194,"Magnetic Resonance in Medicine",55, 1,0,1,0,1,1,2
2005,"Padé methods for reconstruction and feature extraction in magnetic resonance imaging","Callaghan M.F., Larkman D.J., Hajnal J.V.",07403194,"Magnetic Resonance in Medicine",54, 6,2,1,1,2,1,5
2005,"Matrix description of general motion correction applied to multishot images","Batchelor P.G., Atkinson D., Irarrazaval P., Hill D.L.G., Hajnal J., Larkman D.",07403194,"Magnetic Resonance in Medicine",54, 5,2,6,4,10,3,15
2005,"A comparison of MR cholangiopancreatography at 1.5 and 3.0 Tesla","O'regan D.P., Fitzgerald J., Allsop J., Gibson D., Larkman D.J., Cokkinos D., Hajnal J.V., Schmitz S.A.",00071285,"British Journal of Radiology",78, 934,1,5,10,15,1,17
2004,"Multiple coils for reduction of flow artefacts in MR images","Atkinson D., Larkman D.J., Batchelor P.G., Hill D.L.G., Hajnal J.V.",03029743,"Lecture Notes in Computer Science",3217, 1,0,0,0,0,0,0
2004,"Correction of high-order eddy current induced geometric distortion in diffusion-weighted echo-planar images","Shen Y., Larkman D.J., Counsell S., Pu I.M., Edwards D., Hajnal J.V.",07403194,"Magnetic Resonance in Medicine",52, 5,5,5,3,8,1,14
2004,"Coil-based artifact reduction","Atkinson D., Larkman D.J., Batchelor P.G., Hill D.L.G., Hajnal J.V.",07403194,"Magnetic Resonance in Medicine",52, 4,6,4,0,4,1,11
2004,"Diffusion-weighted magnetic resonance imaging in term perinatal brain injury: A comparison with site of lesion and time from birth","Rutherford M., Counsell S., Allsop J., Boardman J., Kapellou O., Larkman D., Hajnal J., Edwards D., Cowan F.",00314005,"Pediatrics",114, 4,21,6,13,19,8,48
2004,"Artifact reduction using parallel imaging methods","Larkman D.J., Atkinson D., Hajnal J.V.",08993459,"Topics in Magnetic Resonance Imaging",15, 4,7,5,0,5,4,16
2004,"Esophageal Cancer Staging with Endoscopic MR Imaging: Pilot Study","Dave U.R., Williams A.D., Wilson J.A., Amin Z., Gilderdale D.J., Larkman D.J., Thursz M.R., Taylor-Robinson S.D., DeSouza N.M.",00338419,"Radiology",230, 1,8,1,0,1,1,10
2003,"Diffusion-weighted imaging of the brain in preterm infants with focal and diffuse white matter abnormality","Counsell S.J., Rutherford M.A., Allsop J.M., Harrison M.C., Larkman D.J., Kennea N.L., Kapellou O., Cowan F.M., Hajnal J.V., Edwards A.D.",00314005,"Pediatrics",112, 1 I,57,30,24,54,16,127
2003,"Magic angle imaging of the Achilles tendon in patients with chronic tendonopathy","Oatridge A., Herlihy A., Thomas R.W., Wallace A.L., Puri B.K., Larkman D.J., Bydder G.M.",00099260,"Clinical Radiology",58, 5,8,3,1,4,1,13
2003,"Smash navigators","Bydder M., Atkinson D., Larkman D.J., Hill D.L.G., Hajnal J.V.",07403194,"Magnetic Resonance in Medicine",49, 3,10,4,1,5,2,17
2002,"Contrast-enhanced magic-angle MR imaging of the Achilles tendon","Marshall H., Howarth C., Larkman D.J., Herlihy A.H., Oatridge A., Bydder G.M.",0361803X,"American Journal of Roentgenology",179, 1,10,5,4,9,1,20
2002,"Detection and elimination of motion artifacts by regeneration of k-space","Bydder M., Larkman D.J., Hajnal J.V.",07403194,"Magnetic Resonance in Medicine",47, 4,12,8,1,9,1,22
2002,"Combination of signals from array coils using image-based estimation of coil sensitivity profiles","Bydder M., Larkman D.J., Hajnal J.V.",07403194,"Magnetic Resonance in Medicine",47, 3,21,4,4,8,7,36
2002,"Generalized SMASH imaging","Bydder M., Larkman D.J., Hajnal J.V.",07403194,"Magnetic Resonance in Medicine",47, 1,50,10,10,20,2,72
2001,"An investigation into the use of sensitivity-encoded techniques to increase temporal resolution in dynamic contrast-enhanced breast imaging","Larkman D.J., DeSouza N.M., Bydder M., Hajnal J.V.",10531807,"Journal of Magnetic Resonance Imaging",14, 3,16,4,2,6,0,22
2001,"Use of multicoil arrays for separation of signal from multiple slices simultaneously excited","Larkman D.J., Hajnal J.V., Herlihy A.H., Coutts G.A., Young I.R., Ehnholm G.",10531807,"Journal of Magnetic Resonance Imaging",13, 2,21,1,0,1,0,22
2001,"Microstructured magnetic materials for rf flux guides in magnetic resonance imaging","Wiltshire M.C.K., Pendry J.B., Young I.R., Larkman D.J., Gilderdale D.J., Hajnal J.V.",00368075,"Science",291, 5505,69,19,28,47,13,129
2001,"Catheter tracking for MR fluoroscopy: Design of a transmit/receive coil for use with a nasogastric tube","Herlihy D.J., Larkman D.J., Desouza N.M., Williams A.D., Young I.R.",10531807,"Journal of Magnetic Resonance Imaging",13, 1,3,0,0,0,0,3
2000,"Elimination of magnetic field foldover artifacts in MR images","Larkman D.J., Herlihy A.H., Coutts G.A., Hajnal J.V.",10531807,"Journal of Magnetic Resonance Imaging",12, 5,0,0,0,0,0,0
2000,"Combined MRI and fibreoptic colonoscopy: Technical considerations and clinical feasibility","DeSouza N.M., Coutts G.A., Larkman D.J., Gilderdale D.J., Williams A.D., Thillainagayam A., Young I.R.",13645706,"Minimally Invasive Therapy and Allied Technologies",9, 1,1,0,0,0,0,1
1999,"Design and use of internal receiver coils for magnetic resonance imaging","Gilderdale D.J., Desouza N.M., Coutts G.A., Chui M.K., Larkman D.J., Williams A.D., Young I.R.",00071285,"British Journal of Radiology",72, ,9,2,0,2,1,12
