,"This is a citation overview for a set of 379 documents.",,,,,,,,,,,,
,,,,,,,,,,,,,
,"h index = 64 (Of the 379 documents considered for the h-Index, 64 have been cited at least 64 times.)",,,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,<2010,2010,2011,2012,subtotal,>2012,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,10391,2000,2094,706,4800,0,15191
2009,"Meat and meat-related compounds and risk of prostate cancer in a large prospective cohort study in the United States","Sinha R., Park Y., Graubard B.I., Leitzmann M.F., Hollenbeck A., Schatzkin A., Cross A.J.",00029262,"American Journal of Epidemiology",170, 9,0,6,14,3,23,0,23
2009,"Genome-wide association study reveals genetic risk underlying Parkinson's disease","Simon-Sanchez J., Hernandez D.G., Kruger R., Federoff M., Klein C., Goate A., Perlmutter J., Bonin M., Nalls M.A., Illig T., Gieger C., Schulte C., Houlden H., Steffens M., Okun M.S., Racette B.A., Cookson M.R., Foote K.D., Fernandez H.H., Traynor B.J., Schreiber S., Arepalli S., Bras J.M., Zonozi R., Gwinn K., Van Der Brug M., Lopez G., Chanock S.J., Schatzkin A., Park Y., Hollenbeck A., Gao J., Huang X., Sharma M., Wood N.W., Lorenz D., Deuschl G., Chen H., Riess O., Hardy J.A., Singleton A.B., Gasser T., Gibbs J.R., Berg D., Paisan-Ruiz C., Lichtner P., Scholz S.W.",10614036,"Nature Genetics",41, 12,2,73,139,53,265,0,267
2009,"Alcohol intake and risk of thyroid cancer in the NIH-AARP Diet and Health Study","Meinhold C.L., Park Y., Stolzenberg-Solomon R.Z., Hollenbeck A.R., Schatzkin A., Berrington De Gonzalez A.",00070920,"British Journal of Cancer",101, 9,0,3,3,0,6,0,6
2009,"Age-specific physical activity and prostate cancer risk among white men and black men","Moore S.C., Peters T.M., Ahn J., Park Y., Schatzkin A., Albanes D., Hollenbeck A., Leitzmann M.F.",0008543X,"Cancer",115, 21,0,1,4,1,6,0,6
2009,"Height, body mass index, and physical activity in relation to glioma risk","Moore S.C., Rajaraman P., Dubrow R., Darefsky A.S., Koebnick C., Hollenbeck A., Schatzkin A., Leitzmann M.F.",00085472,"Cancer Research",69, 21,0,4,4,2,10,0,10
2009,"Prediagnostic total and high-density lipoprotein cholesterol and risk of cancer","Ahn J., Lim U., Weinstein S.J., Schatzkin A., Hayes R.B., Virtamo J., Albanes D.",10559965,"Cancer Epidemiology Biomarkers and Prevention",18, 11,2,3,10,3,16,0,18
2009,"Bone fractures and incident epithelial ovarian cancer in a prospective cohort study","Danforth K.N., Schairer C., Schatzkin A., Lacey J.V.",15409996,"Journal of Women's Health",18, 11,0,0,0,0,0,0,0
2009,"Intensity and timing of physical activity in relation to postmenopausal breast cancer risk: The prospective NIH-AARP diet and health study","Peters T.M., Moore S.C., Gierach G.L., Wareham N.J., Ekelund U., Hollenbeck A.R., Schatzkin A., Leitzmann M.F.",14712407,"BMC Cancer",9, ,0,2,5,0,7,0,7
2009,"Adiposity in relation to colorectal adenomas and hyperplastic polyps in women.","Leitzmann M.F., Flood A., Ferrucci L.M., Schoenfeld P., Cash B., Schatzkin A., Cross A.J.",15737225,"Cancer causes & control : CCC",20, 8,0,0,2,1,3,0,3
2009,"In reply","Sinha R., Graubard B.I., Cross A.J., Leitzmann M.F., Schatzkin A.",00039926,"Archives of Internal Medicine",169, 16,0,0,0,0,0,0,0
