,"This is a citation overview for a set of 139 documents.",,,,,,,,,,,,
,,,,,,,,,,,,,
,"h index = 29 (Of the 139 documents considered for the h-Index, 29 have been cited at least 29 times.)",,,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,<2010,2010,2011,2012,subtotal,>2012,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,2336,271,242,79,592,0,2928
2009,"Cardiac ripple mapping: A novel three-dimensional visualization method for use with electroanatomic mapping of cardiac arrhythmias","Linton N.W.F., O'Neill M.D., Kanagaratnam P., Koa-Wing M., Francis D.P., Kojodjojo P., Lim P.B., Salukhe T.V., Whinnett Z., Davies D.W., Peters N.S.",15475271,"Heart Rhythm",6, 12,1,0,1,0,1,0,2
2009,"Robotically Assisted Ablation Produces More Rapid and Greater Signal Attenuation Than Manual Ablation","Koa-Wing M., McCarthy K., Ho S.Y., O'Neill M.D., Peters N.S., Davies D.W., Kanagaratnam P., Kojodjojo P., Malcolme-Lawes L.C., Salukhe T.V., Linton N.W.F., Grogan A.P., Bergman D., Lim P.B., Whinnett Z.I.",10453873,"Journal of Cardiovascular Electrophysiology",20, 12,0,1,3,0,4,0,4
2009,"Robotic catheter ablation of ventricular tachycardia in a patient with congenital heart disease and rastelli repair","Koa-Wing M., Linton N.W.F., Kojodjojo P., O'Neill M.D., Peters N.S., Wyn Davies D., Kanagaratnam P.",10453873,"Journal of Cardiovascular Electrophysiology",20, 10,1,1,2,0,3,0,4
2009,"Ablation of Persistent Atrial Fibrillation Using Multielectrode Catheters and Duty-Cycled Radiofrequency Energy","Scharf C., Dang L., Oral H., Morady F., Boersma L., Davies W., Kanagaratnam P., Peters N.S., Paul V., Rowland E., Grace A., Fynn S.",07351097,"Journal of the American College of Cardiology",54, 15,0,12,21,3,36,0,36
2008,"Differentiation of RVOT-VT and ARVC in an Elite Athlete","Whyte G.P., Stephens N., Senior R., Peters N., O'Hanlon R., Sharma S.",01959131,"Medicine and Science in Sports and Exercise",40, 8,1,4,1,2,7,0,8
2008,"Decreased connexin43 expression in the mouse heart potentiates pacing-induced remodeling of repolarizing currents","Kontogeorgis A., Morley G.E., Peters N.S., Coetzee W.A., Gutstein D.E., Li X., Kang E.Y., Feig J.E., Ponzio M., Kang G., Kaba R.A., Wit A.L., Fisher E.A.",03636135,"American Journal of Physiology - Heart and Circulatory Physiology",295, 5,1,2,1,0,3,0,4
2008,"Connexin40 imparts conduction heterogeneity to atrial tissue","Leaf D.E., Fisher E.A., Gutstein D.E., Morley G.E., Feig J.E., Vasquez C., Riva P.L., Yu C., Lader J.M., Kontogeorgis A., Baron E.L., Peters N.S.",00097330,"Circulation Research",103, 9,3,4,5,3,12,0,15
2008,"Targeted deletion of kcne2 impairs ventricular repolarization via disruption of IK,slow1 and Ito,f","Roepke T.K., Akar F.G., Gutstein D.E., Lerner D.J., Abbott G.W., Kontogeorgis A., Ovanez C., Xu X., Young J.B., Purtell K., Goldstein P.A., Christini D.J., Peters N.S.",08926638,"FASEB Journal",22, 10,7,13,4,3,20,0,27
2008,"Efficiency, reproducibility and agreement of five different hemodynamic measures for optimization of cardiac resynchronization therapy","Whinnett Z.I., Mayet J., Francis D.P., Davies J.E.R., Nott G., Willson K., Manisty C.H., Peters N.S., Kanagaratnam P., Davies D.W., Hughes A.D.",01675273,"International Journal of Cardiology",129, 2,2,0,2,1,3,0,5
2008,"His delay: A case of ice on the path?","Lim P.B., O'Neill M.D., Linton N.W.F., Salukhe T.V., Kojodjojo P., Koa-Wing M., Stuber T., Davies D.W., Kanagaratnam P., Peters N.S.",10453873,"Journal of Cardiovascular Electrophysiology",19, 9,0,0,0,0,0,0,0
