,"This is a citation overview for a set of 96 documents.",,,,,,,,,,,,
,,,,,,,,,,,,,
,"h index = 45 (Of the 96 documents considered for the h-Index, 45 have been cited at least 45 times.)",,,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,<2010,2010,2011,2012,subtotal,>2012,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,5859,440,609,168,1217,0,7076
2009,"Rab27a and Rab27b control different steps of the exosome secretion pathway","Ostrowski M., Freitas R.P., Goud B., Benaroch P., Hacohen N., Fukuda M., Desnos C., Seabra M.C., Darchen F., Amigorena S., Moita L.F., Carmo N.B., Thery C., Krumeich S., Fanget I., Raposo G., Savina A., Moita C.F., Schauer K., Hume A.N.",14657392,"Nature Cell Biology",, ,0,1,1,1,3,0,3
2009,"Single choroideremia gene in nonmammalian vertebrates explains early embryonic lethality of the zebrafish model of choroideremia","Moosajee M., Tulloch M., Baron R.A., Gregory-Evans C.Y., Pereira-Leal Jose B., Seabra M.C.",01460404,"Investigative Ophthalmology and Visual Science",50, 6,0,3,4,0,7,0,7
2009,"Rab27a and MyRIP regulate the amount and multimeric state of VWF released from endothelial cells","Nightingale T.D., Pattni K., Hume A.N., Seabra M.C., Cutler D.F.",00064971,"Blood",113, 20,1,1,8,1,10,0,11
2009,"Myrip uses distinct domains in the cellular activation of myosin VA and myosin VIIA in melanosome transport","Ramalho J.S., Lopes V.S., Tarafder A.K., Seabra M.C., Hume A.N.",,"Pigment Cell and Melanoma Research",22, 4,0,2,3,1,6,0,6
2009,"Phosphonocarboxylates inhibit the second geranylgeranyl addition by Rab geranylgeranyl transferase","Baron R.A., Tavare R., Figueiredo A.C., Blazewska K.M., Kashemirov B.A., McKenna C.E., Ebetino F.H., Taylor A., Rogers M.J., Coxon F.P., Seabra M.C.",00219258,"Journal of Biological Chemistry",284, 11,1,4,10,2,16,0,17
2009,"Defective cellular trafficking of missense NPR-B mutants is the major mechanism underlying acromesomelic dysplasia-type Maroteaux","Hume A.N., Buttgereit J., Al-Awadhi A.M., Al-Suwaidi S.S., John A., Bader M., Seabra M.C., Al-gazali L., Ali B.R.",09646906,"Human Molecular Genetics",18, 2,0,1,4,0,5,0,5
2008,"Melanosomes at a glance","Wasmeier C., Hume A.N., Bolasco G., Seabra M.C.",00219533,"Journal of Cell Science",121, 24,2,3,6,3,12,0,14
2008,"Translational bypass of nonsense mutations in zebrafish rep1, pax2.1 and lamb1 highlights a viable therapeutic option for untreatable genetic eye disease","Moosajee M., Gregory-Evans K., Ellis C.D., Seabra M.C., Gregory-Evans C.Y.",09646906,"Human Molecular Genetics",17, 24,1,0,3,2,5,0,6
2008,"Rab geranylgeranylation occurs preferentially via the pre-formed REP-RGGT complex and is regulated by geranylgeranyl pyrophosphate","Baron R.A., Seabra M.C.",02646021,"Biochemical Journal",415, 1,2,3,5,0,8,0,10
2008,"Rab3GEP is the non-redundant guanine nucleotide exchange factor for Rab27a in melanocytes","Figueiredo A.C., Wasmeier C., Tarafder A.K., Ramalho J.S., Baron R.A., Seabra M.C.",00219258,"Journal of Biological Chemistry",283, 34,3,4,7,2,13,0,16
2007,"Melanosome maturation defect in Rab38-deficient retinal pigment epithelium results in instability of immature melanosomes during transient melanogenesis","Lopes V.S., Wasmeier C., Seabra M.C., Futter C.E.",10591524,"Molecular Biology of the Cell",18, 10,7,3,3,4,10,0,17
2007,"Rab27a and MyoVa are the primary Mlph interactors regulating melanosome transport in melanocytes","Hume A.N., Ushakov D.S., Tarafder A.K., Ferenczi M.A., Seabra M.C.",00219533,"Journal of Cell Science",120, 17,11,4,6,2,12,0,23
