,"This is a citation overview for a set of 6 documents.",,,,,,,,,,,,
,,,,,,,,,,,,,
,"h index = 3 (Of the 6 documents considered for the h-Index, 3 have been cited at least 3 times.)",,,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,<2010,2010,2011,2012,subtotal,>2012,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,63,5,5,0,10,0,73
2008,"Clinical-outcome-based demand management in health services","Brogan C., Lawrence D., Mayhew L.",00333506,"Public Health",122, 1,1,0,1,0,1,0,2
2000,"Do out-of-hours co-operatives improve general practitioners' health?","Fletcher J., Pickard D., Rose J., Stewart-Brown S., Wilkinson E., Brogan C., Lawrence D.",09601643,"British Journal of General Practice",50, 459,13,1,2,0,3,0,16
1999,"Measuring the effectiveness of cataract surgery: The reliability and validity of a visual function outcomes instrument","Lawrence D.J., Brogan C., Benjamin L., Pickard D., Stewart-Brown S.",00071161,"British Journal of Ophthalmology",83, 1,13,1,0,0,1,0,14
1999,"Implementing research findings in developing countries (multiple letters) [8]","Hill A., Enock K., Brogan C., Gibbs T.",09598146,"British Medical Journal",318, 7179,0,0,0,0,0,0,0
1999,"Implementing research findings in developing countries. Skills for appraising evidence must be taught.","Hill A., Enock K., Brogan C.",09598138,"BMJ (Clinical research ed.)",318, 7179,1,2,0,0,2,0,3
1998,"The use of out of hours health services: A cross sectional survey","Brogan C., Pickard D., Gray A., Fairman S., Hill A.",09598146,"British Medical Journal",316, 7130,35,1,2,0,3,0,38
