,"Author: Gould, Keith G.",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 7 (Of the 15 documents considered for the h-Index, 7 have been cited at least 7 times.)",,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,642,60,35,95,20,757
2009,"A single-chain H-2Db molecule presenting an influenza virus nucleoprotein epitope shows enhanced ability at stimulating CD8+ T cell responses in vivo.","Palmowski M.J., Parker M., Choudhuri K., Chiu C., Callan M.F., van der Merwe P.A., Cerundolo V., Gould K.G.",15506606,"Journal of immunology (Baltimore, Md. : 1950)",182, 8,0,0,0,0,1,1
2009,"Rapid acidification and alkylation: Redox analysis of the MHC class I pathway","Powis S.J., Nesbeth D., Lenart I., Fussell H., Lamb T., Gould K., Antoniou A.N.",00221759,"Journal of Immunological Methods",340, 1,0,0,0,0,0,0
2008,"Novel detection of in vivo HLA-B27 conformations correlates with ankylosing spondylitis association","Fussell H., Nesbeth D., Lenart I., Campbell E.C., Lynch S., Santos S., Gould K., Powis S.J., Antoniou A.N.",00043591,"Arthritis and Rheumatism",58, 11,0,0,0,0,1,1
2007,"Hepatitis B virus core antigen epitopes presented by HLA-A2 single-chain trimers induce functional epitope-specific CD8+ T-cell responses in HLA-A2.1/Kb transgenic mice","Zhang Y., Li S., Shan M., Pan X., Zhuang K., He L., Gould K., Tien P.",00192805,"Immunology",121, 1,0,1,2,3,1,4
2005,"T-cell receptor triggering is critically dependent on the dimensions of its peptide-MHC ligand","Choudhuri K., Wiseman D., Brown M.H., Gould K., Van Der Merwe P.A.",00280836,"Nature",436, 7050,14,18,13,31,11,56
2005,"Different MHC class I heavy chains compete with each other for folding independently of ?2-microglobulin and peptide","Tourdot S., Nejmeddine M., Powis S.J., Gould K.G.",00221767,"Journal of Immunology",174, 2,0,3,0,3,0,3
2003,"High circulating frequencies of tumor necrosis factor alpha- and interleukin-2-secreting human T-lymphotropic virus type 1 (HTLV-1)-specific CD4+ T cells in patients with HTLV-1-associated neurological disease","Goon P.K.C., Igakura T., Hanon E., Mosley A.J., Asquith B., Gould K.G., Taylor G.P., Weber J.N., Bangham C.R.M.",0022538X,"Journal of Virology",77, 17,11,2,0,2,1,14
