,"Author: Wort, Stephen John",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 8 (Of the 22 documents considered for the h-Index, 8 have been cited at least 8 times.)",,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,183,19,30,49,23,255
2009,"Synergistic induction of endothelin-1 by tumor necrosis factor ? and interferon ? is due to enhanced NF-?B binding and histone acetylation at specific ?B sites","Wort S.J., Pinhu L., Ito K., Adcock I.M., Ito M., Chou P.-C., Mc Master S.K., Badiger R., Jazrawi E., de Souza P., Evans T.W., Mitchell J.A.",00219258,"Journal of Biological Chemistry",284, 36,0,0,0,0,0,0
2009,"Extracorporeal carbon dioxide removal to ""protect"" the lung","Stirling S.L., Cordingley J.J., Hunter D.N., Griffiths M.J., Wort S.J., Evans T.W., Finney S.J.",00406376,"Thorax",64, 8,0,0,0,0,0,0
2009,"Role of pravastatin in pulmonary hypertension in chronic obstructive pulmonary disease","Corte T.J., Wort S.J.",01435221,"Clinical Science",116, 6,0,0,0,0,0,0
2008,"Pulmonary arterial hypertension in adults with congenital heart disease: Distinct differences from other causes of pulmonary arterial hypertension and management implications","Dimopoulos K., Giannakoulas G., Wort S.J., Gatzoulis M.A.",02684705,"Current Opinion in Cardiology",23, 6,0,0,0,0,2,2
2008,"Circulating endothelial progenitor cells in patients with eisenmenger syndrome and idiopathic pulmonary arterial hypertension","Diller G.-P., Bauersachs J., Hobbs A.J., Wilkins M.R., Gatzoulis M.A., Wharton J., Van Eijl S., Okonko D.O., Howard L.S., Ali O., Thum T., Wort S.J., Bedard E., Gibbs J.S.R.",00097322,"Circulation",117, 23,0,0,2,2,7,9
2007,"Sildenafil in Eisenmenger syndrome: Safety first","Wort S.J.",01675273,"International Journal of Cardiology",120, 3,0,0,0,0,0,0
2006,"Plasma DNA concentration as a predictor of mortality and sepsis in critically ill patients","Rhodes A., Wort S.J., Thomas H., Collinson P., David E.D.",13648535,"Critical Care",10, 2,2,3,6,9,3,14
2004,"Acute respiratory distress syndrome (ARDS)","Pearse R., Wort S.J.",09563075,"Clinical Intensive Care",15, 1,0,0,0,0,0,0
2003,"Role for nuclear factor-?B and signal transducer and activator of transcription 1/interferon regulatory factor-1 in cytokine-induced endothelin-1 release in human vascular smooth muscle cells","Woods M., Wood E.G., Bardswell S.C., Bishop-Bailey D., Barker S., Wort S.J., Mitchell J.A., Warner T.D.",0026895X,"Molecular Pharmacology",64, 4,10,4,5,9,1,20
2003,"Critical care clinical conundrums","Pearse R., Wort S.J., Terblanche M., Rhodes A.",09563075,"Clinical Intensive Care",14, 3-4,0,0,0,0,0,0
2003,"The management of acute severe asthma in adults","Wort S.J.",09537112,"Current Anaesthesia and Critical Care",14, 2,0,0,0,0,0,0
2002,"Cyclooxygenase-2 acts as an endogenous brake on endothelin-1 release by human pulmonary artery smooth muscle cells: Implications for pulmonary hypertension","Wort S.J., Woods M., Warner T.D., Evans T.W., Mitchell J.A.",0026895X,"Molecular Pharmacology",62, 5,6,2,4,6,1,13
2001,"Endogenously released endothelin-1 from human pulmonary artery smooth muscle promotes cellular proliferation: Relevance to pathogenesis of pulmonary hypertension and vascular remodeling","Wort S.J., Woods M., Warner T.D., Evans T.W., Mitchell J.A.",10441549,"American Journal of Respiratory Cell and Molecular Biology",25, 1,25,2,2,4,5,34
2001,"Inducible nitric oxide synthase: A tissue-specific affair?","Wort S.J., Mitchell J.A., Evans T.W.",10400605,"American Journal of Physiology - Lung Cellular and Molecular Physiology",280, 3,0,1,0,1,0,1
2000,"The prostacyclin-mimetic cicaprost inhibits endogenous endothelin-1 release from human pulmonary artery smooth muscle cells","Wort S.J., Mitchell J.A., Woods M., Evans T.W., Warner T.D.",01602446,"Journal of Cardiovascular Pharmacology",36, 5,13,2,2,4,1,18
1999,"Cyclooxygenase-2 induction represents an endogenous 'brake' on ET-1 production by human pulmonary artery smooth muscle","Wort S.J., Evans T.W., Warner T.D., Mitchell J.A.",00406376,"Thorax",54, 3,0,0,0,0,0,0
1999,"Cicaprost, a stable prostacyclin analogue, inhibits endogenous endothelin-1 release in human pulmonary artery smooth muscle cells","Wort S.J., Evans T.W., Woods M., Warner T.D., Mitchell J.A.",00406376,"Thorax",54, 3,0,0,0,0,0,0
1999,"Inducible nitric oxide and pulmonary infection","Singh S., Wort S.J., Evans T.W.",00406376,"Thorax",54, 11,4,1,0,1,0,5
1999,"The role of the endothelium in modulating vascular control in sepsis and related conditions","Wort S.J., Evans T.W.",00071420,"British Medical Bulletin",55, 1,37,3,7,10,2,49
1998,"Community acquired pneumonia in elderly people (multiple letters) [7]","Woodhead M., Mamun M., Rogers T., Wort S.J.",09598146,"British Medical Journal",317, 7171,0,0,0,0,0,0
1998,"Community acquired pneumonia in elderly people","Wort S.J., Rogers T.R.",09598146,"British Medical Journal",316, 7146,15,0,0,0,0,15
1997,"Primary tuberculosis of the oesophagus [7]","Wort S.J., Puleston J.M., Hill P.D., Holdstock G.E.",01406736,"Lancet",349, 9058,4,1,0,1,0,5
1995,"Acute urinary retention in the young female","Wort S.J., Heman-Ackah C., Davies A.",00071331,"British Journal of Urology",76, 5,7,0,1,1,0,8
1995,"Increased risk of diarrhoea caused by Clostridium difficile in elderly patients receiving cefotaxime","Impallomeni M., Galletly N.P., Wort S.J., Starr J.M., Rogers T.R.",09598146,"British Medical Journal",311, 7016,60,0,1,1,1,62
