,"Author: Agarwal, Roshan",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 8 (Of the 18 documents considered for the h-Index, 8 have been cited at least 8 times.)",,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,101,35,75,110,50,261
2009,"Prognostic markers and long-term outcome of placental-site trophoblastic tumours: a retrospective observational study","Schmid P., Short D., Newlands E.S., Wischnewsky M.B., Seckl M.J., Nagai Y., Agarwal R., Hancock B., Savage P.M., Sebire N.J., Lindsay I., Wells M., Fisher R.A.",01406736,"The Lancet",374, 9683,0,0,0,0,0,0
2009,"Integrative analysis of cyclin protein levels identifies cyclin B1 as a classifier and predictor of outcomes in breast cancer","Agarwal R., Neve R.M., Kuo W.L., Sorlie T., Sahin A., Valero V., Keyomarsi K., Gray J.W., Borresen-Dale A.-L., Mills G.B., Hennessy B.T., Gonzalez-Angulo A.-M., Myhre S., Carey M., Lee J.-S., Overgaard J., Alsner J., Stemke-Hale K., Lluch A.",10780432,"Clinical Cancer Research",15, 11,0,0,0,0,0,0
2009,"Characterization of a naturally occurring breast cancer subset enriched in epithelial-to-mesenchymal transition and stem cell characteristics","Hennessy B.T., Joy C., Liu W., Stivers D., Baggerly K., Carey M., Lluch A., Monteagudo C., He X., Weigman V., Fan C., Gonzalez-Angulo A.-M., Palazzo J., Hortobagyi G.N., Nolden L.K., Wang N.J., Valero V., Gray J.W., Perou C.M., Mills G.B., Stemke-Hale K., Gilcrease M.Z., Krishnamurthy S., Lee J.-S., Fridlyand J., Sahin A., Agarwal R.",00085472,"Cancer Research",69, 10,0,0,0,0,2,2
2009,"Androgen receptor levels and association with PIK3CA mutations and prognosis in breast cancer","Gonzaiez-Angulo A.M., Gerald W.L., Mills G.B., Hennessy B.T., Stemke-Hale K., Palla S.L., Carey M., Agarwal R., Meric-Berstam F., Traina T., Hudis C., Hortobagyi G.N.",10780432,"Clinical Cancer Research",15, 7,0,0,0,0,0,0
2008,"Eligibility of patients with brain metastases for phase I trials: time for a rethink?","Carden C.P., Agarwal R., Saran F., Judson I.R.",14702045,"The Lancet Oncology",9, 10,0,0,0,0,0,0
2008,"Transient ectopic expression as a method to detect genes conferring drug resistance","Witham J., Vidot S., Agarwal R., Kaye S.B., Richardson A.",00207136,"International Journal of Cancer",122, 11,0,0,0,0,1,1
2007,"Flow cytometric method for determining folate receptor expression on ovarian carcinoma cells","Forster M.D., Ormerod M.G., Agarwal R., Kaye S.B., Jackman A.L.",15524922,"Cytometry Part A",71, 11,0,0,2,2,1,3
2006,"Mechanisms of transcoelomic metastasis in ovarian cancer","Tan D.S., Agarwal R., Kaye S.B.",14702045,"Lancet Oncology",7, 11,0,2,8,10,5,15
2006,"Malignant ovarian germ cell tumors: Identification of novel prognostic markers and long-term outcome after multimodality treatment","Murugaesu N., Seckl M.J., Schmid P., Dancey G., Agarwal R., Holden L., McNeish I., Savage P.M., Newlands E.S., Rustin G.J.S.",0732183X,"Journal of Clinical Oncology",24, 30,0,4,6,10,3,13
2006,"Novel therapeutic agents in ovarian cancer","Agarwal R., Linch M., Kaye S.B.",07487983,"European Journal of Surgical Oncology",32, 8,1,2,8,10,8,19
2006,"Expression profiling and individualisation of treatment for ovarian cancer","Agarwal R., Kaye S.B.",14714892,"Current Opinion in Pharmacology",6, 4,0,0,5,5,2,7
2005,"Prognostic factors in ovarian cancer: How close are we to a complete picture?","Agarwal R., Kaye S.B.",09237534,"Annals of Oncology",16, 1,2,2,2,4,3,9
2004,"A phase II study of sequential carboplatin, paclitaxel and topotecan in patients with previously untreated advanced ovarian cancer","Guppy A.E., Nelstrop A.E., Foster T., Agarwal R., Seckl M.J., Rustin G.J.S.",00070920,"British Journal of Cancer",90, 4,7,0,1,1,0,8
2003,"The function of COX-2 in human ovarian carcinoma [2] (multiple letters)","Agarwal R., Denkert C., Hauptmann S.",00029440,"American Journal of Pathology",163, 1,0,0,0,0,0,0
2003,"Ovarian cancer: Strategies for overcoming resistance to chemotherapy","Agarwal R., Kaye S.B.",1474175X,"Nature Reviews Cancer",3, 7,73,20,38,58,23,154
2002,"Doppler ultrasonography of the uterine artery and the response to chemotherapy in patients with gestational trophoblastic tumors","Agarwal R., Strickland S., McNeish I.A., Patel D.C., Foskett M., Boultbee J.E., Newlands E.S., Seckl M.J.",10780432,"Clinical Cancer Research",8, 5,4,2,2,4,0,8
2002,"Embolization of bleeding residual uterine vascular malformations in patients with treated gestational trophoblastic tumors","Lim A.K.P., Agarwal R., Seckl M.J., Newlands E.S., Barrett N.K., Mitchell A.W.M.",00338419,"Radiology",222, 3,12,2,3,5,2,19
2002,"Tamoxifen-related porphyria cutanea tarda","Agarwal R., Peters T.J., Coombes R.C., Vigushin D.M.",13570560,"Medical Oncology",19, 2,2,1,0,1,0,3
