,"Author: Grimm, Stefan",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 14 (Of the 25 documents considered for the h-Index, 14 have been cited at least 14 times.)",,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,831,100,85,185,71,1087
2009,"Mutations in the heme b-binding residue of SDHC inhibit assembly of respiratory chain complex II in mammalian cells","Lemarie A., Grimm S.",15677249,"Mitochondrion",9, 4,0,0,0,0,0,0
2009,"Genetic cell culture screens reveal mitochondrial apoptosis control.","Grimm S., Lin B.",10934715,"Frontiers in bioscience : a journal and virtual library",14, ,0,0,0,0,1,1
2009,"Isolation of ORCTL3 in a novel genetic screen for tumor-specific apoptosis inducers","Irshad S., Mahul-Mellier A.-L., Kassouf N., Lemarie A., Grimm S.",13509047,"Cell Death and Differentiation",16, 6,0,0,0,0,0,0
2007,"The permeability transition pore in cell death","Grimm S., Brdiczka D.",13608185,"Apoptosis",12, 5,0,2,15,17,16,33
2006,"The permeability transition pore complex in cancer cell death","Brenner C., Grimm S.",09509232,"Oncogene",25, 34,2,12,15,27,8,37
2006,"High-throughput isolation of ultra-pure plasmid DNA by a robotic system","Kachel V., Sindelar G., Grimm S.",14726750,"BMC Biotechnology",6, ,0,4,2,6,1,7
2004,"The art and design of genetic screens: Mammalian culture cells","Grimm S.",14710056,"Nature Reviews Genetics",5, 3,15,6,3,9,4,28
2004,"Cyclophilin D, a Component of the Permeability Transition-Pore, Is an Apoptosis Repressor","Schubert A., Grimm S.",00085472,"Cancer Research",64, 1,24,7,4,11,5,40
2004,"The metastasis suppressor gene C33/CD82/KAI1 induces apoptosis through reactive oxygen intermediates.","Schoenfeld N., Bauer M.K., Grimm S.",15306860,"The FASEB journal : official publication of the Federation of American Societies for Experimental Biology",18, 1,7,6,0,6,2,15
2003,"High-purity plasmid isolation using silica oxide.","Grimm S., Voss-Neudecker F.",10643745,"Methods in molecular biology (Clifton, N.J.)",235, ,0,0,0,0,0,0
2003,"Cathepsin-B and cathepsin-L expression levels do not correlate with sensitivity of tumour cells to TNF-?-mediated apoptosis","Gewies A., Grimm S.",00070920,"British Journal of Cancer",89, 8,4,1,3,4,1,9
2003,"The tumor suppressor cybL, a component of the respiratory chain, mediates apoptosis induction","Albayrak T., Scherhammer V., Schoenfeld N., Braziulis E., Mund T., Bauer M.K.A., Scheffler I.E., Grimm S.",10591524,"Molecular Biology of the Cell",14, 8,7,9,2,11,5,23
2003,"Programmed cell death - Apoptosis | Programmierter zelltod: Die apoptose","Grimm S.",00092851,"Chemie in Unserer Zeit",37, 3,3,0,0,0,0,3
2003,"A high-throughput screen for single gene activities: Isolation of apoptosis inducers","Albayrak T., Grimm S.",0006291X,"Biochemical and Biophysical Research Communications",304, 4,4,1,1,2,1,7
2003,"Spike, a novel BH3-only protein, regulates apoptosis at the endoplasmic reticulum.","Mund T., Gewies A., Schoenfeld N., Bauer M.K., Grimm S.",15306860,"The FASEB journal : official publication of the Federation of American Societies for Experimental Biology",17, 6,22,5,4,9,3,34
2003,"UBP41 is a proapoptotic ubiquitin-specific protease","Gewies A., Grimm S.",00085472,"Cancer Research",63, 3,15,1,2,3,3,21
2002,"The permeability transition pore signals apoptosis by directing Bax translocation and multimerization.","De Giorgi F., Lartigue L., Bauer M.K., Schubert A., Grimm S., Hanson G.T., Remington S.J., Youle R.J., Ichas F.",15306860,"The FASEB journal : official publication of the Federation of American Societies for Experimental Biology",16, 6,102,21,14,35,6,143
2002,"Robotic high-throughput assay for isolating apoptosis-inducing genes","Grimm S., Kachel V.",07366205,"BioTechniques",32, 3,13,0,0,0,0,13
2000,"High-throughput method for isolating plasmid DNA with reduced lipopolysaccharide content","Neudecker F., Grimm S.",07366205,"BioTechniques",28, 1,2,0,0,0,1,3
2000,"High-throughput method for isolating plasmid DNA with reduced lipopolysaccharide content.","Neudecker F., Grimm S.",07366205,"BioTechniques",28, 1,12,0,1,1,1,14
1999,"Adenine nucleotide translocase-1, a component of the permeability transition pore, can dominantly induce apoptosis","Bauer M.K.A., Schubert A., Rocks O., Grimm S.",00219525,"Journal of Cell Biology",147, 7,106,10,11,21,7,134
1998,"The oncogene heregulin induces apoptosis in breast epithelial cells and tumors","Weinstein E.J., Grimm S., Leder P.",09509232,"Oncogene",17, 16,23,1,0,1,0,24
1998,"Neu differentiation factor (NDF), a dominant oncogene, causes apoptosis in vitro and in vivo","Grimm S., Weinstein E.J., Krane I.M., Leder P.",00221007,"Journal of Experimental Medicine",188, 8,12,2,0,2,0,14
1997,"An apoptosis-inducing isoform of Neu differentiation factor (NDF) identified using a novel screen for dominant, apoptosis-inducing genes","Grimm S., Leder P.",00221007,"Journal of Experimental Medicine",185, 6,23,3,0,3,0,26
1996,"RIP and FADD: Two ""death domain""-containing proteins can induce apoptosis by convergent, but dissociable, pathways","Grimm S., Stanger B.Z., Leder P.",00278424,"Proceedings of the National Academy of Sciences of the United States of America",93, 20,60,1,1,2,2,64
1995,"Nonradioactive method for restriction mapping of ? phage DNA","Grimm S., Pflugfelder G.O.",07366205,"BioTechniques",18, 3,0,0,0,0,0,0
1994,"The chicken A-myb protein is a transcriptional activator","Foos G., Grimm S., Klempnauer K.-H.",09509232,"Oncogene",9, 9,32,0,1,1,0,33
1994,"Failure of the splicing variant p65? of the NF-?B subunit p65 to transform fibroblasts","Grimm S., Baeuerle P.A.",09509232,"Oncogene",9, 8,12,0,0,0,1,13
1993,"The inducible transcription factor NF-?B: Structure-function relationship of its protein subunits","Grimm S., Baeuerle P.A.",02646021,"Biochemical Journal",290, 2,257,8,6,14,2,273
1993,"An invertebrate calcium-binding protein of the calbindin subfamily: Protein structure, genomic organization, and expression pattern of the calbindin-32 gene of Drosophila","Reifegerste R., Schug B., Zinsmaier K.E., Buchner S., Buchner E., Grimm S., Albert S., Lipski N., Heimbeck G., Hofbauer A., Pflugfelder G.O., Quack D., Reichmuth C.",02706474,"Journal of Neuroscience",13, 5,11,0,0,0,1,12
1992,"Functional antagonism between members of the myb family: B-myb inhibits v-myb-induced gene activation","Foos G., Grimm S., Klempnauer K.-H.",02614189,"EMBO Journal",11, 12,63,0,0,0,0,63
