,"This is a citation overview for a set of 59 documents.",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 16 (Of the 59 documents considered for the h-Index, 16 have been cited at least 16 times.)",,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,549,98,136,234,112,895
2009,"Cystic fibrosis gene therapy: Successes, failures and hopes for the future","Griesenbach U., Alton E.W.F.W.",17476348,"Expert Review of Respiratory Medicine",3, 4,0,0,0,0,0,0
2009,"An immunocytochemical assay to detect human CFTR expression following gene transfer","Davidson H., Holder E., Jones L., Doherty A., Coles R., Sumner-Jones S.G., Wasowicz M., Manvell M., Griesenbach U., Hyde S.C., Gill D.R., Wilson A., Davies J., Collie D.D.S., Alton E.W.F.W., Porteous D.J., Boyd A.C., Gray R.D., Horsley A., Pringle I.A., McLachlan G., Nairn A.C., Stearns C., Gibson J.",08908508,"Molecular and Cellular Probes",, ,0,0,0,0,0,0
2009,"The role of doxorubicin in non-viral gene transfer in the lung","Griesenbach U., Alton E.W.F.W., Meng C., Farley R., Gardner A., Brake M.A., Frankel G.M., Gruenert D.C., Cheng S.H., Scheule R.K.",01429612,"Biomaterials",30, 10,0,0,0,0,1,1
2009,"Gene transfer to the lung: Lessons learned from more than 2 decades of CF gene therapy","Griesenbach U., Alton E.W.F.W.",0169409X,"Advanced Drug Delivery Reviews",61, 2,0,0,0,0,4,4
2009,"Gene transfer to the lung: Lessons learned from more than 2 decades of CF gene therapy","Griesenbach U., Alton E.W.F.W.",0169409X,"Advanced Drug Delivery Reviews",, ,0,0,0,0,0,0
2009,"Cystic fibrosis: Ferreting with fibroblasts for cystic fibrosis","Griesenbach U., Alton E.W.F.W.",09697128,"Gene Therapy",16, 1,0,0,0,0,0,0
2008,"Assessment of CFTR function after gene transfer in vitro and in vivo","Griesenbach U., Alton E.W.F.W., Munkonge F.M., Sumner-Jones S., Holder E., Smith S.N., Boyd A.C., Gill D.R., Hyde S.C., Porteous D.",10643745,"Methods in Molecular Biology",433, ,0,0,0,0,0,0
2008,"Validation of nasal potential difference measurements in gut-corrected CF knockout mice","Griesenbach U., Smith S.N., Farley R., Singh C., Alton E.W.F.W.",10441549,"American Journal of Respiratory Cell and Molecular Biology",39, 4,0,0,0,0,1,1
2008,"Magnetic nanoparticles as gene delivery agents: Enhanced transfection in the presence of oscillating magnet arrays","McBain S.C., Griesenbach U., Xenariou S., Keramane A., Batich C.D., Alton E.W.F.W., Dobson J.",09574484,"Nanotechnology",19, 40,0,0,0,0,1,1
2008,"Nasal abnormalities in cystic fibrosis mice independent of infection and inflammation","Hilliard T.N., Alton E.W.F.W., Zhu J., Farley R., Escudero-Garcia S., Wainwright B.J., Jeffery P.K., Griesenbach U., Bush A., Davies J.C.",10441549,"American Journal of Respiratory Cell and Molecular Biology",39, 1,0,0,0,0,1,1
2008,"CpG-free plasmids confer reduced inflammation and sustained pulmonary gene expression","Hyde S.C., Sumner-Jones S.G., Chan M., Li H., Yew N.S., Cheng S.H., Christopher Boyd A., Davies J.C., Griesenbach U., Porteous D.J., Sheppard D.N., Pringle I.A., Munkonge F.M., Alton E.W.F.W., Gill D.R., Abdullah S., Lawton A.E., Davies L.A., Varathalingam A., Nunez-Alonso G., Green A.-M., Bazzani R.P.",10870156,"Nature Biotechnology",26, 5,0,0,5,5,10,15
2008,"In vivo imaging of gene transfer to the respiratory tract","Griesenbach U., Sinn P.L., McCray Jr. P.B., Inoue M., Geddes D.M., Hasegawa M., Frankel G., Wiles S., Alton E.W.F.W., Meng C., Farley R., Cheng S.H., Scheule R.K., Davies M.H., Wolstenholme-Hogg P.C., ten Hove W., van der Hoeven P.",01429612,"Biomaterials",29, 10,0,0,1,1,1,2
2008,"Bactofection of lung epithelial cells in vitro and in vivo using a genetically modified Escherichia coli","Larsen M.D.B., Alton E.W.F.W., Griesenbach U., Goussard S., Gruenert D.C., Geddes D.M., Scheule R.K., Cheng S.H., Courvalin P., Grillot-Courvalin C.",09697128,"Gene Therapy",15, 6,0,0,0,0,2,2
