,"Author: Dilworth, Stephen M.",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 15 (Of the 30 documents considered for the h-Index, 15 have been cited at least 15 times.)",,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,1855,153,161,314,133,2302
2009,"Polyoma virus and simian virus 40 as cancer models: History and perspectives","Atkin S.J.L., Griffin B.E., Dilworth S.M.",1044579X,"Seminars in Cancer Biology",19, 4,0,0,0,0,0,0
2009,"Phosphorylation of translation factors in response to anoxia in turtles, Trachemys scripta elegans: role of the AMP-activated protein kinase and target of rapamycin signalling pathways","Rider M.H., Hussain N., Dilworth S.M., Storey K.B.",03008177,"Molecular and Cellular Biochemistry",, ,0,0,0,0,0,0
2008,"A functional interaction between RIP140 and PGC-1? regulates the expression of the lipid droplet protein CIDEA","Hallberg M., Morganstein D.L., Kiskinis E., Shah K., Kralli A., Dilworth S.M., White R., Parker M.G., Christian M.",02707306,"Molecular and Cellular Biology",28, 22,0,0,0,0,7,7
2007,"RIP140 directs histone and DNA methylation to silence Ucp1 expression in white adipocytes","Kiskinis E., Hallberg M., Christian M., Olofsson M., Dilworth S.M., White R., Parker M.G.",02614189,"EMBO Journal",26, 23,0,0,5,5,3,8
2007,"Abnormal preantral folliculogenesis in polycystic ovaries is associated with increased granulosa cell division","Stubbs S.A., Stark J., Dilworth S.M., Franks S., Hardy K.",0021972X,"Journal of Clinical Endocrinology and Metabolism",92, 11,0,0,5,5,3,8
2007,"Rapid activation of ATM on DNA flanking double-strand breaks","You Z., Bailis J.M., Johnson S.A., Dilworth S.M., Hunter T.",14657392,"Nature Cell Biology",9, 11,0,0,8,8,8,16
2007,"Selection of protein phosphatase 2A regulatory subunits is mediated by the C terminus of the catalytic subunit","Longin S., Zwaenepoel K., Louis J.V., Dilworth S., Goris J., Janssens V.",00219258,"Journal of Biological Chemistry",282, 37,0,0,14,14,5,19
2006,"Stress-induced activation of the AMP-activated protein kinase in the freeze-tolerant frog Rana sylvatica","Rider M.H., Hussain N., Horman S., Dilworth S.M., Storey K.B.",00112240,"Cryobiology",53, 3,0,0,5,5,1,6
2005,"Evaluation of the role of AMP-activated protein kinase and its downstream targets in mammalian hibernation","Horman S., Hussain N., Dilworth S.M., Storey K.B., Rider M.H.",10964959,"Comparative Biochemistry and Physiology - B Biochemistry and Molecular Biology",142, 4,2,3,4,7,3,12
2005,"Activation of the protein kinase B pathway by the HPV-16 E7 oncoprotein occurs through a mechanism involving interaction with PP2A","Pim D., Massimi P., Dilworth S.M., Banks L.",09509232,"Oncogene",24, 53,7,6,6,12,6,25
2005,"The expression of minichromosome maintenance protein-2 in normal and abnormal megakaryocytes and comparison with the proliferative marker Ki-67","Lampert I.A., Horncastle D., Dilworth S., Roberts I., Alison M.R., Naresh K.N.",00071048,"British Journal of Haematology",131, 4,1,1,0,1,0,2
2004,"Switching on kinases: Oncogenic activation of BRAF and the PDGFR family","Dibb N.J., Dilworth S.M., Mol C.D.",1474175X,"Nature Reviews Cancer",4, 9,41,4,9,13,6,60
2003,"Identification and characterization of B?-subunits of protein phosphatase 2 A in Xenopus laevis oocytes and adult tissues: Evidence for an independent N-terminal splice variant of PR130 and an extended human PR48 protein","Stevens I., Janssens V., Martens E., Dilworth S., Goris J., Van Hoof C.",00142956,"European Journal of Biochemistry",270, 2,2,2,7,9,2,13
2002,"Polyoma virus middle T antigen and its role in identifying cancer-related molecules","Dilworth S.M.",1474175X,"Nature Reviews Cancer",2, 12,17,4,6,10,8,35
2002,"Diagnosis of genito-urinary tract cancer by detection of minichromosome maintenance 5 protein in urine sediments","Stoeber K., Doble A., Hales C.N., Williams G.H., Swinn R., Prevost A.T., De Clive-Lowe P., Halsall I., Dilworth S.M., Marr J., Turner W.H., Bullock N.",00278874,"Journal of the National Cancer Institute",94, 14,29,7,5,12,3,44
2002,"Analysis of minichromosome maintenance proteins as a novel method for detection of colorectal cancer in stool","Davies R.J., Freeman A., Morris L.S., Bingham S., Dilworth S., Scott I., Laskey R.A., Miller R., Coleman N.",01406736,"Lancet",359, 9321,49,8,5,13,5,67
2002,"Dephosphorylation of PKC? by protein phosphatase 2Ac and its inhibition by nucleotides","Srivastava J., Goris J., Dilworth S.M., Parker P.J.",00145793,"FEBS Letters",516, 1-3,6,3,1,4,3,13
2001,"Polyoma virus middle t-antigen: growth factor receptor mimic","Nicholson P.R., Dilworth S.M.",01687069,"Perspectives in Medical Virology",5, ,0,0,0,0,0,0
2001,"Cell transformation by the middle T-antigen of polyoma virus","Ichaso N., Dilworth S.M.",09509232,"Oncogene",20, 54,25,6,7,13,3,41
2001,"ShcA and Grb2 mediate polyoma middle T antigen-induced endothelial transformation and Gab1 tyrosine phosphorylation","Ong S.H., Dilworth S., Hauck-Schmalenberger I., Pawson T., Kiefer F.",02614189,"EMBO Journal",20, 22,16,2,2,4,3,23
2001,"ShcA tyrosine phosphorylation sites can replace ShcA binding in signalling by middle T-antigen","Nicholson P.R., Empereur S., Glover H.R., Dilworth S.M.",02614189,"EMBO Journal",20, 22,0,2,2,4,2,6
2001,"Minichromosome maintenance protein 2 expression in prostate: Characterization and association with outcome after therapy for cancer","Meng M.V., Grossfeld G.D., Williams G.H., Dilworth S., Stoeber K., Mulley T.W., Weinberg V., Carroll P.R., Tlsty T.D.",10780432,"Clinical Cancer Research",7, 9,34,6,10,16,6,56
2001,"Biologic factors and response to radiotherapy in carcinoma of the cervix","Mukherjee G., Stanley M.A., Freeman A., Moore R., Kumaraswamy, Devi K.U., Morris L.S., Coleman N., Dilworth S., Prabhakaran P.S.",1048891X,"International Journal of Gynecological Cancer",11, 3,24,6,3,9,0,33
2000,"Raf-1-associated protein phosphatase 2A as a positive regulator of kinase activation","Abraham D., Baccarini M., Podar K., Pacher M., Kubicek M., Welzel N., Hemmings B.A., Dilworth S.M., Mischak H., Kolch W.",00219258,"Journal of Biological Chemistry",275, 29,84,9,10,19,6,109
1999,"Association between src-kinases and the polyoma virus oncogene middle T-antigen requires PP2A and a specific sequence motif","Glover H.R., Brewster C.E.P., Dilworth S.M.",09509232,"Oncogene",18, 30,17,3,0,3,3,23
1998,"Polyomavirus middle T antigen as a probe for T cell antigen receptor- coupled signaling pathways","Kennedy A.P., Sekulic A., Irvin B.J., Nilson A.E., Dilworth S.M., Abraham R.T.",00219258,"Journal of Biological Chemistry",273, 19,8,0,2,2,1,11
1997,"Multimerization of polyomavirus middle-T antigen","Senften M., Dilworth S., Ballmer-Hofer K.",0022538X,"Journal of Virology",71, 9,5,0,0,0,0,5
1997,"The role of the Shc phosphotyrosine interaction/phosphotyrosine binding domain and tyrosine phosphorylation sites in polyoma middle T antigen- mediated cell transformation","Blaikie P.A., Fournier E., Dilworth S.M., Birnbaum D., Borg J.-P., Margolis B.",00219258,"Journal of Biological Chemistry",272, 33,24,0,0,0,1,25
1997,"pp60(c-src) binding to polyomavirus middle T-antigen (MT) requires residues 185 to 210 of the MT sequence","Brewster C.E.P., Glover H.R., Dilworth S.M.",0022538X,"Journal of Virology",71, 7,15,0,0,0,2,17
1996,"Polyomavirus middle-T antigen lacking a membrane anchor sequence accumulates in the nucleus","Messerschmitt A., Disela C., Dilworth S., Marti A.G., Ballmer-Hofer K.",00221317,"Journal of General Virology",77, 1,10,0,0,0,0,10
1995,"Polyoma virus middle T antigen: Meddler or mimic?","Dilworth S.M.",0966842X,"Trends in Microbiology",3, 1,36,0,0,0,0,36
1994,"Transformation by polyoma virus middle T-antigen involves the binding and tyrosine phosphorylation of Shc","Dilworth S.M., Brewster C.E.P., Jones M.D., Lanfrancone L., Pelicci G., Pelicci P.G.",00280836,"Nature",367, 6458,114,0,1,1,4,119
1993,"The role of nucleoplasmin in chromatin assembly and disassembly.","Laskey R.A., Mills A.D., Philpott A., Leno G.H., Dilworth S.M., Dingwall C.",09628436,"Philosophical transactions of the Royal Society of London. Series B: Biological sciences",339, 1289,34,2,0,2,0,36
1993,"Novel monoclonal antibodies that differentiate between the binding of pp60(c-src) or protein phosphatase 2A by polyomavirus middle T antigen","Dilworth S.M., Horner V.P.",0022538X,"Journal of Virology",67, 4,28,1,0,1,0,29
1993,"Cooperation of structural proteins during late events in the life cycle of polyomavirus","Forstova J., Krauzewicz N., Wallace S., Street A.J., Dilworth S.M., Beard S., Griffin B.E.",0022538X,"Journal of Virology",67, 3,64,6,3,9,1,74
1992,"Expression of XMyoD protein in early Xenopus laevis embryos","Hopwood N.D., Pluck A., Gurdon J.B., Dilworth S.M.",09501991,"Development",114, 1,38,4,0,4,1,43
1991,"A perichromosomal region contains proteins phosphorylated during mitosis in Xenopus laevis cells","Dilworth S.M.",00219533,"Journal of Cell Science",98, 3,5,0,0,0,0,5
1991,"Two interdependent basic domains in nucleoplasmin nuclear targeting sequence: Identification of a class of bipartite nuclear targeting sequence","Robbins J., Dilworth S.M., Laskey R.A., Dingwall C.",00928674,"Cell",64, 3,659,48,29,77,21,757
1990,"Cell alterations induced by the large T-antigens of SV40 and polyoma virus","Dilworth S.M.",1044579X,"Seminars in Cancer Biology",1, 6,16,0,1,1,0,17
1989,"Two TFIIIA activities regulate expression of the Xenopus 5S RNA gene families.","Blanco J., Millstein L., Razik M.A., Dilworth S., Cote C., Gottesfeld J.",08909369,"Genes & development",3, 10,2,0,1,1,0,3
1989,"Characterisation of the nuclear location sequence of Xenopus nucleoplasmin","Dingwall C., Robbins J., Dilworth S.M.",00219533,"Journal of Cell Science",93, 11,8,1,0,1,0,9
1988,"The nucleoplasmin nuclear location sequence is larger and more complex than that of SV-40 large T antigen.","Dingwall C., Robbins J., Dilworth S.M., Roberts B., Richardson W.D.",00219525,"Journal of Cell Biology",107, 3,52,4,2,6,3,61
1988,"Chromatin assembly in vitro and in vivo.","Dilworth S.M., Dingwall C.",02659247,"BioEssays",9, 2-3,11,1,0,1,0,12
1988,"Nuclear protein migration involves two steps: Rapid binding at the nuclear envelope followed by slower translocation through nuclear pores","Richardson W.D., Mills A.D., Dilworth S.M., Laskey R.A., Dingwall C.",00928674,"Cell",52, 5,171,4,2,6,1,178
1987,"Two complexes that contain histones are required for nucleosome assembly in vitro: Role of nucleoplasmin and N1 in Xenopus egg extracts","Dilworth S.M., Black S.J., Laskey R.A.",00928674,"Cell",51, 6,80,5,3,8,2,90
1987,"Chromosome replication in cell-free systems from Xenopus eggs.","Blow J.J., Dilworth S.M., Dingwall C., Mills A.D., Laskey R.A.",09628436,"Philosophical transactions of the Royal Society of London. Series B: Biological sciences",317, 1187,10,1,0,1,2,13
1987,"Nucleoplasmin cDNA sequence reveals polyglutamic acid tracts and a cluster of sequences homologous to putative nuclear localization signals.","Dingwall C., Dilworth S.M., Black S.J., Kearsey S.E., Cox L.S., Laskey R.A.",02614189,"EMBO Journal",6, 1,73,3,2,5,1,79
1986,"Subcellular localisation of the middle and large T-antigens of polyoma virus.","Dilworth S.M., Hansson H.A., Darnfors C., Bjursell G., Streuli C.H., Griffin B.E.",02614189,"The EMBO journal",5, 3,12,0,0,0,2,14
1985,"Chromosome replication in early Xenopus embryos.","Laskey R.A., Kearsey S.E., Mechali M., Dingwall C., Mills A.D., Dilworth S.M., Kleinschmidt J.",00917451,"Cold Spring Harbor symposia on quantitative biology",50, ,0,0,0,0,0,0
1984,"DNA binding activity of polyoma virus large tumor antigen","Dilworth S.M., Cowie A., Kamen R.I., Griffin B.E.",00278424,"Proceedings of the National Academy of Sciences of the United States of America",81, 7 I,2,0,0,0,0,2
1983,"The transforming gene of polyoma virus","Dilworth S.M., Griffin B.E.",0003911X,"Archiv fur Geschwulstforschung",53, 3,0,0,0,0,0,0
1983,"Polyomavirus: an overview of its unique properties.","Griffin B.E., Dilworth S.M.",0065230X,"Advances in Cancer Research",39, ,4,0,0,0,0,4
1982,"mlt Mutants of polyoma virus","Ding D.M., Dilworth S.M., Griffin B.E.",0022538X,"Journal of Virology",44, 3,0,0,0,0,0,0
1982,"Protein kinase activities associated with distinct antigenic forms of polyoma virus middle T-antigen.","Dilworth S.M.",02614189,"EMBO Journal",1, 11,3,0,0,0,1,4
1982,"Monoclonal antibodies against polyoma virus tumor antigens","Dilworth S.M., Griffin B.E.",00278424,"Proceedings of the National Academy of Sciences of the United States of America",79, 4 I,13,0,1,1,1,15
1982,"Immunological cross-reaction between large T-antigens of SV40 and polyoma virus","McCormick F., Lane D.P., Dilworth S.M.",00426822,"Virology",116, 1,0,0,0,0,0,0
1981,"Characterization of polyoma mutants with altered middle and large T-antigens","Magnusson G., Nilsson M.G., Dilworth S.M., Smolar N.",0022538X,"Journal of Virology",39, 3,2,1,0,1,3,6
1980,"Coding capacity of a 35% fragment of the polyoma virus genome is sufficient to initiate and maintain cellular transformation","Novak U., Dilworth S.M., Griffin B.E.",00278424,"Proceedings of the National Academy of Sciences of the United States of America",77, 6 I,2,0,0,0,0,2
