,"Author: Franzoso, Guido",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 24 (Of the 48 documents considered for the h-Index, 24 have been cited at least 24 times.)",,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,4946,529,548,1077,315,6338
2009,"The NF-kappaB transcription factor pathway as a therapeutic target in cancer: methods for detection of NF-kappaB activity.","Mauro C., Zazzeroni F., Papa S., Bubici C., Franzoso G.",10643745,"Methods in molecular biology (Clifton, N.J.)",512, ,0,0,0,0,0,0
2009,"Gadd45beta dimerization does not affect MKK7 binding.","Tornatore L., Ruvo M., Montil S.M., Marasco D., Dathan N., Vitale R.M., Benedetti E., Pedone C., Papa S., Franzoso G.",00652598,"Advances in experimental medicine and biology",611, ,0,0,0,0,0,0
2009,"Getting away from it all in Capri: The 2008 EMBO workshop on NF-?B","Gilmore T.D., Perkins N.D., Franzoso G.",13509047,"Cell Death and Differentiation",16, 4,0,0,0,0,0,0
2009,"T Cell-Derived Lymphotoxin Regulates Liver Regeneration","Tumanov A.V., Fu Y., Anders R.A., Koroleva E.P., Christiansen P.A., Khan M.A., Ruddy M.J., Burnette B., Papa S., Franzoso G., Nedospasov S.A.",00165085,"Gastroenterology",136, 2,0,0,0,0,0,0
2009,"Growth arrest and DNA damage protein 45b (Gadd45b) protects retinal ganglion cells from injuries","Liu B., Suyeoka G., Papa S., Franzoso G., Neufeld A.H.",09699961,"Neurobiology of Disease",33, 1,0,0,0,0,0,0
2008,"Finite element analysis of cancellous bone failure in the vertebral body of healthy and osteoporotic subjects.","Boccaccio A., Vena P., Gastaldi D., Franzoso G., Pietrabissa R., Pappalettere C.",09544119,"Proceedings of the Institution of Mechanical Engineers. Part H, Journal of engineering in medicine",222, 7,0,0,0,0,0,0
2008,"Gadd45? promotes hepatocyte survival during liver regeneration in mice by modulating JNK signaling","Papa S., Zazzeroni F., Fu Y.-X., Bubici C., Alvarez K., Dean K., Christiansen P.A., Anders R.A., Franzoso G.",00219738,"Journal of Clinical Investigation",118, 5,0,0,2,2,4,6
2008,"Gadd45? forms a Homodimeric Complex that Binds Tightly to MKK7","Tornatore L., Marasco D., Dathan N., Vitale R.M., Benedetti E., Papa S., Franzoso G., Ruvo M., Monti S.M.",00222836,"Journal of Molecular Biology",378, 1,0,0,0,0,2,2
2007,"A method for isolating prosurvival targets of NF-kappaB/Rel transcription factors.","Kuntzen C., Zazzeroni F., Pham C.G., Papa S., Bubici C., Knabb J.R., Franzoso G.",10643745,"Methods in molecular biology (Clifton, N.J.)",399, ,0,0,2,2,0,2
2007,"Insights into the structural basis of the GADD45?-mediated inactivation of the JNK kinase, MKK7/JNKK2","Papa S., Ruvo M., Franzoso G., Monti S.M., Vitale R.M., Bubici C., Jayawardena S., Alvarez K., De Smaele E., Dathan N., Pedone C.",00219258,"Journal of Biological Chemistry",282, 26,0,0,4,4,5,9
2007,"Upregulation of twist-1 by NF-?B blocks cytotoxicity induced by chemotherapeutic drugs","Pham C.G., Bubici C., Zazzeroni F., Knabb J.R., Papa S., Kuntzen C., Franzoso G.",02707306,"Molecular and Cellular Biology",27, 11,0,1,7,8,4,12
2007,"Role of the JNK pathway in NMDA-mediated excitotoxicity of cortical neurons","Centeno C., Franzoso G., Borsello T., Repici M., Chatton J.-Y., Riederer B.M., Bonny C., Nicod P., Price M., Clarke P.G.H., Papa S.",13509047,"Cell Death and Differentiation",14, 2,0,6,6,12,5,17
2006,"Mutual cross-talk between reactive oxygen species and nuclear factor-kappa B: Molecular basis and biological significance","Bubici C., Papa S., Dean K., Franzoso G.",09509232,"Oncogene",25, 51,4,16,30,46,24,74
2006,"TNF-? inhibits asbestos-induced cytotoxicity via a NF-?B-dependent pathway, a possible mechanism for asbestos-induced oncogenesis","Yang H., Testa J.R., Franzoso G., Carbone M., Bocchetta M., Kroczynska B., Elmishad A.G., Chen Y., Liu Z., Bubici C., Mossman B.T., Pass H.I.",00278424,"Proceedings of the National Academy of Sciences of the United States of America",103, 27,4,17,18,35,11,50
2006,"The NF-?B-mediated control of the JNK cascade in the antagonism of programmed cell death in health and disease","Papa S., Bubici C., Zazzeroni F., Pham C.G., Kuntzen C., Knabb J.R., Dean K., Franzoso G.",13509047,"Cell Death and Differentiation",13, 5,8,15,24,39,13,60
2006,"Growth arrest- and DNA-damage-inducible 45? gene inhibits c-Jun N-terminal kinase and extracellular signal-regulated kinase and decreases IL-1?-induced apoptosis in insulin-producing INS-1E cells","Larsen C.M., Dossing M.G., Papa S., Franzoso G., Billestrup N., Mandrup-Poulsen T.",0012186X,"Diabetologia",49, 5,0,2,6,8,2,10
2006,"NF-?B-dependent regulation of the timing of activation-induced cell death of T lymphocytes","Mittal A., Papa S., Franzoso G., Sen R.",00221767,"Journal of Immunology",176, 4,6,3,4,7,2,15
2006,"Coordination between NF-?B family members p50 and p52 is essential for mediating LT?R signals in the development and organization of secondary lymphoid tissues","Lo J.C., Fu Y.-X., Basak S., James E.S., Quiambo R.S., Kinsella M.C., Alegre M.-L., Weih F., Franzoso G., Hoffmann A.",00064971,"Blood",107, 3,6,10,6,16,2,24
2006,"The NF-?B-mediated control of ROS and JNK signaling","Bubici C., Papa S., Pham C.G., Zazzeroni F., Franzoso G.",02133911,"Histology and Histopathology",21, 1-3,4,17,17,34,14,52
2005,"In the crosshairs: NF-?B targets the JNK signaling cascade","Pham C.G., Papa S., Bubici C., Zazzeroni F., Franzoso G.",15680142,"Current Medicinal Chemistry: Anti-Inflammatory and Anti-Allergy Agents",4, 6,0,0,0,0,0,0
2005,"NF-?B meets ROS: An 'iron-ic' encounter","Papa S., Bubici C., Pham C.G., Zazzeroni F., Franzoso G.",13509047,"Cell Death and Differentiation",12, 10,4,0,2,2,2,8
2005,"Oxygen JNKies: Phosphatases overdose on ROS","Pham C.G., Papa S., Bubici C., Zazzeroni F., Franzoso G.",15345807,"Developmental Cell",8, 4,2,0,3,3,1,6
2004,"NF-?B and JNK: An intricate affair","Bubici C., Papa S., Pham C.G., Zazzeroni F., Franzoso G.",15384101,"Cell Cycle",3, 12,15,11,5,16,3,34
2004,"Erratum: Evidence for distinct intracellular signaling pathways in CD34+ progenitor to dendritic cell differentiation from a human cell line model (Journal of Immunology (1999) 162 (3237-3248))","St. Louis D.C., Grimes J.L., Harlan D.M., Chute J.P., June C.H., Siebenlist U., Lee K.P., Franzoso G., Woodcock J.B., Blair P.J., Carlson L.M., Murillo M., Wells M.R., Williams A.J., Smoot D.S., Kaushal S.",00221767,"Journal of Immunology",173, 10,0,0,0,0,0,0
2004,"Ferritin heavy chain upregulation by NF-?B inhibits TNF?-induced apoptosis by suppressing reactive oxygen species","Pham C.G., Beaumont C., Torti F.M., Torti S.V., Franzoso G., Bubici C., Zazzeroni F., Papa S., Jones J., Alvarez K., Jayawardena S., De Smaele E., Cong R.",00928674,"Cell",119, 4,71,30,39,69,24,164
2004,"Linking JNK signaling to NF-?B: A key to survival","Papa S., Zazzeroni F., Pham C.G., Bubici C., Franzoso G.",00219533,"Journal of Cell Science",117, 22,42,28,17,45,8,95
2004,"CD95 ligand induces motility and invasiveness of apoptosis-resistant tumor cells","Barnhart B.C., Legembre P., Pietras E., Bubici C., Franzoso G., Peter M.E.",02614189,"EMBO Journal",23, 15,27,14,17,31,7,65
2004,"Gadd45? mediates the NF-?B suppression of JNK signalling by targeting MKK7/JNKK2","Papa S., Melis T., De Smaele E., Tang W.-J., D'Adamio L., Franzoso G., Zazzeroni F., Bubici C., Jayawardena S., Alvarez K., Matsuda S., Nguyen D.U., Pham C.G., Nelsbach A.H.",14657392,"Nature Cell Biology",6, 2,60,24,28,52,11,123
2003,"Gadd45? mediates the protective effects of CD40 costimulation against Fas-induced apoptosis","Zazzeroni F., Peter M.E., Franzoso G., Papa S., Algeciras-Schimnich A., Alvarez K., Melis T., Bubici C., Majewski N., Hay N., De Smaele E.",00064971,"Blood",102, 9,21,7,7,14,4,39
2003,"Differential regulation of CCL21 in lymphoid/nonlymphoid tissues for effectively attracting T cells to peripheral tissues","Lo J.C., Fu Y.-X., Chin R.K., Lee Y., Kang H.-S., Wang Y., Weinstock J.V., Banks T., Ware C.F., Franzoso G.",00219738,"Journal of Clinical Investigation",112, 10,19,6,6,12,3,34
2003,"NF-?B protects from the lysosomal pathway of cell death","Liu N., Lee J.C., Peter M.E., Froelich C.J., Franzoso G., Ashton-Rickardt P.G., Raja S.M., Zazzeroni F., Metkar S.S., Shah R., Zhang M., Wang Y., Bromme D., Russin W.A.",02614189,"EMBO Journal",22, 19,33,6,7,13,5,51
2003,"Protection by herpes simplex virus glycoprotein D against Fas-mediated apoptosis: Role of nuclear factor ?B","Medici M.A., Mastino A., Sciortino M.T., Perri D., Amici C., Avitabile E., Ciotti M., Balestrieri E., De Smaele E., Franzoso G.",00219258,"Journal of Biological Chemistry",278, 38,16,5,9,14,1,31
2003,"Cell survival and a Gadd45 - Factor deficiency: Commentary","Zazzeroni F., Papa S., De Smaele E., Franzoso G.",00280836,"Nature",424, 6950,7,0,0,0,0,7
2003,"JNK: A killer on a transcriptional leash","Franzoso G., Zazzeroni F., Papa S.",13509047,"Cell Death and Differentiation",10, 1,18,3,1,4,0,22
2002,"c-FLIP efficiently rescues TRAF-2-/- cells from TNF-induced apoptosis","Guiet C., Silvestri E., De Smaele E., Franzoso G., Vito P.",13509047,"Cell Death and Differentiation",9, 2,6,3,1,4,0,10
2002,"Regulation of the gadd45? promoter by NF-?B","Jin R., De Smaele E., Zazzeroni F., Nguyen D.U., Papa S., Jones J., Cox C., Gelinas C., Franzoso G.",10445498,"DNA and Cell Biology",21, 7,27,2,9,11,1,39
2001,"Induction of gadd4? by NF-?B downregulates pro-apoptotic JNK signalling","De Smaele E., Zazzeroni F., Papa S., Nguyen D.U., Jin R., Jones J., Cong R., Franzoso G.",00280836,"Nature",414, 6861,275,46,36,82,21,378
2000,"Physical and functional interaction of filamin (actin-binding protein- 280) and tumor necrosis factor receptor-associated factor 2","Leonardi A., Ellinger-Ziegelbauer H., Franzoso G., Brown K., Siebenlist U.",00219258,"Journal of Biological Chemistry",275, 1,56,5,7,12,1,69
1999,"Required and nonessential functions of nuclear factor-kappa B in bone cells","Boyce B.F., Xing L., Franzoso G., Siebenlist U.",87563282,"Bone",25, 1,27,4,5,9,2,38
1999,"I?B-? enhances transactivation by the HOXB7 homeodomain-containing protein","Chariot A., Princen F., Gielen J., Merville M.-P., Franzoso G., Brown K., Siebenlist U., Bours V.",00219258,"Journal of Biological Chemistry",274, 9,19,1,0,1,1,21
1998,"Mice deficient in nuclear factor (NF)-?B/p52 present with defects in humoral responses, germinal center reactions, and splenic microarchitecture","Franzoso G., Anver M., Love P., Brown K., Siebenlist U., Carlson L., Poljak L., Shores E.W., Epstein S., Leonardi A., Grinberg A., Tran T., Scharton-Kersten T.",00221007,"Journal of Experimental Medicine",187, 2,201,18,12,30,7,238
1997,"Requirement for NF-?B in osteoclast and B-cell development","Franzoso G., Siebenlist U., Carlson L., Xing L., Poljak L., Shores E.W., Brown K.D., Leonardi A., Tran T., Boyce B.F.",08909369,"Genes and Development",11, 24,342,38,41,79,21,442
1997,"The signal response of I?b? is regulated by transferable N- and C- terminal domains","Brown K., Franzoso G., Baldi L., Carlson L., Mills L., Lin Y.-C., Gerstberger S., Siebenlist U.",02707306,"Molecular and Cellular Biology",17, 6,34,0,2,2,0,36
1997,"Critical roles for the Bcl-3 oncoprotein in T cell-mediated immunity, splenic microarchitecture, and germinal center reactions","Franzoso G., Anver M., Love P., Sher A., Siebenlist U., Carlson L., Scharton-Kersten T., Shores E.W., Epstein S., Grinberg A., Tran T., Shacter E., Leonardi A.",10747613,"Immunity",6, 4,96,3,5,8,2,106
1997,"Corrigendum: The oncoprotein Bcl-3 can facilitate NF-?B-mediated transactivation by removing inhibiting p50 homodimers from select ?B sites","Franzoso G., Bours V., Azarenko V., Park S., Tomita-Yamaguchi M., Kanno T., Brown K., Siebenlist U.",02614189,"EMBO Journal",16, 2,1,0,0,0,0,1
1996,"Regulation of HIV-1 long terminal repeats by interaction of C/EBP(NF- IL6) and NF-?B/Rel transcription factors","Ruoccc M.R., Quinto I., Venuta S., Scala G., Chen X., Ambrosino C., Dragonetti E., Liu W., Mallardo M., De Falco G., Palmieri C., Franzoso G.",00219258,"Journal of Biological Chemistry",271, 37,63,1,1,2,4,69
1996,"Activation of the serum response factor by p65/NF-?B","Franzoso G., Carlson L., Brown K., Daucher M.B., Bressler P., Siebenlist U.",02614189,"EMBO Journal",15, 13,38,0,3,3,0,41
1996,"Critical role for lysines 21 and 22 in signal-induced, ubiquitin-mediated proteolysis of I?B-?","Baldi L., Brown K., Franzoso G., Siebenlist U.",00219258,"Journal of Biological Chemistry",271, 1,119,5,6,11,4,134
1995,"NF?B and interferon regulatory factor 1 physically interact and synergistically induce major histocompatibility class I gene expression","Drew P.D., Franzoso G., Becker K.G., Bours V., Carlson L.M., Siebenlist U., Ozato K.",10799907,"Journal of Interferon and Cytokine Research",15, 12,75,1,3,4,2,81
1995,"Interferon regulatory factor-2 physically interacts with NF-?B in vitro and inhibits NF-?B induction of major histocompatibility class I and ?2-microglobulin gene expression in transfected human neuroblastoma cells","Drew P.D., Franzoso G., Carlson L.M., Biddison W.E., Siebenlist U., Ozato K.",01655728,"Journal of Neuroimmunology",63, 2,22,0,2,2,1,25
1995,"Control of I?B-? proteolysis by site-specific, signal-induced phosphorylation","Brown K., Gerstberger S., Carlson L., Franzoso G., Siebenlist U.",00368075,"Science",267, 5203,897,44,39,83,16,996
1994,"Human T-cell leukemia virus type I tax-protein-mediated activation of NF- ?B from p100 (NF-?B2)-inhibited cytoplasmic reservoirs","Kanno T., Franzoso G., Siebenlist U.",00278424,"Proceedings of the National Academy of Sciences of the United States of America",91, 26,45,2,1,3,0,48
1994,"Kinetic analysis of human T-cell leukemia virus type I tax-mediated activation of NF-?B","Kanno T., Brown K., Franzoso G., Siebenlist U.",02707306,"Molecular and Cellular Biology",14, 10,66,1,1,2,1,69
1994,"Structure, regulation and function of NF-?B","Siebenlist U., Franzoso G., Brown K.",07434634,"Annual Review of Cell Biology",10, ,1271,85,63,148,42,1461
1994,"Immunoblot analyses of chimpanzee sera after infection and after immunization and challenge with Mycoplasma pneumoniae","Franzoso G., Hu P.-C., Meloni G.A., Barile M.F.",00199567,"Infection and Immunity",62, 3,7,1,0,1,0,8
1994,"A family of serine proteases expressed exclusively in myelo-monocytic cells specifically processes the nuclear factor-?B subunit p65 in vitro and may impair human immunodeficiency virus replication in these cells","Franzoso G., Biswas P., Poli G., Carlson L.M., Brown K.D., Tomita-Yamaguchi M., Fauci A.S., Siebenlist U.K.",00221007,"Journal of Experimental Medicine",180, 4,58,4,1,5,2,65
