,"Author: Taylor, Patricia M.",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 12 (Of the 27 documents considered for the h-Index, 12 have been cited at least 12 times.)",,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,1055,122,124,246,99,1400
2009,"Endothelium-Dependent Regulation of the Mechanical Properties of Aortic Valve Cusps","El-Hamamsy I., Balachandran K., Yacoub M.H., Stevens L.M., Sarathchandra P., Taylor P.M., Yoganathan A.P., Chester A.H.",07351097,"Journal of the American College of Cardiology",53, 16,0,0,0,0,2,2
2009,"Transforming growth factor beta 1 and hyaluronan oligomers synergistically enhance elastin matrix regeneration by vascular smooth muscle cells","Kothapalli C.R., Taylor P.M., Smolenski R.T., Yacoub M.H., Ramamurthi A.",19373341,"Tissue Engineering - Part A",15, 3,0,0,0,0,0,0
2007,"A novel role of the sympatho-adrenergic system in regulating valve calcification","Osman L., Chester A.H., Sarathchandra P., Latif N., Meng W., Taylor P.M., Yacoub M.H.",00097322,"Circulation",116, 11,0,0,2,2,5,7
2007,"Molecular and functional characteristics of heart-valve interstitial cells","Chester A.H., Taylor P.M.",09628436,"Philosophical Transactions of the Royal Society B: Biological Sciences",362, 1484,0,1,5,6,4,10
2007,"Biological matrices and bionanotechnology","Taylor P.M.",09628436,"Philosophical Transactions of the Royal Society B: Biological Sciences",362, 1484,0,1,3,4,2,6
2007,"Force generation of different human cardiac valve interstitial cells: relevance to individual valve function and tissue engineering.","Smith S., Taylor P.M., Chester A.H., Allen S.P., Dreger S.A., Eastwood M., Yacoub M.H.",09668519,"The Journal of heart valve disease",16, 4,0,0,1,1,1,2
2007,"Characterization of structural and signaling molecules by human valve interstitial cells and comparison to human mesenchymal stem cells","Latif N., Sarathchandra P., Thomas P.S., Antoniw J., Batten P., Chester A.H., Taylor P.M., Yacoub M.H.",09668519,"Journal of Heart Valve Disease",16, 1,0,0,2,2,2,4
2006,"Magnetic resonance imaging of ferumoxide-labeled mesenchymal stem cells seeded on collagen scaffolds - Relevance to tissue engineering","Terrovitis J.V., Firmin D.N., Taylor P.M., Yacoub M.H., Bulte J.W.M., Sarvananthan S., Crowe L.A., Sarathchandra P., Batten P., Sachlos E., Chester A.H., Czernuszka J.T.",10763279,"Tissue Engineering",12, 10,0,1,8,9,6,15
2006,"Potential for synthesis and degradation of extracellular matrix proteins by valve interstitial cells seeded onto collagen scaffolds","Dreger S.A., Thomas P., Sachlos E., Chester A.H., Czernuszka J.T., Taylor P.M., Yacoub M.H.",10763279,"Tissue Engineering",12, 9,0,1,0,1,3,4
