,"This is a citation overview for a set of 18 documents.",,,,,,,,,,,,
,,,,,,,,,,,,,
,"h index = 15 (Of the 18 documents considered for the h-Index, 15 have been cited at least 15 times.)",,,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,<2010,2010,2011,2012,subtotal,>2012,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,947,132,133,44,309,0,1256
2008,"T cell responses to whole SARS coronavirus in humans","Li C.K.-F., Brenchley J.M., Douek D.C., Mongkolsapaya J., Tran B.-H., Lin C.-L.S., Screaton G.R., Hou J.-L., McMichael A.J., Xu X.-N., Wu H., Yan H., Ma S., Wang L., Zhang M., Tang X., Temperton N.J., Weiss R.A.",00221767,"Journal of Immunology",181, 8,4,6,7,1,14,0,18
2008,"A complex interplay among virus, dendritic cells, T cells, and cytokines in dengue virus infections","Dejnirattisai W., Duangchinda T., Lin C.-L.S., Vasanawathana S., Jones M., Jacobs M., Malasit P., Xu X.-N., Screaton G., Mongkolsapaya J.",00221767,"Journal of Immunology",181, 9,4,1,9,2,12,0,16
2007,"Humidity control as a strategy for lattice optimization applied to crystals of HLA-A*1101 complexed with variant peptides from dengue virus","Chotiyarnwong P., Stewart-Jones G.B., Tarry M.J., Dejnirattisai W., Siebold C., Koch M., Stuart D.I., Harlos K., Malasit P., Screaton G., Mongkolsapaya J., Jones E.Y.",17443091,"Acta Crystallographica Section F: Structural Biology and Crystallization Communications",63, 5,1,0,2,1,3,0,4
2006,"T cell responses and dengue haemorrhagic fever","Screaton G., Mongkolsapaya J.",15282511,"Novartis Foundation Symposium",277, ,5,2,2,0,4,0,9
2006,"Vascular leakage in severe dengue virus infections: A potential role for the nonstructural viral protein NS1 and complement","Avirutnan P., Puttikhunt C., Pattanakitsakul S.-N., Yenchitsomanus P.-T., Mongkolsapaya J., Kasinrerk W., Sittisombut N., Husmann M., Blettner M., Vasanawathana S., Bhakdi S., Punyadee N., Malasit P., Noisakran S., Komoltri C., Thiemmeca S., Auethavornanan K., Jairungsri A., Kanlaya R., Tangthawornchaikul N.",00221899,"Journal of Infectious Diseases",193, 8,59,11,23,6,40,0,99
