,"This is a citation overview for a set of 69 documents.",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 21 (Of the 69 documents considered for the h-Index, 21 have been cited at least 21 times.)",,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,804,205,242,447,196,1447
2009,"Development and characterization of polyspecific anti-mitochondrion antibodies for proteomics studies on in toto tissue homogenates","Loro E., Gianazza E., Cazzola S., Malena A., Wait R., Begum S., Brizio C., Dabbeni-Sala F., Vergani L.",01730835,"Electrophoresis",30, 8,0,0,0,0,0,0
2009,"A proteomic reference map for pig serum proteins as a prerequisite for diagnostic applications","Miller I., Wait R., Sipos W., Gemeiner M.",00345288,"Research in Veterinary Science",86, 2,0,0,0,0,0,0
2009,"Proteomic analysis of the lymphocyte plasma membrane using cell surface biotinylation and solution-phase isoelectric focusing.","Peirce M.J., Cope A.P., Wait R.",10643745,"Methods in molecular biology (Clifton, N.J.)",528, ,0,0,0,0,0,0
2009,"Proteomic analysis of human low-density lipoprotein reveals the presence of prenylcysteine lyase, a hydrogen peroxide-generating enzyme","Banfi C., Brioschi M., Barcella S., Wait R., Begum S., Galli S., Rizzi A., Tremoli E.",16159853,"Proteomics",9, 5,0,0,0,0,0,0
2009,"Evolutionarily conserved antigens in autoimmune disease: Implications for an infective aetiology","Wegner N., Wait R., Venables P.J.",13572725,"International Journal of Biochemistry and Cell Biology",41, 2,0,0,0,0,0,0
2008,"Proteins modulation in human skeletal muscle in the early phase of adaptation to hypobaric hypoxia","Vigano A., Ripamonti M., De Palma S., Capitanio D., Vasso M., Wait R., Lundby C., Cerretelli P., Gelfi C.",16159853,"Proteomics",8, 22,0,0,0,0,1,1
2008,"Antibodies to citrullinated ?-enolase peptide 1 are specific for rheumatoid arthritis and cross-react with bacterial enolase","Lundberg K., Kinloch A., Fisher B.A., Wegner N., Wait R., Charles P., Mikuls T.R., Venables P.J.",00043591,"Arthritis and Rheumatism",58, 10,0,0,2,2,4,6
2008,"Synovial fluid is a site of citrullination of autoantigens in inflammatory arthritis","Kinloch A., Lundberg K., Wait R., Wegner N., Ngee H.L., Zendman A.J.W., Saxne T., Malmstrom V., Venables P.J.",00043591,"Arthritis and Rheumatism",58, 8,0,0,1,1,6,7
2008,"The purified recombinant precursor of rat mitochondrial dimethylglycine dehydrogenase binds FAD via an autocatalytic reaction","Brizio C., Brandsch R., Douka M., Wait R., Barile M.",01418130,"International Journal of Biological Macromolecules",42, 5,0,0,0,0,1,1
2008,"Analysis of protein complexes in wheat amyloplasts reveals functional interactions among starch biosynthetic enzymes","Tetlow I.J., Beisel K.G., Cameron S., Makhmoudova A., Liu F., Bresolin N.S., Wait R., Morell M.K., Emes M.J.",00320889,"Plant Physiology",146, 4,0,0,9,9,3,12
2008,"Succinate dehydrogenase flavoprotein subunit expression in Saccharomyces cerevisiae - Involvement of the mitochondrial FAD transporter, Flx1p","Giancaspero T.A., Wait R., Boles E., Barile M.",1742464X,"FEBS Journal",275, 6,0,0,0,0,1,1
2008,"Human Proteinpedia enables sharing of human protein data [4]","Mathivanan S., Bennett K.L., Moritz R., Morzel M., Muddiman D.C., Nalli A., Navarro J.D., Neubert T.A., Ohara O., Oliva R., Omenn G.S., Oyama M., Bjorling E., Paik Y.-K., Pennington K., Pepperkok R., Periaswamy B., Petricoin E.F., Poirier G.G., Prasad T.S.K., Purvine S.O., Rahiman B.A., Ramachandran P., Blagoev B., Ramachandra Y.L., Rice R.H., Rick J., Ronnholm R.H., Salonen J., Sanchez J.-C., Sayd T., Seshi B., Shankari K., Sheng S.J., Bose R., Shetty V., Shivakumar K., Simpson R.J., Sirdeshmukh R., Michael Siu K.W., Smith J.C., Smith R.D., States D.J., Sugano S., Sullivan M., Brahmachari S.K., Superti-Furga G., Takatalo M., Thongboonkerd V., Trinidad J.C., Uhlen M., Vandekerckhove J., Vasilescu J., Veenstra T.D., Vidal-Taboada J.-M., Vihinen M., Burlingame A.S., Wait R., Wang X., Wiemann S., Wu B., Xu T., Yates J.R., Zhong J., Zhou M., Zhu Y., Zurbig P., Bustelo X.R., Pandey A., Cagney G., Cantin G.T., Cardasis H.L., Ahmed M., Celis J.E., Chaerkady R., Chu F., Cole P.A., Costello C.E., Cotter R.J., Crockett D., DeLany J.P., De Marzo A.M., DeSouza L.V., Ahn N.G., Deutsch E.W., Dransfield E., Drewes G., Droit A., Dunn M.J., Elenitoba-Johnson K., Ewing R.M., Eyk J.V., Faca V., Falkner J., Alexandre H., Fang X., Fenselau C., Figeys D., Gagne P., Gelfi C., Gevaert K., Gimble J.M., Gnad F., Goel R., Gromov P., Amanchy R., Hanash S.M., Hancock W.S., Harsha H.C., Hart G., Hays F., He F., Hebbar P., Helsens K., Hermeking H., Hide W., Andrews P.C., Hjerno K., Hochstrasser D.F., Hofmann O., Horn D.M., Hruban R.H., Ibarrola N., James P., Jensen O.N., Jensen P.H., Jung P., Bader J.S., Kandasamy K., Kheterpal I., Kikuno R.F., Korf U., Korner R., Kuster B., Kwon M.-S., Lee H.-J., Lee Y.-J., Lefevre M., Balgley B.M., Lehvaslaiho M., Lescuyer P., Levander F., Lim M.S., Lobke C., Loo J.A., Mann M., Martens L., Martinez-Heredia J., McComb M., Bantscheff M., McRedmond J., Mehrle A., Menon R., Mischak H., Mohan S.S., Mohmood R., Molina H., Moran M.F., Morgan J.D.",10870156,"Nature Biotechnology",26, 2,0,0,8,8,10,18
2007,"Protein expression diversity amongst serovars of Salmonella enterica","Encheva V., Wait R., Begum S., Gharbia S.E., Shah H.N.",13500872,"Microbiology",153, 12,0,0,0,0,2,2
