,"Author: Hajji, Nabil",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 3 (Of the 4 documents considered for the h-Index, 3 have been cited at least 3 times.)",,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,23,11,5,16,8,47
2006,"Modulation of radiation response by inhibiting topoisomerase II catalytic activity","Mateos S., Hajji N., Pastor N., Cortes F.",00275107,"Mutation Research - Fundamental and Molecular Mechanisms of Mutagenesis",599, 1-2,0,0,0,0,0,0
2005,"Induction of genotoxic and cytotoxic damage by aclarubicin, a dual topoisomerase inhibitor","Hajji N., Mateos S., Pastor N., Dominguez I., Cortes F.",13835718,"Mutation Research - Genetic Toxicology and Environmental Mutagenesis",583, 1,1,4,1,5,1,7
2004,"A 4 year follow-up analysis of genotoxic damage in birds of the Doñana area (south west Spain) in the wake of the 1998 mining waste spill","Pastor N., Baos R., Lopez-Lazaro M., Jovani R., Tella J.L., Hajji N., Hiraldo F., Cortes F.",02678357,"Mutagenesis",19, 1,6,3,4,7,1,14
2003,"DNA strand breaks induced by the anti-topoisomerase II bis-dioxopiperazine ICRF-193","Hajji N., Pastor N., Mateos S., Dominguez I., Cortes F.",00275107,"Mutation Research - Fundamental and Molecular Mechanisms of Mutagenesis",530, 1-2,16,4,0,4,6,26
