,"This is a citation overview for a set of 25 documents.",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 7 (Of the 25 documents considered for the h-Index, 7 have been cited at least 7 times.)",,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,79,21,37,58,21,158
2009,"Trunk muscle responses following unpredictable loading of an abducted arm","Mullington C.J., Klungarvuth L., Catley M., McGregor A.H., Strutton P.H.",09666362,"Gait and Posture",30, 2,0,0,0,0,0,0
2008,"Do asymmetries exist in the trunk muscles and is this influenced by sporting task?","Everett R., Strutton P.H., McGregor A.H.",09593020,"Isokinetics and Exercise Science",16, 4,0,0,0,0,1,1
2008,"Measurement of voluntary activation of the back muscles using transcranial magnetic stimulation","Lagan J., Lang P., Strutton P.H.",13882457,"Clinical Neurophysiology",119, 12,0,0,0,0,0,0
2008,"Cortical control of erector spinae muscles during arm abduction in humans","Kuppuswamy A., Catley M., King N.K.K., Strutton P.H., Davey N.J., Ellaway P.H.",09666362,"Gait and Posture",27, 3,0,0,0,0,0,0
2007,"Time course of trunk extensor muscle fatigue as measured using dynamometry and electromyography","Abdalla S., McGregor A.H., Strutton P.H.",09593020,"Isokinetics and Exercise Science",15, 3,0,0,0,0,0,0
2007,"Testing isometric fatigue in the trunk muscles","Crowther A., McGregor A.H., Strutton P.H.",09593020,"Isokinetics and Exercise Science",15, 2,0,1,0,1,0,1
2007,"Using multimedia and Web3D to enhance anatomy teaching","Brenton H., Hernandez J., Bello F., Strutton P., Purkayastha S., Firth T., Darzi A.",03601315,"Computers and Education",49, 1,0,1,2,3,4,7
2007,"Review of physiological motor outcome measures in spinal cord injury using transcranial magnetic stimulation and spinal reflexes","Ellaway P.H., Catley M., Davey N.J., Kuppuswamy A., Strutton P., Frankel H.L., Jamous A., Savic G.",07487711,"Journal of Rehabilitation Research and Development",44, 1,0,0,1,1,1,2
2006,"Estimation of cortical silent period following transcranial magnetic stimulation using a computerised cumulative sum method","King N.K.K., Kuppuswamy A., Strutton P.H., Davey N.J.",01650270,"Journal of Neuroscience Methods",150, 1,0,2,3,5,2,7
2005,"Corticospinal excitability in patients with chronic low back pain","Strutton P.H., Theodorou S., Catley M., McGregor A.H., Davey N.J.",15360652,"Journal of Spinal Disorders and Techniques",18, 5,1,3,4,7,2,10
2005,"Establishment of a protocol to test fatigue of the trunk muscles","Corin G., Strutton P.H., McGregor A.H.",03063674,"British Journal of Sports Medicine",39, 10,0,3,4,7,0,7
2005,"Motor neurone excitability in back muscles assessed using mechanically evoked reflexes in spinal cord injured patients","Kuppuswamy A., Theodorou S., Catley M., Strutton P.H., Ellaway P.H., McGregor A.H., Davey N.J.",00223050,"Journal of Neurology, Neurosurgery and Psychiatry",76, 9,2,3,0,3,0,5
2005,"The effect of an energy drink containing glucose and caffeine on human corticospinal excitability","Specterman M., Bhuiya A., Kuppuswamy A., Strutton P.H., Catley M., Davey N.J.",00319384,"Physiology and Behavior",83, 5,1,1,2,3,0,4
2004,"What do we know about how humans cough?","Fong J., Sandhu G., Ellaway P., Davey N., Strutton P., Murphy K., Guz A.",10945539,"Pulmonary Pharmacology and Therapeutics",17, 6,5,2,1,3,3,11
2004,"Corticospinal activation of internal oblique muscles has a strong ipsilateral component and can be lateralised in man","Strutton P.H., Beith I.D., Theodorou S., Catley M., McGregor A.H., Davey N.J.",00144819,"Experimental Brain Research",158, 4,0,2,7,9,1,10
2004,"Specificity and functional impact of post-exercise depression of cortically evoked motor potentials in man","Humphry A.T., Lloyd-Davies E.J., Teare R.J., Williams K.E., Strutton P.H., Davey N.J.",14396319,"European Journal of Applied Physiology",92, 1-2,2,0,3,3,0,5
2004,"Human Corticospinal Excitability in Microgravity and Hypergravity during Parabolic Flight","Davey N.J., Rawlinson S.R., Nowicky A.V., McGregor A.H., Dubois K., Strutton P.H., Schroter R.C.",00956562,"Aviation Space and Environmental Medicine",75, 4,0,0,2,2,2,4
2003,"Corticospinal excitability in patients with unilateral sciatica","Strutton P.H., Catley M., McGregor A.H., Davey N.J.",03043940,"Neuroscience Letters",353, 1,4,0,0,0,0,4
2003,"Stability of corticospinal excitability and grip force in intrinsic hand muscles in man over a 24-h period","Strutton P.H., Catley M., Davey N.J.",00319384,"Physiology and Behavior",79, 4-5,5,1,0,1,1,7
2002,"Fatigue-induced change in corticospinal drive to back muscles in elite rowers","Fulton R.C., Strutton P.H., McGregor A.H., Davey N.J.",09580670,"Experimental Physiology",87, 5,2,2,2,4,0,6
1999,"Estrogen receptor immunoreactivity is present in the majority of central histaminergic neurons: Evidence for a new neuroendocrine pathway associated with luteinizing hormone-releasing hormone-synthesizing neurons in rats and humans","Fekete Cs., Okada H., Panula P., Merchenthaler I., Coen C.W., Liposits Zs., Strutton P.H., Cagampang F.R.A., Hrabovszky E., Kallo I., Shughrue P.J., Dobo E., Mihaly E., Baranyi L.",00137227,"Endocrinology",140, 9,14,0,0,0,1,15
1999,"Ketamine-induced general anesthesia is compatible with gonadotrophin- releasing hormone pulse generator activity in gonadectomized rats: Prospects for detailed electrophysiological studies in vivo","Goubillon M.-L., Strutton P.H., O'Byrne K.T., Thalabard J.-C., Coen C.W.",00068993,"Brain Research",841, 1-2,3,0,2,2,0,5
1999,"Adrenomedullectomy prevents the suppression of pulsatile luteinising hormone release during fasting in female rats","Cagampang F.R.A., Strutton P.H., Goubillon M.-L., Coen C.W.",09538194,"Journal of Neuroendocrinology",11, 6,4,0,2,2,0,6
1997,"Hypoglycaemia-induced inhibition of pulsatile luteinizing hormone secretion in female rats: Role of oestradiol, endogenous opioids and the adrenal medulla","Cagampang F.R.A., Cates P.S., Sandhu S., Strutton P.H., McGarvey C., Coen C.W., O'Byrne K.T.",09538194,"Journal of Neuroendocrinology",9, 11,31,0,2,2,3,36
1996,"Sodium pentobarbitone and the suppression of luteinizing hormone pulses in the female rat: The role of hypothermia","Strutton P.H., Coen C.W.",09538194,"Journal of Neuroendocrinology",8, 12,5,0,0,0,0,5
