,"Authors: Lightstone, Elizabeth B.; Lightstone, Liz B.",,,,,,,,,,,,
,,,,,,,,,,,,,
,"h index = 11 (Of the 34 documents considered for the h-Index, 11 have been cited at least 11 times.)",,,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,2009,subtotal,>2009,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,343,45,54,24,123,0,466
2009,"Mycophenolate mofetil versus cyclophosphamide for induction treatment of lupus nephritis","Appel G.B., Solomons N., Wofsy D., Abud C., Adler S., Alarcon G., Albuquerque E., Almeida F., Alvarellos A., Avila H., Contreras G., Blume C., Boletis I., Bonnardeaux A., Braun A., Buyon J., Cervera R., Chen N., Chen S., Da Costa A.G., Davids R., Dooley M.A., D'Cruz D., De Ramon E., Deodhar A., Doria A., Dussol B., Emery P., Fiechtner J., Floege J., Fragoso-Loyo H., Furie R., Ginzler E.M., Ghazalli R., Ghossein C., Gilkeson G., Ginzler E., Gordon C., Grossman J., Gu J., Guillevin L., Hatron P.-Y., Herrera G., Isenberg D., Hiepe F., Houssiau F., Hubscher O., Hura C., Kaplan J., Kirsztajn G., Kiss E., Kutty G.A., Laville M., Lazaro M., Jayne D., Lenz O., Li L., Lightstone L., Lim S., Malaise M., Manzi S., Marcos J., Meyer O., Monge P., Naicker S., Li L.-S., Neal N., Neuwelt M., Nicholls K., Olsen N., Ordi-Ros J., Ostrov B., Pestana M., Petri M., Pokorny G., Pourrat J., Mysler E., Qian J., Radhakrishnan J., Rovin B., Roman J.S., Shanahan J., Shergy W., Skopouli F., Spindler A., Striebich C., Sundel R., Sanchez-Guerrero J., Swanepoel C., Si Y.T., Tate G., Tesar V., Tikly M., Wang H., Yahya R., Yu X., Zhang F., Zoruba D.",10466673,"Journal of the American Society of Nephrology",20, 5,0,0,0,1,1,0,1
2009,"European consensus statement on the terminology used in the management of lupus glomerulonephritis","Gordon C., Chizzolini C., Dayer J.M., Doria A., Ferrario F., Floege J., Guillevin L., Haubitz M., Hiepe F., Houssiau F., Lesavre P., Jayne D., Lightstone L., Meroni P.L., Meyer O., Moulin B., O'Reilly K., Praga M., Schulze-Koops H., Sinico R.A., Smith K.G.C., Tincani A., Pusey C., Vasconcelos C., Hughes G.R.V., Adu D., Amoura Z., Aringer M., Ballerin J., Cervera R., Calvo-Alen J.",09612033,"Lupus",18, 3,0,0,0,1,1,0,1
2008,"Chapter 16 Systemic Lupus Erythematosus: Renal Involvement","Cook H.T., Lightstone L.",15715078,"Handbook of Systemic Autoimmune Diseases",7, ,0,0,0,0,0,0,0
2008,"Natural regulatory T cells: Number and function are normal in the majority of patients with lupus nephritis","Yates J., Whittington A., Mitchell P., Lechler R.I., Lightstone L., Lombardi G.",00099104,"Clinical and Experimental Immunology",153, 1,0,0,2,2,4,0,4
