,"Author: Kumar, Sailesh",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 10 (Of the 24 documents considered for the h-Index, 10 have been cited at least 10 times.)",,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,286,97,125,222,83,591
2008,"First trimester embryo-fetoscopic and ultrasound-guided fetal blood sampling for ex vivo viral transduction of cultured human fetal mesenchymal stem cells","Chan J., Kumar S., Fisk N.M.",02681161,"Human Reproduction",23, 11,0,0,0,0,1,1
2008,"Perinatal brain injury","Kumar S., Story L., Damodaram M.",15733963,"Current Pediatric Reviews",4, 2,0,0,0,0,0,0
2008,"MR imaging methods for assessing fetal brain development","Rutherford M., Jiang S., Allsop J., Perkins L., Srinivasan L., Hayat T., Kumar S., Hajnal J.",19328451,"Developmental Neurobiology",68, 6,0,0,2,2,4,6
2008,"Universal RHD genotyping in fetuses","Kumar S.",09598146,"BMJ",336, 7648,0,0,1,1,0,1
2008,"Intracardiac injection of potassium chloride as method for feticide: Experience from a single UK tertiary centre","Pasquini L., Pontello V., Kumar S.",14700328,"BJOG: An International Journal of Obstetrics and Gynaecology",115, 4,0,0,1,1,3,4
2007,"Amniocentesis in the third trimester of pregnancy","O'Donoghue K., Giorgi L., Pontello V., Pasquini L., Kumar S.",01973851,"Prenatal Diagnosis",27, 11,0,1,1,2,0,2
2007,"PLUTO trial protocol: Percutaneous shunting for lower urinary tract obstruction randomised controlled trial","Kilby M., Kenny S., Bower S., Sturgiss S., Anumba D., Mason G., Tydeman G., Soothill P., Brackley K., Loughna P., Cameron A., Khan K., Kumar S., Bullen P., Morris K., Daniels J., Gray R., Magill L., Martin B., Thompson P., Alfirevic Z.",14700328,"BJOG: An International Journal of Obstetrics and Gynaecology",114, 7,0,1,2,3,2,5
2005,"Fetal cardiac interventions","Gardiner H.M., Kumar S.",00099201,"Clinical Obstetrics and Gynecology",48, 4,0,1,2,3,2,5
2005,"Management of pregnancies with RhD alloimmunisation","Kumar S., Regan F.",09598146,"British Medical Journal",330, 7502,1,0,2,2,7,10
2005,"Parvovirus B19 infection in pregnancy","Cohen B.J., Kumar S.",09655395,"Fetal and Maternal Medicine Review",16, 2,1,0,0,0,3,4
2005,"Human fetal mesenchymal stem cells as vehicles for gene delivery","Chan J., O'Donoghue K., De La Fuente J., Roberts I.A., Kumar S., Morgan J.E., Fisk N.M.",10665099,"Stem Cells",23, 1,12,14,15,29,7,48
2004,"Antenatal and postnatal brain magnetic resonance imaging in muscle-eye-brain disease","Longman C., Muntoni F., Mercuri E., Cowan F., Allsop J., Brockington M., Jimenez-Mallebrera C., Kumar S., Rutherford M., Toda T.",00039942,"Archives of Neurology",61, 8,4,1,0,1,2,7
2004,"Recent developments in fetal medicine","Kumar S., O'Brien A.",09598146,"British Medical Journal",328, 7446,7,1,4,5,0,12
2003,"Fetal cystoscopy in the management of fetal obstructive uropathy: Experience in a single European centre","Welsh A., Agarwal S., Kumar S., Smith R.P., Fisk N.M.",01973851,"Prenatal Diagnosis",23, 13,7,1,5,6,2,15
2003,"Distal urinary obstruction","Kumar S., Fisk N.M.",00955108,"Clinics in Perinatology",30, 3,2,0,1,1,0,3
2003,"Fetal renal impairment","Vanderheyden T., Kumar S., Fisk N.M.",10842756,"Seminars in Neonatology",8, 4,3,5,1,6,2,11
2003,"Identification of fetal mesenchymal stem cells in maternal blood: Implications for non-invasive prenatal diagnosis","O'Donoghue K., Choolani M., Chan J., de la Fuente J., Kumar S., Campagnoli C., Bennett P.R., Roberts I.A.G., Fisk N.M.",13609947,"Molecular Human Reproduction",9, 7-8,27,9,7,16,5,48
2003,"Characterization of first trimester fetal erythroblasts for non-invasive prenatal diagnosis","Choolani M., O'Donoghue K., Talbert D., Kumar S., Roberts I., Letsky E., Bennett P.R., Fisk N.M.",13609947,"Molecular Human Reproduction",9, 4,8,1,3,4,2,14
2003,"CD34+ cells from first-trimester fetal blood are enriched in primitive hemopoietic progenitors","Tocci A., Roberts I.A.G., Kumar S., Bennett P.R., Fisk N.M.",00029378,"American Journal of Obstetrics and Gynecology",188, 4,3,1,0,1,0,4
2002,"High transduction efficiency of circulating first trimester fetal mesenchymal stem cells: Potential targets for in utero ex vivo gene therapy","Campagnoli C., Bellantuono I., Kumar S., Fairbairn L.J., Roberts I., Fisk N.M.",14700328,"BJOG: An International Journal of Obstetrics and Gynaecology",109, 8,10,1,4,5,0,15
2002,"Expandability of haemopoietic progenitors in first trimester fetal and maternal blood: Implications for non-invasive prenatal diagnosis","Campagnoli C., Roberts I.A.G., Kumar S., Choolani M., Bennett P.R., Letsky E., Fisk N.M.",01973851,"Prenatal Diagnosis",22, 6,11,1,1,2,1,14
2001,"Identification of mesenchymal stem/progenitor cells in human first-trimester fetal blood, liver, and bone marrow","Campagnoli C., Roberts I.A.G., Kumar S., Bennett P.R., Bellantuono I., Fisk N.M.",00064971,"Blood",98, 8,164,59,69,128,38,330
2001,"Simultaneous fetal cell identification and diagnosis by epsilon-globin chain immunophenotyping and chromosomal fluorescence in situ hybridization","Choolani M., O'Donnell H., Campagnoli C., Kumar S., Roberts I., Bennett P.R., Fisk N.M.",00064971,"Blood",98, 3,21,0,4,4,2,27
2001,"Clonal culture of fetal cells from maternal blood [11] (multiple letters)","Campagnoli C., Niederacher D., Roberts I., Kumar S., Bennett P.R., Fisk N.M., Tutschek B., Reinhard J., Kogler G., Wernet P.",01406736,"Lancet",357, 9260,5,0,0,0,0,5
