,"Author: Haynes, Ken A.",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 15 (Of the 31 documents considered for the h-Index, 15 have been cited at least 15 times.)",,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,922,152,188,340,147,1409
2009,"Nitrosative and oxidative stress responses in fungal pathogenicity","Brown A.J., Haynes K., Quinn J.",13695274,"Current Opinion in Microbiology",12, 4,0,0,0,0,0,0
2008,"Sub-telomere directed gene expression during initiation of invasive aspergillosis","McDonagh A., Armstrong-James D., Haynes K., Haas H., Schrettl M., May G., Nierman W.C., Bignell E., Fedorova N.D., Crabtree J., Yu Y., Kim S., Chen D., Loss O., Cairns T., Goldman G.",15537366,"PLoS Pathogens",4, 9,0,0,0,0,2,2
2008,"Basal expression of the Aspergillus fumigatus transcriptional activator CpcA is sufficient to support pulmonary aspergillosis","Sasse C., Bignell E.M., Hasenberg M., Haynes K., Gunzer M., Braus G.H., Krappmann S.",10871845,"Fungal Genetics and Biology",45, 5,0,0,1,1,0,1
2007,"Distinct roles for intra- and extracellular siderophores during Aspergillus fumigatus infection","Schrettl M., Haas H., Bignell E., Kragl C., Sabiha Y., Loss O., Eisendle M., Wallner A., Arst Jr. H.N., Haynes K.",15537366,"PLoS Pathogens",3, 9,0,0,13,13,8,21
2007,"PGA4, a GAS homologue from Candida albicans, is up-regulated early in infection processes","Eckert S.E., Heinz W.J., Zakikhany K., Thewes S., Haynes K., Hube B., Muhlschlegel F.A.",10871845,"Fungal Genetics and Biology",44, 5,0,0,2,2,1,3
2007,"Dectin-1 is required for ?-glucan recognition and control of fungal infection","Taylor P.R., Gordon S., Brown G.D., Tsoni S.V., Willment J.A., Dennehy K.M., Rosas M., Findon H., Haynes K., Steele C., Botto M.",15292908,"Nature Immunology",8, 1,0,29,54,83,45,128
2006,"Different consequences of ACE2 and SWI5 gene disruptions for virulence of pathogenic and nonpathogenic yeasts","MacCallum D.M., Findon H., Kenny C.C., Butler G., Haynes K., Odds F.C.",00199567,"Infection and Immunity",74, 9,0,1,3,4,3,7
2005,"Erratum: Fungal adenylyl cyclase integrates CO2 sensing with cAMP signaling and virulence (Current Biology (2005) 15 (2021-2026))","Klengel T., Tuite M.F., Levin L.R., Buck J., Muhlschlegel F.A., Liang W.-J., Chaloupka J., Ruoff C., Schroppel K., Naglik J.R., Eckert S.E., Mogensen E.G., Haynes K.",09609822,"Current Biology",15, 23,0,0,0,0,0,0
2005,"Phenotypic identification of Candida albicans by growth on chocolate agar","Sheth C.C., Johnson E., Baker M.E., Haynes K., Muhlschlegel F.A.",13693786,"Medical Mycology",43, 8,2,0,1,1,2,5
2005,"Fungal adenylyl cyclase integrates CO2 sensing with cAMP signaling and virulence","Klengel T., Tuite M.F., Levin L.R., Buck J., Muhlschlegel F.A., Liang W.-J., Chaloupka J., Ruoff C., Schroppel K., Naglik J.R., Eckert S.E., Mogensen E.G., Haynes K.",09609822,"Current Biology",15, 22,17,14,24,38,23,78
2005,"Virulence comparisons of Aspergillus nidulans mutants are confounded by the inflammatory response of p47phox-/- mice","Bignell E., Negrete-Urtasun S., Calcagno A.M., Arst Jr. H.N., Rogers T., Haynes K.",00199567,"Infection and Immunity",73, 8,3,0,2,2,4,9
2005,"Candida glabrata Ste11 is involved in adaptation to hypertonic stress, maintenance of wild-type levels of filamentation and plays a role in virulence","Calcagno A.-M., Bignell E., Rogers T.R., Jones M.D., Muhlschlegel F.A., Haynes K.",13693786,"Medical Mycology",43, 4,0,1,1,2,1,3
2005,"Proteomic changes associated with inactivation of the Candida glabrata ACE2 virulence-moderating gene","Stead D., Haynes K., Findon H., Yin Z., Walker J., Selway L., Cash P., Dujon B.A., Hennequin C., Brown A.J.P.",16159853,"Proteomics",5, 7,3,2,2,4,0,7
2005,"The Aspergillus pH-responsive transcription factor PacC regulates virulence","Bignell E., Negrete-Urtasun S., Calcagno A.M., Haynes K., Arst Jr. H.M., Rogers T.",0950382X,"Molecular Microbiology",55, 4,8,4,7,11,3,22
2004,"Siderophore biosynthesis but not reductive iron assimilation is essential for Aspergillus fumigatus virulence","Schrettl M., Bignell E., Kragl C., Joechl C., Rogers T., Arst Jr. H.N., Haynes K., Haas H.",00221007,"Journal of Experimental Medicine",200, 9,25,21,16,37,13,75
2004,"Host-microbe interactions: Fungi","Haynes K.",13695274,"Current Opinion in Microbiology",7, 4,0,0,0,0,0,0
2004,"The Aspergillus fumigatus transcriptional activator CpcA contributes significantly to the virulence of this fungal pathogen","Krappmann S., Bignell E.M., Reichard U., Rogers T., Haynes K., Braus G.H.",0950382X,"Molecular Microbiology",52, 3,16,6,6,12,2,30
2004,"Candida glabrata Ste20 is involved in maintaining cell wall integrity and adaptation to hypertonic stress, and is required for wild-type levels of virulence","Calcagno A.-M., Bignell E., Rogers T.R., Canedo M., Muhlschleger F.A., Haynes K.",0749503X,"Yeast",21, 7,3,1,0,1,1,5
2004,"Inactivation of transcription factor gene ACE2 in the fungal pathogen Candida glabrata results in hypervirulence","Kamran M., Rogers T., Muhlschlegel F.A., Haynes K., Calcagno A.-M., Findon H., Bignell E., Jones M.D., Warn P., Hopkins P., Denning D.W., Butler G.",15359778,"Eukaryotic Cell",3, 2,11,5,2,7,2,20
2003,"Candida glabrata STE12 is required for wild-type levels of virulence and nitrogen starvation induced filamentation","Calcagno A.-M., Bignell E., Warn P., Jones M.D., Denning D.W., Muhlschlegel F.A., Rogers T.R., Haynes K.",0950382X,"Molecular Microbiology",50, 4,12,3,2,5,1,18
2001,"Virulence in Candida species","Haynes K.",0966842X,"Trends in Microbiology",9, 12,47,6,8,14,4,65
2001,"A GAS-like gene family in the pathogenic fungus Candida glabrata","Weig M., Haynes K., Rogers T.R., Kurzai O., Frosch M., Muhlschlegel F.A.",13500872,"Microbiology",147, 8,18,2,4,6,1,25
2000,"Candida glabrata displays pseudohyphal growth","Csank C., Haynes K.",03781097,"FEMS Microbiology Letters",189, 1,20,5,5,10,2,32
2000,"Candida glabrata shuttle vectors suitable for translational fusions to lacZ and use of ?-galactosidase as a reporter of gene expression","El Barkani A., Haynes K., Mosch H.-U., Frosch M., Muhlschlegel F.A.",03781119,"Gene",246, 1-2,5,1,0,1,1,7
1998,"Importance of Candida species other than Candida albicans as opportunistic pathogens","Coleman D.C., Rinaldi M.G., Haynes K.A., Rex J.H., Summerbell R.C., Anaissie E.J., Li A., Sullivan D.J.",02681218,"Journal of Medical and Veterinary Mycology",3, ,0,0,0,0,0,0
1998,"Candida dubliniensis: Phylogeny and putative virulence factors","Gilfillan G.D., Sullivan D.J., Haynes K., Parkinson T., Coleman D.C., Gow N.A.R.",13500872,"Microbiology",144, 4,85,11,7,18,8,111
