,"This is a citation overview for a set of 5 documents.",,,,,,,,,,,,
,,,,,,,,,,,,,
,"h index = 3 (Of the 5 documents considered for the h-Index, 3 have been cited at least 3 times.)",,,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,<2010,2010,2011,2012,subtotal,>2012,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,11,2,1,0,3,0,14
2004,"Disability now","Muir E.H., McMullan J., Sears C.",09601643,"British Journal of General Practice",54, 500,0,0,0,0,0,0,0
2002,"Modelling the lay expert for first-year medical students: The actor-patient as teacher","Nestel D., Muir E., Plant M., Kidd J., Thurlow S.",0142159X,"Medical Teacher",24, 5,5,0,0,0,0,0,5
2001,"A symptom survey as 'evidence-based learning'","Plant M., Muir E., Thurlow S.",03080110,"Medical Education",35, 11,0,0,0,0,0,0,0
2001,"Making teamwork come alive: Use of actors and multiprofessional co-leaders in small group teaching about teamwork","Thurlow S., Plant M., Muir E.",03080110,"Medical Education",35, 11,3,1,0,0,1,0,4
2001,"Consultations involving people with congenital disabilities: Factors that help or hinder giving care","Muir E.H., Ogden J.",02632136,"Family Practice",18, 4,3,1,1,0,2,0,5
