,"Author: Chaudhri, Owais B.",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 7 (Of the 17 documents considered for the h-Index, 7 have been cited at least 7 times.)",,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,27,54,81,135,63,225
2009,"The effect of dietary glycemic index on weight maintenance in overweight subjects: A pilot study","Philippou E., Neary N.M., Chaudhri O., Brynes A.E., Dornhorst A., Leeds A.R., Hickson M., Frost G.S.",19307381,"Obesity",17, 2,0,0,0,0,1,1
2009,"Imaging appetite-regulating pathways in the central nervous system using Manganese-enhanced magnetic resonance imaging","Parkinson J.R.C., Chaudhri O.B., Bell J.D.",00283835,"Neuroendocrinology",89, 2,0,0,0,0,0,0
2009,"Differential patterns of neuronal activation in the brainstem and hypothalamus following peripheral injection of GLP-1, oxyntomodulin and lithium chloride in mice detected by manganese-enhanced magnetic resonance imaging (MEMRI)","Parkinson J.R.C., Chaudhri O.B., Kuo Y.-T., Field B.C.T., Herlihy A.H., Dhillo W.S., Ghatei M.A., Bloom S.R., Bell J.D.",10538119,"NeuroImage",44, 3,0,0,0,0,1,1
2008,"Gastrointestinal satiety signals","Chaudhri O.B., Field B.C.T., Bloom S.R.",03070565,"International Journal of Obesity",32, 7,0,0,0,0,0,0
2008,"A case of severe hyponatraemia.","Wynne K., Chaudhri O., Gorrigan R., Tan T., Meeran K.",14685833,"BMJ (Clinical research ed.)",337, ,0,0,0,0,0,0
2008,"Gastrointestinal satiety signals","Chaudhri O.B., Salem V., Murphy K.G., Bloom S.R.",00664278,"Annual Review of Physiology",70, ,0,0,4,4,7,11
2008,"PYY3-36 injection in mice produces an acute anorexigenic effect followed by a delayed orexigenic effect not observed with other anorexigenic gut hormones","Parkinson J.R.C., Dhillo W.S., Small C.J., Chaudhri O.B., Bewick G.A., Pritchard I., Moore S., Ghatei M.A., Bloom S.R.",01931849,"American Journal of Physiology - Endocrinology and Metabolism",294, 4,0,0,1,1,1,2
2008,"Can gut hormones control appetite and prevent obesity?","Chaudhri O.B., Wynne K., Bloom S.R.",19355548,"Diabetes care",31, ,0,0,3,3,1,4
2007,"The temporal sequence of gut peptide-CNS interactions tracked in vivo by magnetic resonance imaging","Kuo Y.-T., Parkinson J.R.C., Chaudhri O.B., Herlihy A.H., So P.-W., Dhillo W.S., Small C.J., Bloom S.R., Bell J.D.",02706474,"Journal of Neuroscience",27, 45,0,1,2,3,4,7
2007,"Kisspeptin-54 stimulates gonadotropin release most potently during the preovulatory phase of the menstrual cycle in women","Dhillo W.S., Donaldson M., Ghatei M.A., Bloom S.R., Chaudhri O.B., Thompson E.L., Murphy K.G., Patterson M., Ramachandran R., Nijher G.K., Amber V., Kokkinos A.",0021972X,"Journal of Clinical Endocrinology and Metabolism",92, 10,0,0,5,5,14,19
2006,"Gastrointestinal hormones regulating appetite","Chaudhri O., Small C., Bloom S.",09628436,"Philosophical Transactions of the Royal Society B: Biological Sciences",361, 1471,1,11,14,25,4,30
2006,"Plasma kisspeptin is raised in patients with gestational trophoblastic neoplasia and falls during treatment","Dhillo W.S., Seckl M.J., Ghatei M.A., Bloom S.R., Savage P., Murphy K.G., Chaudhri O.B., Patterson M., Nijher G.M., Foggo V.M., Dancey G.S., Mitchell H.",01931849,"American Journal of Physiology - Endocrinology and Metabolism",291, 5,0,5,5,10,4,14
2006,"Differential hypothalamic neuronal activation following peripheral injection of GLP-1 and oxyntomodulin in mice detected by manganese-enhanced magnetic resonance imaging","Chaudhri O.B., Bloom S.R., Parkinson J.R.C., Kuo Y.-T., Druce M.R., Herlihy A.H., Bell J.D., Dhillo W.S., Stanley S.A., Ghatei M.A.",0006291X,"Biochemical and Biophysical Research Communications",350, 2,0,6,11,17,6,23
2006,"Editorial: From gut to mind - Hormonal satiety signals and anorexia nervosa","Chaudhri O.B., Field B.C.T., Bloom S.R.",0021972X,"Journal of Clinical Endocrinology and Metabolism",91, 3,0,1,1,2,1,3
2005,"Kisspeptin-54 stimulates the hypothalamic-pituitary gonadal axis in human males","Dhillo W.S., Ghatei M.A., Bloom S.R., Chaudhri O.B., Patterson M., Thompson E.L., Murphy K.G., Badman M.K., McGowan B.M., Amber V., Patel S.",0021972X,"Journal of Clinical Endocrinology and Metabolism",90, 12,24,29,34,63,19,106
2005,"The gastrointestinal tract and the regulation of appetite","Chaudhri O.B., Small C.J., Bloom S.R.",17406765,"Drug Discovery Today: Disease Mechanisms",2, 3,0,0,1,1,0,1
2005,"Gut feeling - The secret of satiety?","Bloom S., Wynne K., Chaudhri O.",14702118,"Clinical Medicine, Journal of the Royal College of Physicians of London",5, 2,2,1,0,1,0,3
