,"Author: Macleod, Ken T.",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 13 (Of the 40 documents considered for the h-Index, 13 have been cited at least 13 times.)",,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,982,74,75,149,41,1172
2009,"Cardiac action potential duration and calcium regulation in males and females","Mason S.A., MacLeod K.T.",0006291X,"Biochemical and Biophysical Research Communications",388, 3,0,0,0,0,0,0
2009,"Myocardial stunning is associated with impaired calcium uptake by sarcoplasmic reticulum","Kumar S., Hall R.J.C., Mani A.R., Moore K.P., Camici P.G., Rimoldi O.E., Williams A.J., Macleod K.T.",0006291X,"Biochemical and Biophysical Research Communications",387, 1,0,0,0,0,0,0
2009,"Loss of T-tubules and other changes to surface topography in ventricular myocytes from failing human and rat heart","Lyon A.R., MacLeod K.T., Zhang Y., Garcia E., Kanda G.K., Lab M.J., Korchev Y.E., Harding S.E., Gorelik J.",00278424,"Proceedings of the National Academy of Sciences of the United States of America",106, 16,0,0,0,0,0,0
2008,"Genomic deletion of estrogen receptors ER? and ER? does not alter estrogen-mediated inhibition of Ca2+ influx and contraction in murine cardiomyocytes","Ullrich N.D., Krust A., Collins P., MacLeod K.T.",03636135,"American Journal of Physiology - Heart and Circulatory Physiology",294, 6,0,0,0,0,2,2
2007,"Oestrogen directly inhibits the cardiovascular L-type Ca2+ channel Cav1.2","Ullrich N.D., Koschak A., MacLeod K.T.",0006291X,"Biochemical and Biophysical Research Communications",361, 2,0,0,2,2,4,6
2006,"Overexpression of connexin 43 using a retroviral vector improves electrical coupling of skeletal myoblasts with cardiac myocytes in vitro","Tolmachov O., Peters N.S., Ma Y.-L., Themis M., Patel P., Spohr H., MacLeod K.T., Ullrich N.D., Kienast Y., Coutelle C.",14712261,"BMC Cardiovascular Disorders",6, ,1,2,1,3,0,4
2006,"Diastolic dysfunction and abnormality of the Na+/Ca2+ exchanger in single uremic cardiac myocytes","McMahon A.C., Naqvi R.U., Hurst M.J., Raine A.E.G., MacLeod K.T.",00852538,"Kidney International",69, 5,0,1,0,1,0,1
2005,"The red wine polyphenol, resveratrol, exerts acute direct actions on guinea-pig ventricular myocytes","Liew R., Stagg M.A., MacLeod K.T., Collins P.",00142999,"European Journal of Pharmacology",519, 1-2,3,5,2,7,2,12
2004,"The effects of overexpression of the Na+/Ca2+ exchanger on calcium regulation in hypertrophied mouse cardiac myocytes","Stagg M.A., Malik A.H., MacLeod K.T., Terracciano C.M.N.",01434160,"Cell Calcium",36, 2,2,2,0,2,1,5
2004,"Raloxifene acutely suppresses ventricular myocyte contractility through inhibition of the L-type calcium current","Liew R., Stagg M.A., MacLeod K.T., Coffins P.",00071188,"British Journal of Pharmacology",142, 1,4,2,2,4,1,9
2004,"Acute actions of 3?-hydroxy-tibolone on factors influencing contraction in guinea-pig ventricular myocytes","Liew R., Stagg M.A., MacLeod K.T., Collins P.",00142999,"European Journal of Pharmacology",484, 2-3,1,1,0,1,0,2
2004,"Gender determines the acute actions of genistein on intracellular calcium regulation in the guinea-pig heart","Liew R., Stagg M.A., Chan J., Collins P., MacLeod K.T.",00086363,"Cardiovascular Research",61, 1,2,2,1,3,1,6
2003,"Novel stimulatory actions of the phytoestrogen genistein: effects on the gain of cardiac excitation-contraction coupling.","Liew R., Macleod K.T., Collins P.",15306860,"The FASEB journal : official publication of the Federation of American Societies for Experimental Biology",17, 10,9,0,3,3,1,13
2003,"The voltage-sensitive release mechanism of excitation contraction coupling in rabbit cardiac muscle is explained by calcium-induced calcium release","Griffiths H., MacLeod K.T.",00221295,"Journal of General Physiology",121, 5,6,1,0,1,1,8
2003,"Soy-derived isoflavones exert opposing actions on guinea pig ventricular myocytes","Liew R., Williams J.K., Collins P., Macleod K.T.",00223565,"Journal of Pharmacology and Experimental Therapeutics",304, 3,9,3,3,6,0,15
2002,"Effects of Na+/Ca2+-exchanger overexpression on excitation-contraction coupling in adult rabbit ventricular myocytes","Ranu H.K., Harding S.E., Terracciano C.M.N., Davia K., Bernobich E., Chaudhri B., Robinson S.E., Kang Z.B., Hajjar R.J., MacLeod K.T.",00222828,"Journal of Molecular and Cellular Cardiology",34, 4,19,3,4,7,2,28
2002,"Pumps and leaks in the heart","MacLeod K.T.",00223751,"Journal of Physiology",539, 1,0,0,0,0,0,0
2001,"SERCA2a overexpression decreases the incidence of aftercontractions in adult rabbit ventricular myocytes","Davia K., Harding S.E., Bernobich E., Ranu H.K., Del Monte F., Terracciano C.M.N., MacLeod K.T., Adamson D.L., Chaudhri B., Hajjar R.J.",00222828,"Journal of Molecular and Cellular Cardiology",33, 5,23,3,5,8,3,34
2001,"Low-dose ramipril treatment improves relaxation and calcium cycling after established cardiac hypertrophy","Boateng S.Y., Naqvi R.U., Koban M.U., Yacoub M.H., MacLeod K.T., Boheler K.R.",03636135,"American Journal of Physiology - Heart and Circulatory Physiology",280, 3,8,2,0,2,0,10
2001,"Reduced ryanodine receptor to dihydropyridine receptor ratio may underlie slowed contraction in a rabbit model of left ventricular cardiac hypertrophy","Milnes J.T., MacLeod K.T.",00222828,"Journal of Molecular and Cellular Cardiology",33, 3,10,1,0,1,2,13
2001,"Overexpression of the Na/Ca exchanger and reduced SERCa function [3]","Terracciano C.M.N., MacLeod K.T.",00086363,"Cardiovascular Research",50, 1,4,0,0,0,0,4
2001,"Evidence for the action potential mediating the changes to contraction observed in cardiac hypertrophy in the rabbit","Naqvi R.U., Tweedie D., MacLeod K.T.",01675273,"International Journal of Cardiology",77, 2-3,5,0,1,1,0,6
2001,"Overexpression of the Na+/Ca2+ exchanger and inhibition of the sarcoplasmic reticulum Ca2+-ATPase in ventricular myocytes from transgenic mice","Terracciano C.M.N., Philipson K.D., MacLeod K.T.",00086363,"Cardiovascular Research",49, 1,26,5,3,8,1,35
2000,"The role of L-type calcium current in the generation of repolarization- induced contraction in cardiac myocytes","Egdell R.M., Milnes J.T., MacLeod K.T.",00086363,"Cardiovascular Research",48, 1,1,0,1,1,0,2
2000,"Sarcoplasmic reticulum Ca content, sarcolemmal Ca influx and the genesis of arrhythmias in isolated guinea-pig cardiomyocytes","Tweedie D., Harding S.E., MacLeod K.T.",00222828,"Journal of Molecular and Cellular Cardiology",32, 2,14,0,7,7,1,22
2000,"Relative importance of SR load and cytoplasmic calcium concentration in the genesis of aftercontractions in cardiac myocytes","Egdell R.M., De Souza A.I., MacLeod K.T.",00086363,"Cardiovascular Research",47, 4,3,1,2,3,1,7
