,"This is a citation overview for a set of 58 documents.",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 21 (Of the 58 documents considered for the h-Index, 21 have been cited at least 21 times.)",,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,719,247,295,542,167,1428
2009,"Negligible Contribution of Bone Marrow-Derived Cells to Collagen Production During Hepatic Fibrogenesis in Mice","Higashiyama R., Okazaki I., Inagaki Y., Moro T., Nakao S., Mikami K., Fukumitsu H., Ueda Y., Ikeda K., Adachi E., Bou-Gharios G.",00165085,"Gastroenterology",, ,0,0,0,0,0,0
2009,"Pivotal role of connective tissue growth factor in lung fibrosis: MAPK-dependent transcriptional activation of type I collagen","Ponticos M., Denton C.P., Abraham D.J., Leask A., Lindahl G.E., Holmes A.M., Shi-wen X., Leoni P., Khan K., Rajkumar V.S., Hoyles R.K., Bou-Gharios G., Black C.M.",00043591,"Arthritis and Rheumatism",60, 7,0,0,0,0,0,0
2008,"Intrauterine transplantation of human fetal mesenchymal stem cells from first-trimester blood repairs bone and reduces fractures in osteogenesis imperfecta mice","Guillot P.V., Fisk N.M., Abass O., Bassett J.H.D., Shefelbine S.J., Bou-Gharios G., Chan J., Kurata H., Williams G.R., Polak J.",00064971,"Blood",111, 3,0,0,8,8,8,16
2007,"Endothelin is a downstream mediator of profibrotic responses to transforming growth factor ? in human lung fibroblasts","Shi-wen X., Kennedy L., Renzoni E.A., Bou-Gharios G., Du Bois R.M., Black C.M., Denton C.P., Abraham D.J., Leask A.",00043591,"Arthritis and Rheumatism",56, 12,0,0,8,8,9,17
2007,"Endogenous endothelin-1 signaling contributes to type I collagen and CCN2 overexpression in fibrotic fibroblasts","Shi-Wen X., Black C.M., Denton C.P., Abraham D.J., Leask A., Renzoni E.A., Kennedy L., Howat S., Chen Y., Pearson J.D., Bou-Gharios G., Dashwood M.R., du Bois R.M.",0945053X,"Matrix Biology",26, 8,0,0,9,9,3,12
2007,"Implication of the satellite cell in dystrophic muscle fibrosis: A self-perpetuating mechanism of collagen overproduction","Alexakis C., Partridge T., Bou-Gharios G.",03636143,"American Journal of Physiology - Cell Physiology",293, 2,0,2,8,10,3,13
2006,"Platelet-derived growth factor-? receptor activation is essential for fibroblast and pericyte recruitment during cutaneous wound healing","Rajkumar V.S., Black C.M., Abraham D.J., Shiwen X., Bostrom M., Leoni P., Muddle J., Ivarsson M., Gerdin B., Denton C.P., Bou-Gharios G.",00029440,"American Journal of Pathology",169, 6,0,3,4,7,8,15
2006,"Transcriptional regulation of the human ?2(I) collagen gene (COL1A2), an informative model system to study fibrotic diseases","Ramirez F., Tanaka S., Bou-Gharios G.",0945053X,"Matrix Biology",25, 6,0,4,3,7,5,12
2006,"The Bone Marrow Functionally Contributes to Liver Fibrosis","Russo F.P., Forbes S.J., Alison M.R., Bigger B.W., Amofah E., Florou A., Amin F., Bou-Gharios G., Jeffery R., Iredale J.P.",00165085,"Gastroenterology",130, 6,3,39,51,90,14,107
2006,"Hammerhead ribozyme-mediated silencing of the mutant fibrillin-1 of tight skin mouse: Insight into the functional role of mutant fibrillin-1","Menon R.P., Menon M.R., Shi-Wen X., Renzoni E., Bou-Gharios G., Black C.M., Abraham D.J.",00144827,"Experimental Cell Research",312, 9,0,2,0,2,1,3
2006,"CCN2 is necessary for adhesive responses to transforming growth factor-?1 in embryonic fibroblasts","Xu S.-W., Stratton R.J., Pearson J.D., Beier F., Lyons K.M., Black C.M., Abraham D.J., Leask A., Stanton L.A., Kennedy L., Pala D., Chen Y., Howat S.L., Renzoni E.A., Carter D.E., Bou-Gharios G.",00219258,"Journal of Biological Chemistry",281, 16,0,5,13,18,7,25
2006,"Bone marrow-derived cells do not contribute significantly to collagen I synthesis in a murine model of renal fibrosis","Roufosse C., Cook H.T., Bou-Gharios G., Prodromidi E., Alexakis C., Jeffery R., Khan S., Otto W.R., Alter J., Poulsom R.",10466673,"Journal of the American Society of Nephrology",17, 3,6,5,9,14,4,24
2006,"Organ-specific collagen expression: Implications for renal disease","Alexakis C., Maxwell P., Bou-Gharios G.",16602129,"Nephron - Experimental Nephrology",102, 3-4,1,2,2,4,2,7
2005,"Matrix contraction by dermal fibroblasts requires transforming growth factor-?/activin-linked kinase 5, heparan sulfate-containing proteoglycans, and MEK/ERK: Insights into pathological scarring in chronic fibrotic disease","Chen Y., Eastwood M., Black C.M., Abraham D.J., Leask A., Xu S.-W., Van Beek J., Kennedy L., McLeod M., Renzoni E.A., Bou-Gharios G., Wilcox-Adelman S., Goetinck P.F.",00029440,"American Journal of Pathology",167, 6,4,9,10,19,7,30
