,"Authors: Fisher, Matthew C.; Fisher, M. C.",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 17 (Of the 41 documents considered for the h-Index, 17 have been cited at least 17 times.)",,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,748,213,178,391,133,1272
2009,"Non-invasive sampling methods for the detection of Batrachochytrium dendrobatidis in archived amphibians","Soto-Azat C., Clarke B.T., Fisher M.C., Walker S.F., Cunningham A.A.",01775103,"Diseases of Aquatic Organisms",84, 2,0,0,0,0,0,0
2009,"The Amphibian Trade: Bans or Best Practice?","Garner T.W.J., Stephen I., Wombwell E., Fisher M.C.",16129202,"EcoHealth",, ,0,0,0,0,0,0
2009,"Rapid global expansion of the fungal disease chytridiomycosis into declining and healthy amphibian populations","James T.Y., Longcore J.E., Litvintseva A.P., Vilgalys R., Morgan J.A.T., Taylor J.W., Fisher M.C., Berger L., Weldon C., Du Preez L.",15537366,"PLoS Pathogens",5, 5,0,0,0,0,0,0
2009,"Life history tradeoffs influence mortality associated with the amphibian pathogen Batrachochytrium dendrobatidis","Garner T.W.J., Walker S., Bosch J., Leech S., Rowcliffe J.M., Cunningham A.A., Fisher M.C.",00301299,"Oikos",118, 5,0,0,0,0,0,0
2009,"Proteomic and phenotypic profiling of the amphibian pathogen Batrachochytrium dendrobatidis shows that genotype is linked to virulence","Fisher M.C., Stajich J.E., Garner T.W.J., Bosch J., Yin Z., Stead D.A., Walker J., Selway L., Brown A.J.P., Walker L.A., Gow N.A.R.",09621083,"Molecular Ecology",18, 3,0,0,0,0,1,1
2008,"Molecular toolkit unlocks life cycle of the panzootic amphibian pathogen Batrachochytrium dendrobatidis","Fisher M.C.",00278424,"Proceedings of the National Academy of Sciences of the United States of America",105, 45,0,0,0,0,0,0
2008,"Invasive pathogens threaten species recovery programs","Walker S.F., Hole S., Griffiths R., Fisher M.C., Bosch J., James T.Y., Litvintseva A.P., Oliver Valls J.A., Pina S., Garcia G., Rosa G.A., Cunningham A.A.",09609822,"Current Biology",18, 18,0,0,1,1,4,5
2008,"Persistence of the emerging pathogen Batrachochytrium dendrobatidis outside the amphibian host greatly increases the probability of host extinction","Mitchell K.M., Churcher T.S., Garner T.W.J., Fisher M.C.",09628436,"Proceedings of the Royal Society B: Biological Sciences",275, 1632,0,0,1,1,3,4
2008,"Environmental detection of Penicillium marneffei and growth in soil microcosms in competition with Talaromyces stipitatus","Pryce-Miller E., Aanensen D., Vanittanakom N., Fisher M.C.",17545048,"Fungal Ecology",1, 1,0,0,0,0,0,0
2008,"Isolation and identification of the human pathogen Pythium insidiosum from environmental samples collected in Thai agricultural areas","Supabandhu J., Fisher M.C., Mendoza L., Vanittanakom N.",13693786,"Medical Mycology",46, 1,0,0,0,0,3,3
2007,"An optical fiber Bragg grating tactile sensor","Cowie B., Allsop T., Williams J., Webb D., Bennion I., Fisher M.",0277786X,"Proceedings of SPIE - The International Society for Optical Engineering",6585, ,0,0,0,0,0,0
2007,"Potential interactions between amphibian immunity, infectious disease and climate change","Fisher M.C.",13679430,"Animal Conservation",10, 4,0,1,0,1,0,1
2007,"Polymorphic microsatellite markers for the human oomycete pathogen Pythium insidiosum","Supabandhu J., Fisher M.C., Vanittanakom N.",14718278,"Molecular Ecology Notes",7, 6,0,0,0,0,0,0
2007,"Environmental detection of Batrachochytrium dendrobatidis in a temperate climate","Walker S.F., Salas M.B., Jenkins D., Garner T.W.J., Cunningham A.A., Hyatt A.D., Bosch J., Fisher M.C.",01775103,"Diseases of Aquatic Organisms",77, 2,0,0,4,4,3,7
2007,"Taxonomic and diagnostic markers for identification of Coccidiodes immitis and Coccidiodes posadasii","Tintelnot K., De Hoog G.S., Antweiler E., Losert H., Seibold M., Brandt M.A., van den Ende A.H.G.G., Fisher M.C.",13693786,"Medical Mycology",45, 5,0,0,3,3,2,5
2007,"The relationship between the emergence of Batrachochytrium dendrobatidis, the international trade in amphibians and introduced amphibian species","Fisher M.C., Garner T.W.J.",17494613,"Fungal Biology Reviews",21, 1,0,0,6,6,6,12
