,"Author: Dexter, David T.",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 14 (Of the 33 documents considered for the h-Index, 14 have been cited at least 14 times.)",,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,2965,327,289,616,236,3817
2009,"Relationship between microglial activation and dopaminergic neuronal loss in the substantia nigra: A time course study in a 6-hydroxydopamine model of Parkinson's disease","Marinova-Mutafchieva L., Sadeghian M., Broom L., Davis J.B., Medhurst A.D., Dexter D.T.",00223042,"Journal of Neurochemistry",110, 3,0,0,0,0,0,0
2008,"Neurochemical pathways involved in the protective effects of nicotine and ethanol in preventing the development of Parkinson's disease: Potential targets for the development of new therapeutic agents","Ward R.J., Lallemand F., de Witte P., Dexter D.T.",03010082,"Progress in Neurobiology",85, 2,0,0,1,1,1,2
2008,"Management of a twenty-first century brain bank: Experience in the BrainNet Europe consortium","Bell J.E., Gelpi E., Gentleman S.M., Giaccone G., Huitinga I., Ironside J.W., Klioueva N., Kovacs G.G., Meyronet D., Palkovits M., Parchi P., Alafuzoff I., Patsouris E., Reynolds R., Riederer P., Roggendorf W., Seilhean D., Schmitt A., Schmitz P., Streichenberger N., Schwalber A., Kretzschmar H., Al-Sarraj S., Arzberger T., Bogdanovic N., Budka H., Dexter D.T., Falkai P., Ferrer I.",00016322,"Acta Neuropathologica",115, 5,0,0,2,2,2,4
2008,"Metal based neurodegenerative diseases-From molecular mechanisms to therapeutic strategies","Crichton R.R., Dexter D.T., Ward R.J.",00108545,"Coordination Chemistry Reviews",252, 10-11,0,0,3,3,9,12
2008,"Additive neuroprotection by metabotropic glutamate receptor subtype-selective ligands in a rat Parkinson's model","Vernon A.C., Croucher M.J., Dexter D.T.",09594965,"NeuroReport",19, 4,0,0,0,0,0,0
2007,"Subtype selective antagonism of substantia nigra pars compacta Group I metabotropic glutamate receptors protects the nigrostriatal system against 6-hydroxydopamine toxicity in vivo","Vernon A.C., Zbarsky V., Datla K.P., Croucher M.J., Dexter D.T.",00223042,"Journal of Neurochemistry",103, 3,0,0,2,2,1,3
2007,"Short-term supplementation with plant extracts rich in flavonoids protect nigrostriatal dopaminergic neurons in a rat model of Parkinson's disease","Datla K.P., Zbarsky V., Rai D., Parkar S., Osakabe N., Aruoma O.I., Dexter D.T.",07315724,"Journal of the American College of Nutrition",26, 4,0,0,5,5,1,6
2007,"Analysis of alpha-synuclein, dopamine and parkin pathways in neuropathologically confirmed parkinsonian nigra","Moran L.B., Croisier E., Duke D.C., Kalaitzakis M.E., Roncaroli F., Deprez M., Dexter D.T., Pearce R.K.B., Graeber M.B.",00016322,"Acta Neuropathologica",113, 3,0,1,2,3,4,7
2007,"Striatal susceptibility to a dopaminergic neurotoxin is independent of sex hormone effects on cell survival and DAT expression but is exacerbated by central aromatase inhibition","McArthur S., Murray H.E., Dhankot A., Dexter D.T., Gillies G.E.",00223042,"Journal of Neurochemistry",100, 3,0,1,5,6,3,9
2007,"Selective activation of group III metabotropic glutamate receptors by L-(+)-2-amino-4-phosphonobutryic acid protects the nigrostriatal system against 6-hydroxydopamine toxicity in vivo","Vernon A.C., Zbarsky V., Datla K.P., Dexter D.T., Croucher M.J.",00223565,"Journal of Pharmacology and Experimental Therapeutics",320, 1,0,1,1,2,2,4
2006,"Neuroprotection by taurine and taurine analogues","Ward R., Cirkovic-Vellichovia T., Ledeque F., Tirizitis G., Dubars G., Datla K., Dexter D., Heushling P., Crichton R.",00652598,"Advances in Experimental Medicine and Biology",583, ,0,0,1,1,1,2
2006,"Assessment of the polyphenolic composition of the organic extracts of Mauritian black teas: A potential contributor to their antioxidant functions","Luximon-Ramma A., Neergheen V.S., Bahorun T., Crozier A., Zbarsky V., Datla K.P., Dexter D.T., Aruoma O.I.",09516433,"BioFactors",27, 1-4,0,0,1,1,0,1
2006,"Transcriptome analysis reveals link between proteasomal and mitochondrial pathways in Parkinson's disease","Duke D.C., Moran L.B., Kalaitzakis M.E., Deprez M., Dexter D.T., Pearce R.K.B., Graeber M.B.",13646745,"Neurogenetics",7, 3,1,9,6,15,5,21
2006,"Comparative study of commercially available anti-?-synuclein antibodies","Croisier E., MRes D.E., Deprez M., Goldring K., Dexter D.T., Pearce R.K.B., Graeber M.B., Roncaroli F.",03051846,"Neuropathology and Applied Neurobiology",32, 3,2,4,4,8,4,14
2006,"Effects of anaesthetics on the loss of nigrostriatal dopaminergic neurons by 6-hydroxydopamine in rats","Datla K.P., Zbarsky V., Dexter D.T.",03009564,"Journal of Neural Transmission",113, 5,0,1,0,1,1,2
2006,"Erratum: Microglial inflammation in the parkinsonian substantia nigra: Relationship to alpha-synuclein deposition (Journal of Neuroinflammation)","Croisier E., Moran L.B., Dexter D.T., Pearce R.K.B., Graeber M.B.",17422094,"Journal of Neuroinflammation",3, ,0,0,0,0,0,0
2006,"Whole genome expression profiling of the medial and lateral substantia nigra in Parkinson's disease","Moran L.B., Duke D.C., Deprez M., Dexter D.T., Pearce R.K.B., Graeber M.B.",13646745,"Neurogenetics",7, 1,3,9,4,13,7,23
2005,"Neuroprotective effects of metabotropic glutamate receptor ligands in a 6-hydroxydopamine rodent model of Parkinson's disease","Vernon A.C., Palmer S., Datla K.P., Zbarsky V., Croucher M.J., Dexter D.T.",0953816X,"European Journal of Neuroscience",22, 7,3,10,2,12,2,17
2005,"Neuroprotective properties of the natural phenolic antioxidants curcumin and naringenin but not quercetin and fisetin in a 6-OHDA model of Parkinson's disease","Zbarsky V., Datla K.P., Parkar S., Rai D.K., Aruoma O.I., Dexter D.T.",10715762,"Free Radical Research",39, 10,5,11,17,28,5,38
2005,"Microglial inflammation in the parkinsonian substantia nigra: Relationship to alpha-synuclein deposition","Croisier E., Moran L.B., Dexter D.T., Pearce R.K.B., Graeber M.B.",17422094,"Journal of Neuroinflammation",2, ,5,9,10,19,10,34
2005,"Characterization of the antioxidant functions of flavonoids and proanthocyanidins in Mauritian black teas","Luximon-Ramma A., Bahorun T., Crozier A., Zbarsky V., Datla K.P., Dexter D.T., Aruoma O.I.",09639969,"Food Research International",38, 4,4,2,5,7,6,17
