,"Author: Bentley, Paul A.",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 19 (Of the 53 documents considered for the h-Index, 19 have been cited at least 19 times.)",,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,632,115,140,255,56,943
2008,"Cultural diversity training for UK healthcare professionals: A comprehensive nationwide cross-sectional survey","Bentley P., Jovanovic A., Sharma P.",14702118,"Clinical Medicine, Journal of the Royal College of Physicians of London",8, 5,0,0,0,0,0,0
2008,"Thiourea catalysis of NCS in the synthesis of ?-chloroketones","Mei Y., Bentley P.A., Du J.",00404039,"Tetrahedron Letters",49, 23,0,0,0,0,2,2
2008,"Thiourea catalysis of NCS in the synthesis of ?-chloroethers","Bentley P.A., Mei Y., Du J.",00404039,"Tetrahedron Letters",49, 16,0,0,1,1,2,3
2008,"Thiourea catalysis of NCS in the synthesis of chlorohydrins","Bentley P.A., Mei Y., Du J.",00404039,"Tetrahedron Letters",49, 8,0,0,2,2,2,4
2008,"Cholinesterase inhibition modulates visual and attentional brain responses in Alzheimer's disease and health","Bentley P., Driver J., Dolan R.J.",00068950,"Brain",131, 2,0,0,6,6,5,11
2007,"Vasculitic presentation of staphylococcal meningitis","Bentley P., Qadri F., Wild E.J., Hirsch N.P., Howard R.S.",00039942,"Archives of Neurology",64, 12,0,0,0,0,0,0
2007,"Highly purified CD38+ and CD38- sub-clones derived from the same chronic lymphocytic leukemia patient have distinct gene expression signatures despite their monoclonal origin","Pepper C., Pratt G., Fegan C., Ward R., Lin T.T., Brennan P., Starczynski J., Musson M., Rowntree C., Bentley P., Mills K.",08876924,"Leukemia",21, 4,0,4,7,11,2,13
2007,"The Ancient Mariner, superstition, and the Lyrical Ballads","Bentley P.",00138215,"English",56, 214,0,0,0,0,0,0
2006,"A ratiometric fluorescent sensor for Zn2+ based on internal charge transfer (ICT)","Mei Y., Bentley P.A.",0960894X,"Bioorganic and Medicinal Chemistry Letters",16, 12,0,4,7,11,3,14
2006,"A selective and sensitive chemosensor for Cu2+ based on 8-hydroxyquinoline","Mei Y., Bentley P.A., Wang W.",00404039,"Tetrahedron Letters",47, 14,3,12,12,24,6,33
