,"This is a citation overview for a set of 23 documents.",,,,,,,,,,,,
,,,,,,,,,,,,,
,"h index = 13 (Of the 23 documents considered for the h-Index, 13 have been cited at least 13 times.)",,,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,2009,subtotal,>2009,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,209,91,139,72,302,0,511
2008,"A functional interaction between RIP140 and PGC-1? regulates the expression of the lipid droplet protein CIDEA","Hallberg M., Morganstein D.L., Kiskinis E., Shah K., Kralli A., Dilworth S.M., White R., Parker M.G., Christian M.",02707306,"Molecular and Cellular Biology",28, 22,0,0,0,7,7,0,7
2008,"Coactivator function of RIP140 for nf{kappa}b/rela-dependent cytokine gene expression","Zschiedrich I., Yu X., Gretz N., Christian M., White R., Parker M.G., Herzig S., Hardeland U., Krones-Herzig A., Diaz M.B., Vegiopoulos A., Muggenburg J., Sombroek D., Hofmann T.G., Zawatzky R.",00064971,"Blood",112, 2,0,0,0,1,1,0,1
2008,"Conditionally immortalized white preadipocytes: A novel adipocyte model","Morganstein D.L., Christian M., Turner J.J.O., Parker M.G., White R.",00222275,"Journal of Lipid Research",49, 3,0,0,1,3,4,0,4
2008,"Role of RIP140 in metabolic tissues: Connections to disease","White R., Morganstein D., Christian M., Seth A., Herzog B., Parker M.G.",00145793,"FEBS Letters",582, 1,0,0,6,7,13,0,13
2007,"RIP140 directs histone and DNA methylation to silence Ucp1 expression in white adipocytes","Kiskinis E., Hallberg M., Christian M., Olofsson M., Dilworth S.M., White R., Parker M.G.",02614189,"EMBO Journal",26, 23,0,0,5,3,8,0,8
2007,"Receptor interacting protein 140 regulates expression of uncoupling protein 1 in adipocytes through specific peroxisome proliferator activated receptor isoforms and estrogen-related receptor ?","Debevec D., Christian M., Morganstein D., Seth A., Herzog B., Parker M., White R.",08888809,"Molecular Endocrinology",21, 7,0,3,9,4,16,0,16
2006,"The nuclear receptor co-repressor RIP140 controls the expression of metabolic gene networks","Parker M.G., Christian M., White R.",03005127,"Biochemical Society Transactions",34, 6,1,1,8,2,11,0,12
2006,"ZNF366 is an estrogen receptor corepressor that acts through CtBP and histone deacetylases","Lopez-Garcia J., Buluwela L., Kamalati T., Ali S., Periyasamy M., Thomas R.S., Christian M., Leao M., Jat P., Kindle K.B., Heery D.M., Parker M.G.",03051048,"Nucleic Acids Research",34, 21,0,0,3,3,6,0,6
2006,"RIP140 expression is stimulated by estrogen-related receptor ? during adipogenesis","Nichol D., Christian M., Steel J.H., White R., Parker M.G.",00219258,"Journal of Biological Chemistry",281, 43,0,3,9,2,14,0,14
2006,"Metabolic regulation by the nuclear receptor corepressor RIP140","Christian M., White R., Parker M.G.",10432760,"Trends in Endocrinology and Metabolism",17, 6,0,10,13,6,29,0,29
2006,"Physical interaction and mutual transrepression between CCAAT/enhancer-binding protein ? and the p53 tumor suppressor","Schneider-Merck T., Pohnke Y., Kempf R., Christian M., Brosens J.J., Gellersen B.",00219258,"Journal of Biological Chemistry",281, 1,3,1,5,1,7,0,10
2005,"RIP140-targeted repression of gene expression in adipocytes","Christian M., Kiskinis E., Debevec D., Leonardsson G., White R., Parker M.G.",02707306,"Molecular and Cellular Biology",25, 21,11,16,15,6,37,0,48
2004,"Wild-type p53 protein is up-regulated upon cyclic adenosine monophosphate-induced differentiation of human endometrial stromal cells","Pohnke Y., Schneider-Merck T., Fahnenstich J., Kempf R., Christian M., Milde-Langosch K., Brosens J.J., Gellersen B.",0021972X,"Journal of Clinical Endocrinology and Metabolism",89, 10,5,2,4,2,8,0,13
2004,"Convergence of interferon-? and progesterone signaling pathways in human endometrium: Role of PIASy (protein inhibitor of activated signal transducer and activator of transcription-y)","Zoumpoulidou G., Brosens J.J., Jones M.C., Fernandez De Mattos S., Francis J.M., Fusi L., Yun S.L., Christian M., Varshochi R., Lam E.W.-F.",08888809,"Molecular Endocrinology",18, 8,6,4,4,1,9,0,15
2004,"Nuclear receptor corepressor RIP140 regulates fat accumulation","Leonardsson G., White R., Parker M.G., Steel J.H., Christian M., Pocock V., Milligan S., Bell J., So P.-W., Medina-Gomez G., Vidal-Puig A.",00278424,"Proceedings of the National Academy of Sciences of the United States of America",101, 22,33,23,23,9,55,0,88
2004,"Characterization of Four Autonomous Repression Domains in the Corepressor Receptor Interacting Protein 140","Christian M., Tullet J.M.A., Parker M.G.",00219258,"Journal of Biological Chemistry",279, 15,25,6,7,1,14,0,39
