,"Author: Yagüe, Ernesto",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 7 (Of the 15 documents considered for the h-Index, 7 have been cited at least 7 times.)",,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,171,45,39,84,21,276
2009,"Inhibition of ?-secretase induces G2M arrest and triggers apoptosis in breast cancer cells","Rasul S., Balasubramanian R., Filipovi A., Slade M.J., Yague E., Coombes R.C.",00070920,"British Journal of Cancer",100, 12,0,0,0,0,0,0
2009,"Measurements of EGFR expression on circulating tumor cells are reproducible over time in metastatic breast cancer patients","Payne R.I., Yague E., Slade M.J., Apostolopoulos C., Jiao L.R., Ward B., Coombes R.C., Stebbing J.",14622416,"Pharmacogenomics",10, 1,0,0,1,1,2,3
2008,"Resistance to chemotherapy: New treatments and novel insights into an old problem","Raguz S., Yague E.",00070920,"British Journal of Cancer",99, 3,0,0,1,1,3,4
2008,"Production of P-glycoprotein from the MDR1 upstream promoter is insufficient to affect the response to first-line chemotherapy in advanced breast cancer","Raguz S., Randle R.A., Sharpe E.R., Foekens J.A., Sieuwerts A.M., Meijer-van Gelder M.E., Melo J.V., Higgins C.F., Yague E.",00207136,"International Journal of Cancer",122, 5,0,0,0,0,1,1
2007,"Role of the highly structured 5?-end region of MDR1 mRNA in P-glycoprotein expression","Randle R.A., Raguz S., Higgins C.F., Yague E.",02646021,"Biochemical Journal",406, 3,0,1,3,4,1,5
2007,"Ability to acquire drug resistance arises early during the tumorigenesis process","Yague E., Arance A., Kubitza L., O'Hare M., Jat P., Ogilvie C.M., Hart I.R., Higgins C.F., Raguz S.",00085472,"Cancer Research",67, 3,0,1,2,3,1,4
2005,"Expression of RPIP9 (Rap2 interacting protein 9) is activated in breast carcinoma and correlates with a poor prognosis","Raguz S., De Bella M.T., Slade M.J., Higgins C.F., Coombes R.C., Yague E.",00207136,"International Journal of Cancer",117, 6,1,0,1,1,0,2
2005,"Drug resistance in cancer","Yague E., Raguz S.",00070920,"British Journal of Cancer",93, 9,0,2,0,2,1,3
2004,"Complete reversal of multidrug resistance by stable expression of small interfering RNAs targeting MDR1","Yague E., Higgins C.F., Raguz S.",09697128,"Gene Therapy",11, 14,39,9,9,18,4,61
2004,"Activation of the MDR1 Upstream Promoter in Breast Carcinoma As A Surrogate for Metastatic Invasion","Raguz S., De Bella M.T., Tripuraneni G., Slade M.J., Higgins C.F., Coombes R.C., Yague E.",10780432,"Clinical Cancer Research",10, 8,4,5,4,9,0,13
2003,"Transgenes encompassing dual-promoter CpG islands from the human TBP and HNRPA2B1 loci are resistant to heterochromatin-mediated silencing","Antoniou M., Ioannou P.A., Mountain A., Crombie R., Harland L., Mustoe T., Williams S., Holdstock J., Yague E., Mulcahy T., Griffiths M., Edwards S.",08887543,"Genomics",82, 3,11,6,3,9,1,21
2003,"P-glycoprotein (MDR1) expression in leukemic cells is regulated at two distinct steps, mRNA stabilization and translational initiation","Yague E., Armesilla A.L., Harrison G., Elliott J., Sardini A., Higgins C.F., Raguz S.",00219258,"Journal of Biological Chemistry",278, 12,24,10,11,21,5,50
1998,"Muscle-specific locus control region activity associated with the human desmin gene","Raguz S., Hobbs C., Yague E., Ioannou P.A., Walsh F.S., Antoniou M.",00121606,"Developmental Biology",201, 1,22,2,0,2,1,25
1997,"Expression of CEL2 and CEL4, two proteins from Agaricus bisporus with similarity to fungal cellobiohydrolase I and ?-mannanase, respectively, is regulated by the carbon source","Yague E., Mehak-Zunic M., Morgan L., Wood D.A., Thurston C.F.",13500872,"Microbiology",143, 1,30,4,2,6,0,36
1996,"Correlation of exons with functional domains and folding regions in a cellulase from Agaricus bisporus","Yague E., Chow C.-M., Challen M.P., Thurston C.F.",01728083,"Current Genetics",30, 1,9,1,0,1,0,10
1994,"The cel3 gene of Agaricus bisporus codes for a modular cellulase and is transcriptionally regulated by the carbon source","Chow C.-M., Yague E., Raguz S., Wood D.A., Thurston C.F.",00992240,"Applied and Environmental Microbiology",60, 8,31,4,2,6,1,38
