,"This is a citation overview for a set of 16 documents.",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 9 (Of the 16 documents considered for the h-Index, 9 have been cited at least 9 times.)",,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,278,45,46,91,36,405
2007,"Diagnosis of abnormal uterine bleeding","Mohan S., Page L.M., Higham J.M.",15216934,"Best Practice and Research: Clinical Obstetrics and Gynaecology",21, 6,0,0,0,0,0,0
2007,"Transcriptional cross talk between the forkhead transcription factor forkhead box O1A and the progesterone receptor coordinates cell cycle regulation and differentiation in human endometrial stromal cells","Takano M., Stavropoulou A.V., Ishihara O., Lam E.W.-F., Unterman T.G., Brosens J.J., Kim J.J., Lu Z., Goto T., Fusi L., Higham J., Francis J., Withey A., Hardt J., Cloke B.",08888809,"Molecular Endocrinology",21, 10,0,0,4,4,1,5
2006,"Differential expression of FOXO1 and FOXO3a confers resistance to oxidative cell death upon endometrial decidualization","Kajihara T., Lam E.W.-F., Brosens J.J., Jones M., Fusi L., Takano M., Feroze-Zaidi F., Pirianov G., Mehmet H., Ishihara O., Higham J.M.",08888809,"Molecular Endocrinology",20, 10,1,7,8,15,6,22
2006,"Progestins regulate the expression and activity of the Forkhead transcription factor FOXO1 in differentiating human endometrium","Labied S., Essafi A., De Mattos S.F., Lam E.W.-F., Brosens J.J., Kajihara T., Madureira P.A., Fusi L., Jones M.C., Higham J.M., Varshochi R., Francis J.M., Zoumpoulidou G.",08888809,"Molecular Endocrinology",20, 1,6,5,7,12,4,22
2003,"Changes in endometrial blood vessels in the endometrium of women with hormone replacement therapy-related irregular bleeding","Hickey M., Pillai G., Higham J.M., Sullivan M., Horncastle D., Doherty D., Stamp G.",02681161,"Human Reproduction",18, 5,7,5,2,7,3,17
2002,"Aromatase P450 messenger RNA expression in eutopic endometrium is not a specific marker for pelvic endometriosis","Dheenadayalu K., Brosens J., Mak I., Gordts S., Campo R., Higham J., Puttemans P., White J., Christian M., Fusi L.",00150282,"Fertility and Sterility",78, 4,16,2,2,4,1,21
2001,"Congenital absence of portal vein in the fetus: A case report","Venkat-Raman N., Murphy K.W., Ghaus K., Teoh T.-G., Higham J.M., Carvalho J.S.",09607692,"Ultrasound in Obstetrics and Gynecology",17, 1,13,2,3,5,0,18
2000,"Progestogens versus oestrogens and progestogens for irregular uterine bleeding associated with anovulation.","Hickey M., Higham J., Fraser I.S.",1469493X,"Cochrane database of systematic reviews (Online : Update Software)",, 2,3,1,0,1,0,4
2000,"Folic acid supplements are more effective than increased dietary folate intake in elevating serum folate levels","Elkin A.C., Higham J.",03065456,"British Journal of Obstetrics and Gynaecology",107, 2,9,0,1,1,0,10
1999,"Clinical associations with objective menstrual blood volume","Higham J.M., Shaw R.W.",03012115,"European Journal of Obstetrics Gynecology and Reproductive Biology",82, 1,12,4,1,5,3,20
1992,"The effect of thyroxine replacement on menstrual blood loss in a hypothyroid patient","Higham J.M., Shaw R.W.",03065456,"British Journal of Obstetrics and Gynaecology",99, 8,8,1,0,1,0,9
1992,"Endometrial phospholipase A2, polycystic ovaries and pelvic pain","Bonney R.C., Watson H., Beesley J.S., Higham J.M., Rogers V., Franks S.",03065456,"British Journal of Obstetrics and Gynaecology",99, 6,3,0,0,0,0,3
1991,"Risk-benefit assessment of drugs used for the treatment of menstrual disorders","Higham J.M., Shaw R.W.",01145916,"Drug Safety",6, 3,8,0,0,0,0,8
1991,"Phospholipase activity in the endometrium of women with normal menstrual blood loss and women with proven ovulatory menorrhagia","Bonney R.C., Higham J.M., Watson H., Beesley J.S., Shaw R.W., Franks S.",03065456,"British Journal of Obstetrics and Gynaecology",98, 4,2,0,0,0,0,2
1991,"The medical management of menorrhagia","Higham J.M.",00071064,"British Journal of Hospital Medicine",45, 1,0,0,0,0,0,0
1990,"Assessment of menstrual blood loss using a pictorial chart","Higham J.M., O'Brien P.M.S., Shaw R.W.",03065456,"British Journal of Obstetrics and Gynaecology",97, 8,190,18,18,36,18,244
