,"Author: Kypta, Robert M.",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 9 (Of the 15 documents considered for the h-Index, 9 have been cited at least 9 times.)",,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,758,162,157,319,88,1165
2009,"Secreted Frizzled-related protein-1 is a negative regulator of androgen receptor activity in prostate cancer","Kawano Y., Diez S., Uysal-Onganer P., Darrington R.S., Waxman J., Kypta R.M.",00070920,"British Journal of Cancer",100, 7,0,0,0,0,0,0
2006,"Regulation of prostate cell growth and morphogenesis by Dickkopf-3","Kawano Y., Kitaoka M., Hamada Y., Walker M.M., Waxman J., Kypta R.M.",09509232,"Oncogene",25, 49,1,9,11,20,7,28
2005,"GSK-3 inhibitors and their potential in the treatment of Alzheimer's disease","Kypta R.M.",13543776,"Expert Opinion on Therapeutic Patents",15, 10,1,4,3,7,0,8
2005,"Erratum: Analysis of Wnt gene expression in prostate cancer: Mutual inhibition by WNT11 and the androgen receptor (Cancer Research (November 1, 2004) 64 (7918-7926))","Zhu H., Mazor M., Kawano Y., Walker M.M., Leung H.Y., Armstrong K., Waxman J., Kypta R.M.",00085472,"Cancer Research",65, 17,0,0,0,0,0,0
2004,"Analysis of Wnt gene expression in prostate cancer: Mutual inhibition by WNT11 and the androgen receptor","Zhu H., Mazor M., Kawano Y., Walker M.M., Leung H.Y., Armstrong K., Waxman J., Kypta R.M.",00085472,"Cancer Research",64, 21,12,12,7,19,3,34
2004,"Inhibition of glycogen synthase kinase-3 represses androgen receptor activity and prostate cancer cell growth","Mazor M., Kawano Y., Zhu H., Waxman J., Kypta R.M.",09509232,"Oncogene",23, 47,12,10,7,17,6,35
2004,"Nuclear export of ?-catenin: Overlap between nuclear export signal sequences and the ?-catenin binding site","Giannini A., Mazor M., Orme M., Vivanco M., Waxman J., Kypta R.",00144827,"Experimental Cell Research",295, 1,3,3,1,4,1,8
2003,"Glycogen synthase kinase-3 and Axin function in a ?-catenin- independent pathway that regulates neurite outgrowth in neuroblastoma cells","Orme M.H., Giannini A.L., Vivanco M.D., Kypta R.M.",10447431,"Molecular and Cellular Neuroscience",24, 3,9,4,4,8,1,18
2003,"Secreted antagonists of the Wnt signalling pathway","Kawano Y., Kypta R.",00219533,"Journal of Cell Science",116, 13,164,88,103,191,56,411
2003,"Glucocorticoids inhibit apoptosis during fibrosarcoma development by transcriptionally activating Bcl-xL","Gascoyne D.M., Kypta R.M., Vivanco M.D.M.",00219258,"Journal of Biological Chemistry",278, 20,21,6,5,11,4,36
2003,"Loss of p16INK4a results in increased glucocorticoid receptor activity during fibrosarcoma development","Roca R., Kypta R.M., Vivanco M.D.M.",00278424,"Proceedings of the National Academy of Sciences of the United States of America",100, 6,4,0,0,0,1,5
2000,"?-Catenin inhibits?-catenin signaling by preventing formation of a?-catenin·T-cell factor·DNA complex","Giannini A.L., Vivanco M.D.M., Kypta R.M.",00219258,"Journal of Biological Chemistry",275, 29,23,3,6,9,3,35
2000,"Analysis of ?-catenin aggregation and localization using GFP fusion proteins: Nuclear import of ?-catenin by the ?-catenin/Tcf complex","Giannini A.L., Vivanco M.D.M., Kypta R.M.",00144827,"Experimental Cell Research",255, 2,23,1,2,3,1,27
1996,"Retinal cultures","Finlay D., Wilkinson G., Kypta R., De Curtis I., Reichardt L.",0091679X,"Methods in Cell Biology",, 51,5,1,0,1,0,6
1996,"Association between a transmembrane protein tyrosine phosphatase and the cadherin-catenin complex","Kypta R.M., Su H., Reichardt L.F.",00219525,"Journal of Cell Biology",134, 6,183,11,3,14,3,200
1995,"Identification of integrin ?3?1 as a neuronal thrombospondin receptor mediating neurite outgrowth","DeFreitas M.F., Yoshida C.K., Frazier W.A., Mendrick D.L., Kypta R.M., Reichardt L.F.",08966273,"Neuron",15, 2,96,4,2,6,2,104
1995,"The integrin receptor ?8?1 mediates interactions of embryonic chick motor and sensory neurons with tenascin-C","Varnum-Finney B., Venstrom K., Muller U., Kypta R., Backus C., Chiquet M., Reichardt L.F.",08966273,"Neuron",14, 6,60,4,1,5,0,65
1995,"Molecular genetics of neuronal adhesion","Muller U., Kypta R.",09594388,"Current Opinion in Neurobiology",5, 1,17,0,0,0,0,17
1994,"Rapid and efficient purification of Src homology 2 domain-containing proteins: Fyn, Csk and phosphatidylinositol 3-kinase p85","Koegl M., Kypta R.M., Bergman M., Alitalo K., Courtneidge S.A.",02646021,"Biochemical Journal",302, 3,26,1,0,1,0,27
1993,"Src family tyrosine kinases and the response to platelet-derived growth factor.","Twamley G.M., Kypta R.M., Hall B., Courtneidge S.A.",10407952,"Advances in second messenger and phosphoprotein research",28, ,4,0,0,0,0,4
1992,"Association of Fyn with the activated platelet-derived growth factor receptor: Requirements for binding and phosphorylation","Twamley G.M., Kypta R.M., Hall B., Courtneidge S.A.",09509232,"Oncogene",7, 10,42,0,2,2,0,44
1991,"Platelet-derived growth factor receptor sequences important for binding of src family tyrosine kinases.","Courtneidge S.A., Kypta R.M., Cooper J.A., Kazlauskas A.",10449523,"Cell growth & differentiation : the molecular biology journal of the American Association for Cancer Research",2, 10,8,0,0,0,0,8
1988,"Identification and characterization of p59fyn (a src-like protein tyrosine kinase) in normal and polyoma virus transformed cells.","Kypta R.M., Hemming A., Courtneidge S.A.",02614189,"EMBO Journal",7, 12,44,1,0,1,0,45
