,"This is a citation overview for a set of 93 documents.",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 23 (Of the 93 documents considered for the h-Index, 23 have been cited at least 23 times.)",,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,1198,200,265,465,194,1857
2009,"Peptide immunotherapy in allergic asthma generates IL-10-dependent immunological tolerance associated with linked epitope suppression","Campbell J.D., Boyton R.J., Cobbold S.P., Kay A.B., Altmann D.M., Lloyd C.M., Larche M., Buckland K.F., McMillan S.J., Kearley J., Oldfield W.L.G., Stern L.J., Gronlund H., Van Hage M., Reynolds C.J.",00221007,"Journal of Experimental Medicine",206, 7,0,0,0,0,1,1
2009,"Different white matter lesion characteristics correlate with distinct grey matter abnormalities on magnetic resonance imaging in secondary progressive multiple sclerosis","Furby J., Hayton T., Altmann D., Brenner R., Chataway J., Smith K.J., Miller D.H., Kapoor R.",13524585,"Multiple Sclerosis",15, 6,0,0,0,0,0,0
2009,"A role of cellular prion protein in programming T-cell cytokine responses in disease.","Ingram R.J., Isaacs J.D., Kaur G., Lowther D.E., Reynolds C.J., Boyton R.J., Collinge J., Jackson G.S., Altmann D.M.",15306860,"The FASEB journal : official publication of the Federation of American Societies for Experimental Biology",23, 6,0,0,0,0,0,0
2009,"Review series on helminths, immune modulation and the hygiene hypothesis: Nematode coevolution with adaptive immunity, regulatory networks and the growth of inflammatory diseases","Altmann D.M.",00192805,"Immunology",126, 1,0,0,0,0,0,0
2008,"The cellular prion protein is preferentially expressed by CD4+ CD25+ Foxp3+ regulatory T cells","Isaacs J.D., Garden O.A., Kaur G., Collinge J., Jackson G.S., Altmann D.M.",00192805,"Immunology",125, 3,0,0,0,0,1,1
2008,"Magnetic resonance imaging measures of brain and spinal cord atrophy correlate with clinical impairment in secondary progressive multiple sclerosis","Furby J., Kapoor R., Hayton T., Anderson V., Altmann D., Brenner R., Chataway J., Hughes R.A.C., Smith K.J., Miller D.H.",13524585,"Multiple Sclerosis",14, 8,0,0,0,0,3,3
2008,"Human leucocyte antigen class II association in idiopathic bronchiectasis, a disease of chronic lung infection, implicates a role for adaptive immunity","Boyton R.J., Smith J., Jones M., Reynolds C., Ozerovitch L., Chaudhry A., Wilson R., Rose M., Altmann D.M.",00099104,"Clinical and Experimental Immunology",152, 1,0,0,1,1,0,1
2008,"The immunology of sepsis","Sriskandan S., Altmann D.M.",00223417,"Journal of Pathology",214, 2,0,0,8,8,10,18
2008,"Regulation, FoxP3, suppression and immunity","Altmann D.M.",00192805,"Immunology",123, 1,0,0,0,0,0,0
2007,"Sexual dimorphism in superantigen shock involves elevated TNF-? and TNF-?-induced hepatic apoptosis","Faulkner L., Altmann D.M., Ellmerich S., Huhtaniemi I., Stamp G., Sriskandan S.",1073449X,"American Journal of Respiratory and Critical Care Medicine",176, 5,0,0,3,3,1,4
2007,"Pulmonary infection with Cryptococcus neoformans in the face of underlying sarcoidosis","Boyton R.J., Altmann D.M., Wright A., Kon O.M.",00257931,"Respiration",74, 4,0,0,0,0,1,1
2007,"Natural killer cells, killer immunoglobulin-like receptors and human leucocyte antigen class I in disease","Boyton R.J., Altmann D.M.",00099104,"Clinical and Experimental Immunology",149, 1,0,1,14,15,7,22
2007,"T cell responses to a non-glycosylated epitope predominate in type II collagen-immunised HLA-DRB1*0101 transgenic mice","Von Delwig A., Altmann D.M., Charlton F.G., McKie N., Isaacs J.D., Holmdahl R., Robinson J.H.",00034967,"Annals of the Rheumatic Diseases",66, 5,0,0,2,2,0,2
2007,"Toll-like receptors 2 and 4 and innate immunity in neutrophilic asthma and idiopathic bronchiectasis [3]","Reynolds C., Ozerovitch L., Wilson R., Altmann D., Boyton R.",00406376,"Thorax",62, 3,0,0,0,0,0,0
2007,"Immunology - Fast moving times for the field and the journal","Altmann D.",00192805,"Immunology",120, 3,0,0,0,0,0,0
2006,"Microbial translocation is a cause of systemic immune activation in chronic HIV infection","Brenchley J.M., Altmann D., Blazar B.R., Rodriguez B., Teixeira-Johnson L., Landay A., Martin J.N., Hecht F.M., Picker L.J., Lederman M.M., Deeks S.G., Price D.A., Douek D.C., Schacker T.W., Asher T.E., Silvestri G., Rao S., Kazzaz Z., Bornstein E., Lambotte O.",10788956,"Nature Medicine",12, 12,2,64,106,170,103,275
2006,"The human prion protein residue 129 polymorphism lies within a cluster of epitopes for T cell recognition","Isaacs J.D., Ingram R.J., Collinge J., Altmann D.M., Jackson G.S.",00223069,"Journal of Neuropathology and Experimental Neurology",65, 11,0,0,1,1,1,2
2006,"The role of the cellular prion protein in the immune system","Isaacs J.D., Jackson G.S., Altmann D.M.",00099104,"Clinical and Experimental Immunology",146, 1,0,3,6,9,3,12
2006,"IFN? and CXCR-1 gene polymorphisms in idiopathic bronchiectasis","Boyton R.J., Smith J., Rose M., Newman-Taylor A.J., Cole P., Wilson R., Altmann D.M., Reynolds C., Wahid F.N., Jones M.G., Ozerovitch L., Ahmad T., Chaudhry A., Jewell D.P., Kon O.M.",00012815,"Tissue Antigens",68, 4,0,0,2,2,2,4
