,"This is a citation overview for a set of 38 documents.",,,,,,,,,,,,
,,,,,,,,,,,,,
,"h index = 15 (Of the 38 documents considered for the h-Index, 15 have been cited at least 15 times.)",,,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,<2010,2010,2011,2012,subtotal,>2012,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,330,175,163,40,378,0,708
2009,"Increasing short-stay unplanned hospital admissions among children in England; Time trends analysis '97-'06","Saxena S., Bottle A., Gilbert R., Sharland M.",19326203,"PLoS ONE",4, 10,0,2,5,1,8,0,8
2009,"Pay for perfomance and the quality of diabetes management in individuals with and without co-morbid medical conditions","Millett C., Bottle A., Ng A., Curcin V., Molokhia M., Saxena S., Majeed A.",01410768,"Journal of the Royal Society of Medicine",102, 9,0,3,11,1,15,0,15
2009,"Changes in clinical indications for community antibiotic prescribing for children in the UK from 1996 to 2006: will the new NICE prescribing guidance on upper respiratory tract infections just be ignored?","Thompson P.L., Spyridis N., Sharland M., Gilbert R.E., Saxena S., Long P.F., Johnson A.P., Wong I.C.K.",00039888,"Archives of Disease in Childhood",94, 5,0,6,8,4,18,0,18
2009,"Impact of pay for performance on ethnic disparities in intermediate outcomes for diabetes: A longitudinal study","Millett C., Saxena S., Netuveli G., Majeed A.",01495992,"Diabetes Care",32, 3,7,6,8,2,16,0,23
2009,"Effect of antibiotics for otitis media on mastoiditis in children: A retrospective cohort study using the united kingdom general practice research database","Thompson P.L., Gilbert R.E., Long P.F., Saxena S., Sharland M., Wong I.C.K.",00314005,"Pediatrics",123, 2,3,9,9,2,20,0,23
2008,"Has UK guidance affected general practitioner antibiotic prescribing for otitis media in children?","Thompson P.L., Gilbert R.E., Long P.F., Saxena S., Sharland M., Wong I.C.K.",17413842,"Journal of Public Health",30, 4,3,3,2,1,6,0,9
2008,"10-Minute consultation: Chronic diarrhoea in a teenager","Saxena S., Mitton S.G., Pollok R.",09598146,"BMJ",337, 7672,0,0,0,0,0,0,0
2008,"Attendance for injury at accident and emergency departments in London: a cross-sectional study","Jamrozik K., Samarasundera E., Miracle R., Blair M., Sethi D., Saxena S., Bowen S.",00333506,"Public Health",122, 9,0,0,0,0,0,0,0
2008,"Preoperative steroid use and risk of postoperative complications in patients with inflammatory bowel disease undergoing abdominal surgery","Subramanian V., Saxena S., Kang J.-Y., Pollok R.C.G.",00029270,"American Journal of Gastroenterology",103, 9,4,5,6,5,16,0,20
2008,"Chronic diarrhoea in a teenager.","Saxena S., Mitton S.G., Pollok R.",14685833,"BMJ (Clinical research ed.)",337, ,0,0,0,0,0,0,0
2008,"A systematic review of parental perception of overweight status in children","Parry L.L., Netuveli G., Parry J., Saxena S.",01489917,"Journal of Ambulatory Care Management",31, 3,4,10,5,3,18,0,22
2008,"Quality of primary care and hospital admissions for diabetes mellitus in England","Bottle A., Millett C., Xie Y., Saxena S., Wachter R.M., Majeed A.",01489917,"Journal of Ambulatory Care Management",31, 3,0,4,5,0,9,0,9
2008,"Obesity and intermediate clinical outcomes in diabetes: Evidence of a differential relationship across ethnic groups","Millett C., Khunti K., Gray J., Saxena S., Netuveli G., Majeed A.",07423071,"Diabetic Medicine",25, 6,0,4,3,1,8,0,8
2008,"Do antibiotics for otitis media reduce the risk of mastoiditis in children?","Thompson P.L., Gilbert R., Long P., Saxena S., Sharland M., Wong I.C.K.",09617671,"International Journal of Pharmacy Practice",16, 1,0,0,0,0,0,0,0
2008,"Inpatient management of psoriasis: A multicentre service review to establish national admission standards","Woods A.L., Rutter K.J., Gardner L.S., Lewis V.J., Saxena S., George S.A., Chalmers R.J.G., Griffiths C.E.M., Speight E.L., Anstey A.V., Ronda L., McGibbon D., Barker J.W.N., Smith C.H.",00070963,"British Journal of Dermatology",158, 2,3,2,1,0,3,0,6
2008,"Association between quality of primary care and hospitalization for coronary heart disease in England: National cross-sectional study","Bottle A., Gnani S., Saxena S., Aylin P., Mainous III A.G., Majeed A.",08848734,"Journal of General Internal Medicine",23, 2,2,5,4,1,10,0,12
2008,"Charging systems for migrants in primary care: The experiences of family doctors in a high-migrant area of London","Hargreaves S., Holmes A.H., Saxena S., Le Feuvre P., Farah W., Shafi G., Chaudry J., Khan H., Friedland J.S.",11951982,"Journal of Travel Medicine",15, 1,1,2,2,0,4,0,5
2007,"Socio-economic status, ethnicity and diabetes management: An analysis of time trends using the health survey for England","Millett C., Saxena S., Ng A., Mainous III A., Majeed A.",17413842,"Journal of Public Health",29, 4,3,7,1,0,8,0,11
2007,"Heterogeneity in management of diabetes mellitus among Latino ethnic subgroups in the United States","Mainous III A.G., Diaz V.A., Saxena S., Geesey M.E.",15572625,"Journal of the American Board of Family Medicine",20, 6,4,5,2,0,7,0,11
2007,"Ethnicity and quality of diabetes care in a health system with universal coverage: Population-based cross-sectional survey in primary care","Gray J., Millett C., Saxena S., Netuveli G., Khunti K., Majeed A.",08848734,"Journal of General Internal Medicine",22, 9,6,7,7,2,16,0,22
2007,"Practice size, caseload, deprivation and quality of care of patients with coronary heart disease, hypertension and stroke in primary care: National cross-sectional study","Saxena S., Car J., Eldred D., Soljak M., Majeed A.",14726963,"BMC Health Services Research",7, ,9,10,8,2,20,0,29
2007,"Systematic review of primary healthcare interventions to improve diabetes outcomes in minority ethnic groups","Saxena S., Misra T., Car J., Netuveli G., Smith R., Majeed A.",01489917,"Journal of Ambulatory Care Management",30, 3,4,3,4,1,8,0,12
2007,"Impact of a pay-for-performance incentive on support for smoking cessation and on smoking prevalence among people with diabetes","Millett C., Gray J., Saxena S., Netuveli G., Majeed A.",08203946,"CMAJ",176, 12,7,12,4,0,16,0,23
2007,"Ethnic disparities in diabetes management and pay-for-performance in the UK: The Wandsworth prospective diabetes study","Millett C., Gray J., Saxena S., Netuveli G., Khunti K., Majeed A.",15491277,"PLoS Medicine",4, 6,33,19,9,4,32,0,65
2007,"Impact of the population at risk of diabetes on projections of diabetes burden in the United States: An epidemic on the way","Mainous III A.G., Baker R., Koopman R.J., Saxena S., Diaz V.A., Everett C.J., Majeed A.",0012186X,"Diabetologia",50, 5,33,15,18,2,35,0,68
2006,"Erratum to ""Ethnic variations in sexual activity and contraceptive use: national cross-sectional survey"" [Contraception 74 (2006) 224-233] (DOI:10.1016/j.contraception.2006.03.025)","Saxena S., Copas A.J., Mercer C., Johnson A.M., Fenton K., Erens B., Nanchahal K., Macdowall W., Wellings K.",00107824,"Contraception",74, 6,0,0,0,0,0,0,0
2006,"Impact on and use of health services by international migrants: Questionnaire survey of inner city London A&E attenders","Hargreaves S., Friedland J.S., Gothard P., Saxena S., Millington H., Eliahoo J., Le Feuvre P., Holmes A.",14726963,"BMC Health Services Research",6, ,5,3,6,0,9,0,14
2006,"Diabetes management in the USA and England: Comparative analysis of national surveys","Mainous III A.G., Diaz V.A., Saxena S., Baker R., Everett C.J., Koopman R.J., Majeed A.",01410768,"Journal of the Royal Society of Medicine",99, 9,11,1,3,1,5,0,16
2006,"Ethnic variations in sexual activity and contraceptive use: national cross-sectional survey","Saxena S., Copas A.J., Mercer C., Johnson A.M., Fenton K., Eren B., Nanchahal K., Macdowall W., Wellings K.",00107824,"Contraception",74, 3,3,1,1,0,2,0,5
2006,"Ambulatory antibiotic prescribing for acute bronchitis and cough and hospital admissions for respiratory infections: Time trends analysis","Mainous III A.G., Saxena S., Hueston W.J., Everett C.J., Majeed A.",01410768,"Journal of the Royal Society of Medicine",99, 7,7,3,0,1,4,0,11
2006,"English language skills and diabetes and hypertension among foreign-born South Asian adults in England","Mainous III A.G., Baker R., Majeed A., Koopman R.J., Everett C.J., Saxena S., Tilley B.C.",00333549,"Public Health Reports",121, 3,3,1,0,1,2,0,5
2006,"Association of population and practice factors with potentially avoidable admission rates for chronic diseases in London: Cross sectional analysis","Saxena S., George J., Barber J., Fitzpatrick J., Majeed A.",01410768,"Journal of the Royal Society of Medicine",99, 2,12,9,8,0,17,0,29
2004,"Ethnic group differences in overweight and obese children and young people in England: Cross sectional survey","Saxena S., Ambler G., Cole T.J., Majeed A.",00039888,"Archives of Disease in Childhood",89, 1,59,8,15,2,25,0,84
2002,"Socioeconomic and ethnic group differences in self reported health status and use of health services by children and young people in England: Cross sectional study","Saxena S., Eliahoo J., Majeed A.",09598146,"British Medical Journal",325, 7363,43,7,6,2,15,0,58
2002,"Contraceptive use among South Asian women attending general practices in southwest London","Saxena S., Oakeshott P., Hilton S.",09601643,"British Journal of General Practice",52, 478,2,0,0,0,0,0,2
2000,"Heartburn treatment in primary care (multiple letters)","Williams A., Saxena S., Pollok R.C.G., Alberti H., Hatlebakk J.G., Berstad A., Madsen P.H., Walle P.O.",09598146,"British Medical Journal",320, 7246,0,0,0,0,0,0,0
2000,"Heartburn treatment in primary care. Step up approach to management is best.","Saxena S., Pollok R.C.",09598138,"BMJ (Clinical research ed.)",320, 7246,0,0,0,0,0,0,0
1999,"Socioeconomic differences in childhood consultation rates in general practice in England and Wales: Prospective cohort study","Saxena S., Majeed A., Jones M.",09598146,"British Medical Journal",318, 7184,59,3,2,1,6,0,65
