,This is a citation overview for a set of 286 documents.,,,,,,,,,,,,
,,,,,,,,,,,,,
,"h index = 59 (Of the 286 documents considered for the h-Index, 59 have been cited at least 59 times.)",,,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,<2010,2010,2011,2012,subtotal,>2012,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,10435,796,695,211,1702,0,12137
2007,Analysis of copy number changes suggests chromosomal instability in a minority of large colorectal adenomas,"Jones A.M., Thirlwell C., Howarth K.M., Graham T., Chambers W., Segditsas S., Page K.M., Phillips R.K.S., Thomas H.J.W., Sieber O.M., Sawyer E.J., Tomlinson I.P.M.",223417,Journal of Pathology,213,3,5,5,2,0,7,0,12
2007,Gaining length in ileal-anal pouch reconstruction: A review,"Uraiqat A.A., Byrne C.M.D., Phillips R.K.S.",14628910,Colorectal Disease,9,7,1,0,1,0,1,0,2
2007,Hemorrhoids Throughout History-A Historical Perspective,"Warusavitarne J., Phillips R.K.S.",10431489,Seminars in Colon and Rectal Surgery,18,3,0,0,0,0,0,0,0
2007,Pregnancy does not influence colonic polyp multiplicity but may modulate upper gastrointestinal disease in patients with FAP,"Suraweera N., Latchford A., McCart A., Rogers P., Spain S., Sieber O., Phillips R., Tomlinson I., Silver A.",222593,Journal of Medical Genetics,44,8,0,0,0,0,0,0,0
2007,Molecular classification and genetic pathways in hyperplastic polyposis syndrome,"Carvajal-Carmona L.G., Saunders B., Guenther T., Donaldson A., Paterson J., Frayling I., Novelli M.R., Phillips R., Thomas H.J.W., Silver A., Atkin W., Howarth K.M., Tomlinson I.P.M., Lockett M., Polanco-Echeverry G.M., Volikos E., Gorman M., Barclay E., Martin L., Jones A.M.",223417,Journal of Pathology,212,4,17,10,8,2,20,0,37
2007,The impact of technical factors on outcome of restorative proctocolectomy for familial adenomatous polyposis,"Von Roon A.C., Tekkis P.P., Clark S.K., Heriot A.G., Lovegrove R.E., Truvolo S., Nicholls R.J., Phillips R.K.S.",123706,Diseases of the Colon and Rectum,50,7,6,2,3,0,5,0,11
2007,Investigation of pathogenic mechanisms in multiple colorectal adenoma patients without germline APC or MYH/MUTYH mutations,"Thirlwell C., Howarth K.M., Segditsas S., Guerra G., Thomas H.J.W., Phillips R.K.S., Talbot I.C., Gorman M., Novelli M.R., Sieber O.M., Tomlinson I.P.M.",70920,British Journal of Cancer,96,11,3,0,0,0,0,0,3
2007,Commentary,Phillips R.,14628910,Colorectal Disease,9,4,0,0,0,0,0,0,0
2007,Response from authors: A 10-year review of surgery for desmoid disease associated with familial adenomatous polyposis (Br J Surg 2006; 93: 1258-1264) [7],"Latchford A.R., Phillips R.K.S.",71323,British Journal of Surgery,94,3,0,0,0,0,0,0,0
2007,Histological evidence for enhanced anal fistula repair using autologous fibroblasts in a dermal collagen matrix,"Himpson R.C., Cohen C.R.G., Sibbons P., Phillips R.K.S.",16185641,Comparative Clinical Pathology,16,1,1,2,1,0,3,0,4
2007,APC mutations in FAP-associated desmoid tumours are non-random but not 'just right',"Latchford A., Volikos E., Johnson V., Rogers P., Suraweera N., Tomlinson I., Phillips R., Silver A.",9646906,Human Molecular Genetics,16,1,11,3,2,3,8,0,19
2006,Peutz-Jeghers syndrome and screening for pancreatic cancer,"Latchford A., Greenhalf W., Vitone L.J., Neoptolemos J.P., Lancaster G.A., Phillips R.K.S.",71323,British Journal of Surgery,93,12,14,2,5,3,10,0,24
2006,Procrastination and prognosis - Medico-legal aspects of the diagnosis and timely treatment of colorectal cancer,"Vaizey C.J., Phillips R.K.S.",13562622,Clinical Risk,12,6,0,0,0,0,0,0,0
2006,A 10-year review of surgery for desmoid disease associated with familial adenomatous polyposis,"Latchford A.R., Sturt N.J.H., Neale K., Rogers P.A., Phillips R.K.S.",71323,British Journal of Surgery,93,10,19,6,5,1,12,0,31
