,"Author: Ashby, Deborah",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 16 (Of the 52 documents considered for the h-Index, 16 have been cited at least 16 times.)",,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,957,196,202,398,128,1483
2009,Genetic loci associated with C-reactive protein levels and risk of coronary heart disease,"Elliott P., Bennett D., Coin L., Ashby D., Tzoulaki I., Brown I.J., Mt-Isa S., McCarthy M.I., Peltonen L., Freimer N.B., Farrall M., Chambers J.C., Ruokonen A., Hamsten A., Lim N., Froguel P., Waterworth D.M., Vollenweider P., Waeber G., Jarvelin M.-R., Mooser V., Scott J., Zhang W., Hall A.S., Schunkert H., Anand S.S., Collins R., Samani N.J., Watkins H., Kooner J.S., Clarke R., Hopewell J.C., Peden J.F., Erdmann J., Braund P., Engert J.C.",987484,JAMA - Journal of the American Medical Association,302,1,0,0,0,0,1,1
2008,Dietetic Management of People with Cystic Fibrosis,"Watling R.M., Poustie V., Ashby D., Smyth R.L.",28223,Journal of the American Dietetic Association,108,12,0,0,0,0,0,0
2008,Establishing causality in the assessment of safety of medicines for children,Ashby D.,8035253,"Acta Paediatrica, International Journal of Paediatrics",97,12,0,0,0,0,0,0
2008,Chronic forearm pain presents as a transient and indistinct pain site in a community setting: Results from a UK population survey,"Carnes D., Ashby D., Parsons S., Underwood M.",2632136,Family Practice,25,3,0,0,0,0,0,0
2008,Topical or oral ibuprofen for chronic knee pain in older people. The TOIB study,"Underwood M., Mt-Isa S., Parsons S., Spencer A., Vickers M., Whyte K., Ashby D., Carnes D., Castelnuovo E., Cross P., Harding G., Hennessy E., Letley L., Martin J.",13665278,Health Technology Assessment,12,22,0,0,1,1,1,2
2008,Internal and external validity of cluster randomised trials: Systematic review of recent trials,"Eldridge S., Ashby D., Bennett C., Wakelin M., Feder G.",9598146,BMJ,336,7649,0,0,2,2,8,10
2008,For debate: Is the evidence for the efficacy of cholinesterase inhibitors in the symptomatic treatment of Alzheimer's disease convincing or not?,"Ames D., Kaduszkiewicz H., Van Den Bussche H., Zimmermann T., Birks J., Ashby D.",10416102,International Psychogeriatrics,20,2,0,0,0,0,3,3
2008,Advice to use topical or oral ibuprofen for chronic knee pain in older people: Randomised controlled trial and patient preference study,"Underwood M., Whyte K., Ashby D., Cross P., Hennessy E., Letley L., Martin J., Mt-Isa S., Parsons S., Vickers M.",9598146,BMJ,336,7636,0,0,9,9,6,15
2007,Chronic musculoskeletal pain rarely presents in a single body site: Results from a UK population study,"Carnes D., Parsons S., Ashby D., Breen A., Foster N.E., Pincus T., Vogel S., Underwood M.",14620324,Rheumatology,46,7,0,1,2,3,7,10
2007,Lack of effect of influenza immunisation on anticoagulant control in patients on long-term warfarin,"MacCallum P., Madhani M., Mt-Isa S., Ashby D.",10538569,Pharmacoepidemiology and Drug Safety,16,7,0,0,0,0,2,2
2007,Managing Injuries of the Neck Trial (MINT): Design of a randomised controlled trial of treatments for whiplash associated disorders,"Lamb S.E., Gates S., Underwood M., Cooke M.W., Ashby D., Szczepura A., Williams M.A., Williamson E.M., Withers E.J., Mt Isa S., Gumber A.",14712474,BMC Musculoskeletal Disorders,8, ,0,0,1,1,3,4
2006,Bayesian statistics in medicine: A 25 year review,Ashby D.,2776715,Statistics in Medicine,25,21,0,5,16,21,4,25
2006,A multitude of syntheses: A comparison of five approaches from diverse policy fields,"Boaz A., Ashby D., Denyer D., Egan M., Harden A., Jones D.R., Pawson R., Tranfield D.",17442648,Evidence and Policy,2,4,0,3,1,4,1,5
2006,Sample size for cluster randomized trials: Effect of coefficient of variation of cluster size and analysis method,"Eldridge S.M., Ashby D., Kerry S.",3005771,International Journal of Epidemiology,35,5,1,1,4,5,2,8
2006,"Variations in primary open-angle glaucoma prevalence by age, gender, and race: A Bayesian meta-analysis","Rudnicka A.R., Mt.-Isa S., Owen C.G., Cook D.G., Ashby D.",1460404,Investigative Ophthalmology and Visual Science,47,10,0,1,13,14,8,22
2006,Suicidal behaviour and SSRIs: Updated meta-analysis [7],"Saperia J., Ashby D., Gunnell D.",9598146,British Medical Journal,332,7555,0,0,1,1,1,2
2006,A systematic review of pain drawing literature: Should pain drawings be used for psychologic screening?,"Carnes D., Ashby D., Underwood M.",7498047,Clinical Journal of Pain,22,5,0,3,1,4,1,5
2006,Is it exposure to cigarette smoke or to smokers which increases the risk of meningococcal disease in teenagers?,"Coen P.G., Tully J., Stuart J.M., Ashby D., Viner R.M., Booy R.",3005771,International Journal of Epidemiology,35,2,0,2,1,3,2,5
2006,Oral protein energy supplements for children with cystic fibrosis: CALICO multicentre randomised controlled trial,"Poustie V.J., Russell J.E., Watling R.M., Ashby D., Smyth R.L.",9598146,British Medical Journal,332,7542,4,6,6,12,0,16
2005,TOIB Study. Are topical or oral ibuprofen equally effective for the treatment of chronic knee pain presenting in primary care: A randomised controlled trial with patient preference study. [ISRCTN79353052],"Cross P.L., Ashby D., Harding G., Hennessy E.M., Letley L., Parsons S., Spencer A.E., Underwood M.",14712474,BMC Musculoskeletal Disorders,6, ,0,0,4,4,0,4
