,"Author: Tang, Christoph M.",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 17 (Of the 51 documents considered for the h-Index, 17 have been cited at least 17 times.)",,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,995,153,170,323,146,1464
2009,"Growth deficiencies of Neisseria meningitidis pfs and luxS mutants are not due to inactivation of quorum sensing (Journal of Bacteriology (2009) 191, 4, (1293-1302))","Heurlier K., Vendeville A., Halliday N., Green A., Winzer K., Tang C.M., Hardie K.R.",00219193,"Journal of Bacteriology",191, 16,0,0,0,0,0,0
2009,"Mechanisms of avoidance of host immunity by Neisseria meningitidis and its effect on vaccine development","Lo H., Tang C.M., Exley R.M.",14733099,"The Lancet Infectious Diseases",9, 7,0,0,0,0,0,0
2009,"Life on the inside: The intracellular lifestyle of cytosolic bacteria","Ray K., Marteyn B., Sansonetti P.J., Tang C.M.",17401526,"Nature Reviews Microbiology",7, 5,0,0,0,0,0,0
2009,"Neisseria meningitidis recruits factor H using protein mimicry of host carbohydrates","Schneider M.C., Sim R.B., Roversi P., Johnson S., Tang C.M., Lea S.M., Prosser B.E., Caesar J.J.E., Kugelberg E., Li S., Zhang Q., Quoraishi S., Lovett J.E., Deane J.E.",00280836,"Nature",458, 7240,0,0,0,0,7,7
2009,"Secreted proteins of Neisseria meningitidis protect mice against infection","Li Y., Wooldridge K.G., Javed M.A., Tang C.M., Ala'Aldeen D.A.A.",0264410X,"Vaccine",27, 17,0,0,0,0,0,0
2009,"Growth deficiencies of Neisseria meningitidis pfs and luxS mutants are not due to inactivation of quorum sensing","Heurlier K., Vendeville A., Halliday N., Green A., Winzer K., Tang C.M., Hardie K.R.",00219193,"Journal of Bacteriology",191, 4,0,0,0,0,1,1
2009,"Identification of meningococcal genes necessary for colonization of human upper airway tissue","Exley R.M., Sim R., Goodwin L., Winterbotham M., Schneider M.C., Read R.C., Tang C.M.",00199567,"Infection and Immunity",77, 1,0,0,0,0,1,1
2008,"Mechanisms in Neisseria meningitidis for resistance against complement-mediated killing","Kugelberg E., Gollan B., Tang C.M.",0264410X,"Vaccine",26, 8,0,0,0,0,0,0
2008,"A generic mechanism in Neisseria meningitidis for enhanced resistance against bactericidal antibodies","Uria M.J., Abad R., Borrow R., Fleck R.A., Mulloy B., Vazquez J.A., Tang C.M., Zhang Q., Li Y., Chan A., Exley R.M., Gollan B., Chan H., Feavers I., Yarwood A.",00221007,"Journal of Experimental Medicine",205, 6,0,0,3,3,3,6
2007,"Effect of host lactate on gonococci and meningococci: New concepts on the role of metabolites in pathogenicity","Smith H., Tang C.M., Exley R.M.",00199567,"Infection and Immunity",75, 9,0,0,1,1,1,2
2007,"Interactions between Neisseria meningitidis and the complement system","Schneider M.C., Exley R.M., Ram S., Sim R.B., Tang C.M.",0966842X,"Trends in Microbiology",15, 5,0,1,4,5,7,12
2007,"AP endonuclease paralogues with distinct activities in DNA repair and bacterial pathogenesis","Carpenter E.P., Tang C., Baldwin G.S., Freemont P., Corbett A., Thomson H., Adacha J., Jensen K., Bergeron J., Kasampalidis I., Exley R., Winterbotham M.",02614189,"EMBO Journal",26, 5,0,0,1,1,2,3
2007,"Lactate acquisition promotes successful colonization of the murine genital tract by Neisseria gonorrhoeae","Exley R.M., Wu H., Shaw J., Schneider M.C., Smith H., Jerse A.E., Tang C.M.",00199567,"Infection and Immunity",75, 3,0,3,0,3,4,7
2006,"Signature-tagged mutagenesis: Barcoding mutants for genome-wide screens","Mazurkiewicz P., Tang C.M., Boone C., Holden D.W.",14710056,"Nature Reviews Genetics",7, 12,0,4,10,14,5,19
2006,"Immunization with live Neisseria lactamica protects mice against meningococcal challenge and can elicit serum bactericidal antibodies","Li Y., Zhang Q., Winterbotham M., Mowe E., Gorringe A., Tang C.M.",00199567,"Infection and Immunity",74, 11,0,0,2,2,2,4
2006,"Functional significance of factor H binding to Neisseria meningitidis","Schneider M.C., Exley R.M., Chan H., Feavers I., Kang Y.-H., Sim R.B., Tang C.M.",00221767,"Journal of Immunology",176, 12,0,6,11,17,12,29
2006,"Proteomic analysis of a meningococcal outer membrane vesicle vaccine prepared from the group B strain NZ98/254","Vipond C., Suker J., Jones C., Tang C., Feavers I.M., Wheeler J.X.",16159853,"Proteomics",6, 11,1,11,7,18,8,27
2005,"Identification of pathogen-specific genes through microarray analysis of pathogenic and commensal Neisseria species","Stabler R.A., Marsden G.L., Whitney A.A., Li Y., Bentley S.D., Tang C.M., Hinds J.",13500872,"Microbiology",151, 9,9,10,5,15,9,33
2005,"Neisseria meningitidis lactate permease is required for nasopharyngeal colonization","Exley R.M., Goodwin L., Mowe E., Shaw J., Smith H., Read R.C., Tang C.M.",00199567,"Infection and Immunity",73, 9,2,3,2,5,3,10
2005,"Identification of novel antigens that protect against systemic meningococcal infection","Sun Y., Li Y., Exley R.M., Winterbotham M., Ison C., Smith H., Tang C.M.",0264410X,"Vaccine",23, 32,2,3,0,3,1,6
2005,"Available carbon source influences the resistance of Neisseria meningitidis against complement","Exley R.M., Shaw J., Mowe E., Sun Y.-H., West N.P., Williamson M., Botto M., Smith H., Tang C.M.",00221007,"Journal of Experimental Medicine",201, 10,6,4,5,9,1,16
2005,"Making 'sense' of metabolism: Autoinducer-2, LuxS and pathogenic bacteria","Vendeville A., Winzer K., Heurlier K., Tang C.M., Hardie K.R.",17401526,"Nature Reviews Microbiology",3, 5,27,32,28,60,15,102
2005,"Identification and characterization of genes required for competence in Neisseria meningitidis","Sun Y.-H., Exley R., Li Y., Goulding D., Tang C.",00219193,"Journal of Bacteriology",187, 9,2,0,1,1,0,3
2005,"Optimization of virulence functions through glucosylation of Shigella LPS","West N.P., Tanguy M., Tang C.M., Sansonetti P., Mounier J., Exley R.M., Parsot C., Guadagnini S., Prevost M.-C., Prochnicka-Chalufour A., Delepierre M.",00368075,"Science",307, 5713,30,17,18,35,7,72
2004,"Interactions between Neisseria meningitidis and human cells that promote colonisation and disease","Corbett A., Exley R., Bourdoulous S., Tang C.M.",14623994,"Expert Reviews in Molecular Medicine",6, 14,1,0,1,1,1,3
2004,"Vaccination with Attenuated Neisseria meningitidis Strains Protects against Challenge with Live Meningococci","Li Y., Sun Y.-H., Ison C., Levine M.M., Tang C.M.",00199567,"Infection and Immunity",72, 1,6,0,0,0,2,8
2003,"Finding your niche: What has been learnt from STM studies on GI colonization","West N.P., Sansonetti P.J., Frankel G., Tang C.M.",0966842X,"Trends in Microbiology",11, 7,6,0,1,1,1,8
2003,"The pathogenesis of disease due to type b Haemophilus influenzae.","Aubrey R., Tang C.",,"Methods in molecular medicine",71, ,2,0,0,0,0,2
2002,"Signature Tagged Mutagenesis of Haemophilus influenzae identifies genes required for in vivo survival","Herbert M.A., Hayes S., Deadman M.E., Tang C.M., Hood D.W., Moxon E.R.",08824010,"Microbial Pathogenesis",33, 5,15,3,2,5,3,23
2002,"High throughput in vivo screens: Signature-tagged mutagenesis","West N., Sansonetti P., Tang C.M.",05809517,"Methods in Microbiology",33, ,0,0,0,0,0,0
2002,"Rates of detection of Neisseria meningitidis in tonsils differ in relation to local incidence of invasive disease","Greiner O., Berger C., Day P.J.R., Meier G., Tang C.M., Nadal D.",00951137,"Journal of Clinical Microbiology",40, 11,3,0,0,0,0,3
2002,"Type 1 fimbriae and extracellular polysaccharides are preeminent uropathogenic Escherichia coli virulence determinants in the murine urinary tract","Bahrani-Mougeot F.K., Buckles E.L., Lockatell C.V., Hebel J.R., Johnson D.E., Tang C.M., Donnenberg M.S.",0950382X,"Molecular Microbiology",45, 4,51,10,16,26,4,81
2002,"Transposon-like Correia elements: Structure, distribution and genetic exchange between pathogenic Neisseria sp.","Buisine N., Tang C.M., Chalmers R.",00145793,"FEBS Letters",522, 1-3,17,7,4,11,4,32
2002,"Identification of a gene (lpt-3) required for the addition of phosphoethanolamine to the lipopolysaccharide inner core of Neisseria meningitidis and its role in mediating susceptibility to bactericidal killing and opsonophagocytosis","Mackinnon F.G., Richards J.C., Moxon E.R., Cox A.D., Plested J.S., Tang C.M., Makepeace K., Coull P.A., Wright J.C., Chalmers R., Hood D.W.",0950382X,"Molecular Microbiology",43, 4,34,0,6,6,3,43
