,"Author: Ashby, Damien R.",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 2 (Of the 7 documents considered for the h-Index, 2 have been cited at least 2 times.)",,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,0,1,3,4,7,11
2009,"Response to 'Hepcidin levels in patients with renal disease'","Ashby D.R., Gale D.P., Busbridge M., Maxwell P.H., Choi P.",00852538,"Kidney International",76, 6,0,0,0,0,0,0
2009,"Sustained appetite improvement in malnourished dialysis patients by daily ghrelin treatment","Ashby D.R., Tam F.W.K., Bloom S.R., Choi P., Ford H.E., Wynne K.J., Wren A.M., Murphy K.G., Busbridge M., Brown E.A., Taube D.H., Ghatei M.A.",00852538,"Kidney International",76, 2,0,0,0,0,1,1
2009,"Plasma hepcidin levels are elevated but responsive to erythropoietin therapy in renal disease","Ashby D.R., Chapman R.S., Maxwell P.H., Choi P., Gale D.P., Busbridge M., Murphy K.G., Duncan N.D., Cairns T.D., Taube D.H., Bloom S.R., Tam F.W.K.",00852538,"Kidney International",75, 9,0,0,0,0,3,3
2008,"Gut hormones and the treatment of disease cachexia","Ashby D., Choi P., Bloom S.",00296651,"Proceedings of the Nutrition Society",67, 3,0,0,0,0,2,2
2008,"Dialysis survivors: Clinical status of patients on treatment for more than 10 years","Ashby D., Smith C., Hurril R., Maxwell P., Brown E.",16602110,"Nephron - Clinical Practice",108, 3,0,0,0,0,0,0
2007,"Inadvertent postdialysis anticoagulation due to heparin line locks","Pepper R.J., Gale D.P., Wajed J., Bommayya G., Ashby D., McLean A., Laffan M., Maxwell P.H.",14927535,"Hemodialysis International",11, 4,0,0,2,2,0,2
2007,"Recent progress in PYY research-An update report for 8th NPY meeting","Ashby D., Bloom S.R.",01969781,"Peptides",28, 2,0,1,1,2,1,3
