,"Author: Chai, Jian Guo",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 14 (Of the 21 documents considered for the h-Index, 14 have been cited at least 14 times.)",,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,516,74,56,130,31,677
2009,"T-cell receptor- and CD28-induced Vav1 activity is required for the accumulation of primed T cells into antigenic tissue.","David R., Ma L., Ivetic A., Takesono A., Ridley A.J., Chai J.G., Tybulewicz V.L., Marelli-Berg F.M.",15280020,"Blood",113, 16,0,0,0,0,0,0
2008,"Dissection of effector pathways in the host-versus-graft response to bone marrow transplantation","Weng L., Addey C., Warrens A.N., Dyson J., Chai J.-G., Dazzi F.",00411337,"Transplantation",86, 9,0,0,0,0,0,0
2008,"In vitro expansion improves in vivo regulation by CD4+CD25 + regulatory T cells","Chai J.-G., Coe D., Chen D., Simpson E., Dyson J., Scott D.",00221767,"Journal of Immunology",180, 2,0,0,2,2,5,7
2007,"Natural regulation of immunity to minor histocompatibility antigens","Robertson N.J., Chai J.-G., Millrain M., Scott D., Hashim F., Manktelow E., Lemonnier F., Simpson E., Dyson J.",00221767,"Journal of Immunology",178, 6,0,1,2,3,0,3
2005,"Mixed-haplotype MHC class II molecules select functional CD4+ T cells","Silk J.D., Schoendorf D., Bartok I., Chai J.-G., Gray D., Simpson E., Dyson J.",01615890,"Molecular Immunology",42, 10,0,0,0,0,0,0
2005,"Regulatory T cells, derived from naïve CD4+CD25- T cells by in vitro Foxp3 gene transfer, can induce transplantation tolerance","Chai J.-G., Sakaguchi S., Dyson J., Xue S.-A., Coe D., Addey C., Bartok I., Scott D., Simpson E., Stauss H.J., Hori S.",00411337,"Transplantation",79, 10,25,18,10,28,11,64
2004,"Transplantation tolerance induced by intranasal administration of HY peptides","Chai J.-G., James E., Dewchand H., Simpson E., Scott D.",00064971,"Blood",103, 10,16,2,5,7,4,27
2003,"Multiparity induces priming to male-specific minor histocompatibility antigen, HY, in mice and humans","James E., Chai J.-G., Dewchand H., Macchiarulo E., Dazzi F., Simpson E.",00064971,"Blood",102, 1,27,6,1,7,1,35
2003,"Antigen presentation by mouse CD4+ T cells involving acquired MHC class II:peptide complexes: Another mechanism to limit clonal expansion?","Tsang J.Y.S., Chai J.G., Lechler R.",00064971,"Blood",101, 7,26,10,4,14,3,43
2002,"HY peptides modulate transplantation responses to skin allografts","James E., Scott D., Chai J.-G., Millrain M., Chandler P., Simpson E.",09538178,"International Immunology",14, 11,16,2,1,3,1,20
2002,"Acquisition of MHC:Peptide complexes by mouse CD4+ T cells may play a role in T-cell-mediated immunoregulation","Tsang J.Y.S., Chai J.-G., Lechler R.",00411345,"Transplantation Proceedings",34, 7,0,4,1,5,1,6
2002,"CD4+CD25+ T cells as immunoregulatory T cells in vitro","Chai J.-G., Tsang J.Y.S., Lechler R., Simpson E., Dyson J., Scott D.",00142980,"European Journal of Immunology",32, 8,28,1,2,3,1,32
2001,"The contributions of T-cell anergy to peripheral T-cell tolerance","Lechler R., Chai J.-G., Marelli-Berg F., Lombardi G.",00192805,"Immunology",103, 3,29,8,5,13,2,44
2001,"T-cell anergy and peripheral T-cell tolerance","Lechler R., Chai J.-G., Marelli-Berg F., Lombardi G.",09628436,"Philosophical Transactions of the Royal Society B: Biological Sciences",356, 1409,18,3,2,5,1,24
2000,"CD152 ligation by CD80 on T cells is required for the induction of unresponsiveness by costimulation-deficient antigen presentation","Chai J.-G., Vendetti S., Amofah E., Dyson J., Lechler R.",00221767,"Journal of Immunology",165, 6,23,2,2,4,0,27
2000,"Anergic T cells inhibit the antigen-presenting function of dendritic cells","Vendetti S., Chai J.-G., Dyson J., Simpson E., Lombardi G., Lechler R.",00221767,"Journal of Immunology",165, 3,109,6,6,12,1,122
1999,"Critical role of costimulation in the activation of naive antigen- specific TCR transgenic CD8+ T cells in vitro","Chai J.-G., Vendetti S., Bartok I., Schoendorf D., Takacs K., Elliott J., Lechler R., Dyson J.",00221767,"Journal of Immunology",163, 3,25,3,2,5,0,30
1999,"Anergic T cells act as suppressor cells in vitro and in vivo","Chai J.-G., Bartok I., Chandler P., Vendetti S., Antoniou A., Dyson J., Lechler R.",00142980,"European Journal of Immunology",29, 2,91,4,5,9,0,100
1998,"T:T antigen presentation by activated murine CD8+ T cells induces anergy and apoptosis","Chai J.-G., Bartok I., Scott D., Dyson J., Lechler R.",00221767,"Journal of Immunology",160, 8,32,2,1,3,0,35
1997,"Immobilized anti-CD3 mAb induces anergy in murine naive and memory CD4+ T cells in vitro","Chai J.-G., Lechler R.I.",09538178,"International Immunology",9, 7,28,2,3,5,0,33
1996,"Development of functional rat-derived T cells in SCID mice engrafted with the fetal thymus of LEC rats which are defective in CD4+ Y cells","Chai J.-G., Izumi K., Matsumoto K., Himeno K., Sakai T., Hisaeda H., Nagasawa H., Yasutomo K., Furukawa A., Ishikawa H., Maekawa Y., Uehara H.",03855600,"Microbiology and Immunology",40, 9,0,0,1,1,0,1
1995,"Dissociation between the mitogenic effect and antitumor activity of seed extract from Aeginetia indica L.","Chai J.-G., Okamoto M., Bando T., Nagasawa H., Hisaeda H., Sakai T., Himeno K., Sato M., Ohkubo S.",01623109,"Immunopharmacology",30, 3,5,0,0,0,0,5
1994,"Seed extract of Aeginetia indica L induces cytokine production and lymphocyte proliferation in vitro","Chai J.-G., Bando T., Nagasawa H., Himeno K., Sato M., Ohkubo S.",01623109,"Immunopharmacology",27, 1,7,0,1,1,0,8
1992,"An extract of seeds from Aeginetia indica L., a parasitic plant, induces potent antigen-specific antitumor immunity in Meth A-bearing BALB/c mice","Chai J.-G., Ohkubo S., Bando T., Kobashi S., Oka M., Nagasawa H., Nakai S., Maeda K.-I., Himeno K., Sato M.",03407004,"Cancer Immunology Immunotherapy",35, 3,11,0,0,0,0,11
