,"This is a citation overview for a set of 14 documents.",,,,,,,,,,,,
,,,,,,,,,,,,,
,"h index = 8 (Of the 14 documents considered for the h-Index, 8 have been cited at least 8 times.)",,,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,<2010,2010,2011,2012,subtotal,>2012,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,303,55,42,21,118,0,421
2009,"[Effect of WWOX gene on the attachment and adhesion of ovarian cancer cells].","Zhang J.Q., Li L., Song H.L., Paige A., Gabra H.",0529567X,"Zhonghua fu chan ke za zhi",44, 7,0,0,1,0,1,0,1
2009,"WWOX gene expression abolishes ovarian cancer tumorigenicity in vivo and decreases attachment to fibronectin via integrin ?3","Gourley C., Muir M., Smyth J.F., Gabra H., Paige A.J.W., Taylor K.J., Ward C., Kuske B., Zhang J., Sun M., Janczar S., Harrison D.J.",00085472,"Cancer Research",69, 11,3,3,3,2,8,0,11
2009,"PPM1D is a potential therapeutic target in ovarian clear cell carcinomas","Tan D.S.P., Lambros M.B.K., Rayter S., Natrajan R., Vatcheva R., Gao Q., Marchio C., Geyer F.C., Savage K., Parry S., Fenwick K., Tamber N., Mackay A., Dexter T., Jameson C., McCluggage W.G., Williams A., Graham A., Faratian D., El-Bahrawy M., Paige A.J., Gabra H., Gore M.E., Zvelebil M., Lord C.J., Kaye S.B., Ashworth A., Reis-Filho J.S.",10780432,"Clinical Cancer Research",15, 7,1,11,6,6,23,0,24
2009,"Targeting locoregional peritoneal dissemination in ovarian cancer","Janczar S., Graham J.S., Paige A.J.W., Gabra H.",17474108,"Expert Review of Obstetrics and Gynecology",4, 2,0,0,0,0,0,0,0
2008,"Pharmaco(epi)genomics in ovarian cancer","Paige A.J.W., Brown R.",14622416,"Pharmacogenomics",9, 12,1,3,1,0,4,0,5
2008,"Homozygous deletions may be markers of nearby heterozygous mutations: The complex deletion at FRA16D in the HCT116 colon cancer cell line removes exons of WWOX","Alsop A.E., Taylor K., Zhang J., Gabra H., Paige A.J.W., Edwards P.A.W.",10452257,"Genes Chromosomes and Cancer",47, 5,4,2,4,0,6,0,10
2005,"WWOX mRNA expression profile in epithelial ovarian cancer supports the role of WWOX variant 1 as a tumour suppressor, although the role of variant 4 remains unclear.","Gourley C., Paige A.J., Taylor K.J., Scott D., Francis N.J., Rush R., Aldaz C.M., Smyth J.F., Gabra H.",10196439,"International journal of oncology",26, 6,13,5,3,1,9,0,22
2003,"Redefining tumour suppressor genes: Exceptions to the two-hit hypothesis","Paige A.J.W.",1420682X,"Cellular and Molecular Life Sciences",60, 10,17,2,1,1,4,0,21
2003,"Defects in whirlin, a PDZ domain molecule involved in stereocilia elongation, cause deafness in the whirler mouse and families with DFNB31","Mburu P., Coimbra R.S., Perfettini I., Parkinson N., Mallon A.-M., Glenister P., Rogers M.J., Paige A.J., Moir L., Clay J., Rosenthal A., Mustapha M., Liu X.Z., Blanco G., Steel K.P., Petit C., Brown S.D.M., Varela A., Weil D., El-Amraoui A., Holme R.H., Rump A., Hardisty R.E., Blanchard S.",10614036,"Nature Genetics",34, 4,90,15,10,8,33,0,123
2001,"WWOX: A candidate tumor suppressor gene involved in multiple tumor types","Paige A.J.W., Taylor K.J., Taylor C., Hillier S.G., Farrington S., Scott D., Porteous D.J., Smyth J.F., Gabra H., Watson J.E.V.",00278424,"Proceedings of the National Academy of Sciences of the United States of America",98, 20,98,14,10,3,27,0,125
2000,"A 700-kb physical map of a region of 16q23.2 homozygously deleted in multiple cancers and spanning the common fragile site FRA16D","Paige A.J.W., Taylor K.J., Stewart A., Sgouros J.G., Gabra H., Sellar G.C., Smyth J.F., Porteous D.J., Watson J.E.V.",00085472,"Cancer Research",60, 6,73,0,2,0,2,0,75
2000,"A deletion on chromosome 4 cosegregates with the whirler deafness mutation: Exclusion of Orm1 as a candidate","Paige A.J.W., Kiernan B.W., Varela A., Rogers M.J.C., Hughes D., Steel K.P., Brown S.D.M.",09388990,"Mammalian Genome",11, 1,3,0,1,0,1,0,4
1997,"Analysis of the deaf mouse mutant, whirler","Kiernan B.W., Fleming J., Rogers M.J.C., Self T.J., Varela A., Paige A.J.W., Brown S.D.M., Steel K.P.",03005364,"British Journal of Audiology",31, 2,0,0,0,0,0,0,0
1996,"Progress in the identification of the whirler mutation","Fleming J., Rogers M.J.C., Paige A., Varela A., Hughes D.C., Ward M., Brown S.D.M., Steel K.P.",03005364,"British Journal of Audiology",30, 2,0,0,0,0,0,0,0
