,"This is a citation overview for a set of 16 documents.",,,,,,,,,,,,
,,,,,,,,,,,,,
,"h index = 12 (Of the 16 documents considered for the h-Index, 12 have been cited at least 12 times.)",,,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,<2010,2010,2011,2012,subtotal,>2012,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,347,123,143,39,305,0,652
2009,"New paradigms in the pathogenesis of chronic obstructive pulmonary disease II","Sethi S., Mallia P., Johnston S.L.",15463222,"Proceedings of the American Thoracic Society",6, 6,1,7,10,2,19,0,20
2008,"Respiratory syncytial virus persistence in chronic obstructive pulmonary disease","Sikkel M.B., Quint J.K., Mallia P., Wedzicha J.A., Johnston S.L.",08913668,"Pediatric Infectious Disease Journal",27, 10,10,8,9,1,18,0,28
2008,"Rhinovirus-induced lower respiratory illness is increased in asthma and related to virus load and Th1/2 cytokine and IL-10 production","Message S.D., Papi A., Jeffery P.K., Stanciu L.A., Johnston S.L., Laza-Stanca V., Mallia P., Parker H.L., Zhu J., Kebadze T., Contoli M., Sanderson G., Kon O.M.",00278424,"Proceedings of the National Academy of Sciences of the United States of America",105, 36,17,22,34,5,61,0,78
2007,"Diagnosis of pathogens in exacerbations of chronic obstructive pulmonary disease","Sykes A., Mallia P., Johnston S.L.",15463222,"Proceedings of the American Thoracic Society",4, 8,8,1,3,1,5,0,13
2007,"A human rhinovirus model of chronic obstructive pulmonary disease exacerbations","Contoli M., Caramori G., Mallia P., Papi A., Johnston S.",14209519,"Contributions to Microbiology",14, ,2,0,0,0,0,0,2
2007,"Models of infection and exacerbations in COPD [Curr. Opin. Pharmacol. 7 (2007) 259-265] (DOI:10.1016/j.coph.2006.11.015)","Papi A., Contoli M., Caramori G., Mallia P., Johnston S.L.",14714892,"Current Opinion in Pharmacology",7, 4,0,0,0,0,0,0,0
2007,"Influenza infection and COPD","Mallia P., Johnston S.L.",11769106,"International Journal of COPD",2, 1,3,1,2,1,4,0,7
2007,"Models of infection and exacerbations in COPD","Papi A., Contoli M., Gaetano C., Mallia P., Johnston S.L.",14714892,"Current Opinion in Pharmacology",7, 3,4,1,0,0,1,0,5
2007,"Mechanisms of virus-induced asthma exacerbations: State-of-the-art. A GA2LEN and InterAirways document","Papadopoulos N.G., D'Ambrosio C., Bonini S., Bossios A., Lotval J., Van Cauwenberge P., Holgate S.T., Canonica G.W., Szczeklik A., Rohde G., Kimpen J., Xepapadaki P., Pitkaranta A., Makela M., Chanez P., Ring J., Johnston S.L., Mallia P., Brusselle G., Watelet J.-B., Xatzipsalti M., Foteinos G., Van Drunen C.M., Fokkens W.J.",01054538,"Allergy: European Journal of Allergy and Clinical Immunology",62, 5,30,13,6,1,20,0,50
2007,"Exacerbations of asthma and chronic obstructive pulmonary disease (COPD): Focus on virus induced exacerbations","Mallia P., Contoli M., Caramori G., Pandit A., Johnston S.L., Papi A.",13816128,"Current Pharmaceutical Design",13, 1,15,0,6,1,7,0,22
2006,"How viral infections cause exacerbation of airway diseases","Mallia P., Johnston S.L.",00123692,"Chest",130, 4,40,8,16,3,27,0,67
2006,"An experimental model of rhinovirus induced chronic obstructive pulmonary disease exacerbations: A pilot study","Mallia P., Message S.D., Kebadze T., Parker H.L., Kon O.M., Johnston S.L.",1465993X,"Respiratory Research",7, ,20,7,7,1,15,0,35
2006,"Role of deficient type III interferon-? production in asthma exacerbations","Contoli M., Message S.D., Laza-Stanca V., Edwards M.R., Wark P.A.B., Bartlett N.W., Kebadze T., Mallia P., Stanciu L.A., Parker H.L., Slater L., Lewis-Antes A., Kon O.M., Holgate S.T., Davies D.E., Kotenko S.V., Papi A., Johnston S.L.",10788956,"Nature Medicine",12, 9,142,47,47,20,114,0,256
2005,"Mechanisms and experimental models of chronic obstructive pulmonary exacerbations","Mallia P., Johnston S.L.",15463222,"Proceedings of the American Thoracic Society",2, 4,12,4,0,1,5,0,17
2005,"Mechanisms of respiratory virus-induced asthma exacerbations","Contoli M., Caramori G., Mallia P., Johnston S., Papi A.",09547894,"Clinical and Experimental Allergy",35, 2,21,2,2,2,6,0,27
2002,"Respiratory viruses: Do they protect from or induce asthma?","Mallia P., Johnston S.L.",01054538,"Allergy: European Journal of Allergy and Clinical Immunology",57, 12,22,2,1,0,3,0,25
