,"This is a citation overview for a set of 62 documents.",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 27 (Of the 62 documents considered for the h-Index, 27 have been cited at least 27 times.)",,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,1551,270,348,618,220,2389
2009,"Treatment of asphyxiated newborns with moderate hypothermia in routine clinical practice: How cooling is managed in the UK outside a clinical trial","Azzopardi D., Strohm B., Edwards A.D., Halliday H., Juszczak E., Levene M., Thoresen M., Whitelaw A., Brocklehurst P.",00039888,"Archives of Disease in Childhood: Fetal and Neonatal Edition",94, 4,0,0,0,0,0,0
2009,"Patterns of brain injury and outcome in term neonates presenting with postnatal collapse","Foran A., Cinnante C., Groves A., Azzopardi D.V., Rutherford M.A., Cowan F.M.",00039888,"Archives of Disease in Childhood: Fetal and Neonatal Edition",94, 3,0,0,0,0,0,0
2009,"Therapeutic hypothermia for neonatal encephalopathy: A UK survey of opinion, practice and neuro-investigation at the end of 2007","Kapetanakis A., Azzopardi D., Wyatt J., Robertson N.J.",08035253,"Acta Paediatrica, International Journal of Paediatrics",98, 4,0,0,0,0,0,0
2008,"Patterns of brain injury in neonates exposed to perinatal sentinel events","Okereafor A., Allsop J., Counsell S.J., Fitzpatrick J., Azzopardi D., Rutherford M.A., Cowan F.M.",00314005,"Pediatrics",121, 5,0,0,1,1,5,6
2008,"The TOBY study. Whole body hypothermia for the treatment of perinatal asphyxial encephalopathy: A randomised controlled trial","Azzopardi D., Brocklehurst P., Edwards D., Halliday H., Levene M., Thoresen M., Whitelaw A.",14712431,"BMC Pediatrics",8, ,0,0,3,3,7,10
2008,"Elevated morphine concentrations in neonates treated with morphine and prolonged hypothermia for hypoxic ischemic encephalopathy","Roka A., Melinda K.T., Vasarhelyi B., Machay T., Azzopardi D., Szabo M.",00314005,"Pediatrics",121, 4,0,0,4,4,4,8
2008,"Therapeutic Hypothermia Changes the Prognostic Value of Clinical Evaluation of Neonatal Encephalopathy","Gunn A.J., Polin R.A., Robertson C.M., Thoresen M., Wyatt J.S., Whitelaw A., Barks J., Azzopardi D., Ballard R., Edwards A.D., Ferriero D.M., Gluckman P.D.",00223476,"Journal of Pediatrics",152, 1,0,0,3,3,6,9
2007,"Hypothermia","Azzopardi D., Edwards A.D.",1744165X,"Seminars in Fetal and Neonatal Medicine",12, 4,0,1,5,6,6,12
2007,"Determinants of outcomes after head cooling for neonatal encephalopathy","Wyatt J.S., Thoresen M., Whitelaw A., Gunn A.J., Gluckman P.D., Liu P.Y., Azzopardi D., Ballard R., Edwards A.D., Ferriero D.M., Polin R.A., Robertson C.M.",00314005,"Pediatrics",119, 5,0,6,20,26,14,40
2007,"Hypoxic-ischaemic encephalopathy","Cowan F., Azzopardi D.",17517222,"Paediatrics and Child Health",17, 2,0,0,0,0,0,0
2007,"Lack of influence of mild hypothermia on amplitude integrated-electroencephalography in neonates receiving extracorporeal membrane oxygenation","Horan M., Azzopardi D., Edwards A.D., Firmin R.K., Field D.",03783782,"Early Human Development",83, 2,0,0,5,5,0,5
2007,"Maturation of cerebral electrical activity and development of cortical folding in young very preterm infants","Biagioni E., Cowan F., Rutherford M., Azzopardi D., Mercuri E., Frisone M.F., Laroche S., Kapetanakis B.A., Ricci D., Adeyi-Obe M., Lewis H., Kennea N., Cioni G.",13882457,"Clinical Neurophysiology",118, 1,0,1,1,2,5,7
2006,"Artifacts on electroencephalograms may influence the amplitude-integrated EEG classification: A qualitative analysis in neonatal encephalopathy","Hagmann C.F., Robertson N.J., Azzopardi D.",00314005,"Pediatrics",118, 6,0,0,5,5,3,8
2006,"Re: Palliation bias is being overlooked in neonatal hypothermia trials","Edwards A.D., Azzopardi D.V.",00039888,"Archives of Disease in Childhood: Fetal and Neonatal Edition",91, 6,0,0,0,0,0,0
2006,"In reply [14]","Thoresen M., Whitelaw A., Azzopardi D., Renowden S., Edwards A.D., Rutherford M.A.",00314005,"Pediatrics",117, 6,0,0,0,0,0,0
2006,"Therapeutic hypothermia following perinatal asphyxia","Edwards A.D., Azzopardi D.V.",00039888,"Archives of Disease in Childhood: Fetal and Neonatal Edition",91, 2,5,14,8,22,3,30
2006,"Hypothermia and perinatal asphyxia: Executive summary of the National Institute of Child Health and Human Development workshop","Higgins R.D., Gunn A.J., Jacobs S.E., Eicher D.J., Jobe A.H., Laptook A.R., Leblanc M.H., Palmer C., Shankaran S., Soll R.F., Stark A.R., Raju T.N.K., Thoresen M., Wyatt J., Perlman J., Azzopardi D.V., Blackmon L.R., Clark R.H., Edwards A.D., Ferriero D.M., Gluckman P.D.",00223476,"Journal of Pediatrics",148, 2,3,17,15,32,9,44
2005,"Mild hypothermia and the distribution of cerebral lesions in neonates with hypoxic-ischemic encephalopathy","Rutherford M.A., Azzopardi D., Whitelaw A., Cowan F., Renowden S., Edwards A.D., Thoresen M.",00314005,"Pediatrics",116, 4,13,11,17,28,7,48
2005,"Selective head cooling with mild systemic hypothermia after neonatal encephalopathy: Multicentre randomised trial","Gluckman P.D., Whitelaw A., Gunn A.J., Wyatt J.S., Azzopardi D., Ballard R., Edwards A.D., Ferriero D.M., Polin R.A., Robertson C.M., Thoresen M.",01406736,"Lancet",365, 9460,124,82,102,184,62,370
2004,"A pilot investigation of mild hypothermia in neonates receiving extracorporeal membrane oxygenation (ECMO)","Horan M., Ichiba S., Firmin R.K., Killer H.M., Edwards D., Azzopardi D., Hodge R., Kotecha S., Field D.",00223476,"Journal of Pediatrics",144, 3,6,2,1,3,0,9
2001,"Brain injury in the newborn","Azzopardi D.",17208424,"Italian Journal of Pediatrics",27, 6,0,0,0,0,0,0
2001,"Monitoring of deep brain temperature in infants using multi-frequency microwave radiometry and thermal modelling","Hand J.W., Van Leeuwen G.M.J., Mizushina S., Van De Kamer J.B., Maruyama K., Sugiura T., Azzopardi D.V., Edwards A.D.",00319155,"Physics in Medicine and Biology",46, 7,8,3,4,7,0,15
2001,"Comparison of findings on cranial ultrasound and magnetic resonance imaging in preterm infants","Maalouf E.F., Duggan P.J., Counsell S.J., Rutherford M.A., Cowan F., Azzopardi D., Edwards A.D.",00314005,"Pediatrics",107, 4 I,69,16,17,33,12,114
2001,"Combined use of electroencephalogram and magnetic resonance imaging in full-term neonates with acute encephalopathy","Biagioni E., Mercuri E., Rutherford M., Cowan F., Azzopardi D., Frisone M.F., Cioni G., Dubowitz L.",00314005,"Pediatrics",107, 3,28,4,5,9,2,39
2000,"Occipital sawtooth: A physiological EEG pattern in very premature infants","Biagioni E., Frisone M.F., Laroche S., Rutherford M., Counsell S., Cioni G., Azzopardi D., Mercuri E., Cowan F.",13882457,"Clinical Neurophysiology",111, 12,3,3,2,5,0,8
2000,"Pilot study of treatment with whole body hypothermia for neonatal encephalopathy","Azzopardi D., Robertson N.J., Cowan F.M., Rutherford M.A., Rampling M., Edwards A.D.",00314005,"Pediatrics",106, 4 I,85,10,20,30,6,121
2000,"Timing and etiology of neonatal cerebral infarction [1] (multiple letters)","Fox A.M., Dubowitz L., Mercuri E., Rutherford M., Cowan F., Pennock J., Counsell S., Papadimitriou M., Azzopardi D., Bydder G.",00314005,"Pediatrics",106, 3,3,0,0,0,0,3
2000,"International Guidelines for Neonatal Resuscitation: An excerpt from the Guidelines 2000 for Cardiopulmonary Resuscitation and Emergency Cardiovascular Care: International Consensus on Science. Contributors and Reviewers for the Neonatal Resuscitation Guidelines.","Niermeyer S., Boyle R., Burchfield D., Carlo W., Chameides L., Denson S., Fallat M., Gerardi M., Gunn A., Hazinski M.F., Keenan W., Kattwinkel J., Knaebel S., Milner A., Perlman J., Saugstad O.D., Schleien C., Solimano A., Speer M., Toce S., Wiswell T., Zaritsky A., Van Reempts P., Nadkarni V., Phillips B., Zideman D., Azzopardi D., Berg R., Boyle D.",10984275,"Pediatrics",106, 3,131,11,12,23,5,159
2000,"Numerical modeling of temperature distributions within the neonatal head","Van Leeuwen G.M.J., Hand J.W., Lagendijk J.J.W., Azzopardi D.V., Edwards A.D.",00313998,"Pediatric Research",48, 3,35,9,3,12,3,50
2000,"Perinatal hypoxia-ischemia and brain injury","Edwards A.D., Azzopardi D.V.",00313998,"Pediatric Research",47, 4 I,15,3,5,8,1,24
2000,"Algorithm for retrieval of deep brain temperature in new-born infant from microwave radiometric data","Mizushina S., Land D., Maruyma K., Sugiura T., Van Leeuwen G.M.J., Hand J.W., Marrocco G., Bardati F., Edwards A.D., Azzopardi D.",0149645X,"IEEE MTT-S International Microwave Symposium Digest",2, ,2,0,1,1,0,3
2000,"Randomized double-blind controlled trial comparing the effects of ibuprofen with indomethacin on cerebral hemodynamics in preterm infants with patent ductus arteriosus","Patel J., Roberts I., Azzopardi D., Hamilton P., Edwards A.D.",00313998,"Pediatric Research",47, 1,49,9,12,21,2,72
1999,"Cerebral intracellular lactic alkalosis persisting months after neonatal encephalopathy measured by magnetic resonance spectroscopy","Robertson N.J., Cox I.J., Cowan F.M., Counsell S.J., Azzopardi D., Edwards A.D.",00313998,"Pediatric Research",46, 3,30,2,1,3,1,34
1999,"Prediction of neurological outcome after birth asphyxia from early continuous two-channel electroencephalography","Azzopardi D., Guarino I., Brayshaw C., Cowan F., Price-Williams D., Edwards A.D., Acolet D.",03783782,"Early Human Development",55, 2,11,5,4,9,2,22
1999,"Assessment of neonatal encephalopathy by amplitude-integrated electroencephalography","Al Naqeeb N., Edwards A.D., Cowan F.M., Azzopardi D.",00314005,"Pediatrics",103, 6 I,80,14,17,31,9,120
1999,"Intracranial haemorrhage due to vitamin K deficiency following gastroenteritis in an infant","Manji K.P., Azzopardi D.",01426338,"Journal of Tropical Pediatrics",45, 2,3,1,0,1,1,5
