,"This is a citation overview for a set of 146 documents.",,,,,,,,,,,,
,,,,,,,,,,,,,
,"h index = 38 (Of the 146 documents considered for the h-Index, 38 have been cited at least 38 times.)",,,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,<2010,2010,2011,2012,subtotal,>2012,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,4404,401,426,124,951,0,5355
2009,"New developments in the management of malaria in adults","Roe J.K., Pasvol G.",14602725,"QJM",102, 12,0,2,0,0,2,0,2
2009,"Frequencies of region of difference 1 antigen-specific but not purified protein derivative-specific gamma interferon-secreting T cells correlate with the presence of tuberculosis disease but do not distinguish recent from remote latent infections","Hinks T.S.C., Soysal A., Davidson R.N., Gunatheesan R., Lalvani A., Dosanjh D.P.S., Innes J.A., Pasvol G., Hackforth S., Varia H., Millington K.A., Liu X.-Q., Bakir M.",00199567,"Infection and Immunity",77, 12,0,3,5,0,8,0,8
2009,"New developments in the management of malaria in adults","Roe J.K., Pasvol G.",14602725,"QJM",102, 10,0,0,0,0,0,0,0
2009,"High levels of multidrug resistant tuberculosis in new and treatment-failure patients from the revised national tuberculosis control programme in an urban metropolis (Mumbai) in Western India","D'Souza D.T.B., Mistry N.F., Vira T.S., Dholakia Y., Hoffner S., Pasvol G., Nicol M., Wilkinson R.J.",14712458,"BMC Public Health",9, ,1,4,6,3,13,0,14
2009,"Are children with homozygous sickle cell disease really at a disadvantage in the face of Malaria? the malaria hypothesis revisited","Pasvol G.",10584838,"Clinical Infectious Diseases",49, 2,0,0,1,0,1,0,1
2009,"Recent advances in tropical medicine","Solomon A.W., Nayagam S., Pasvol G.",00359203,"Transactions of the Royal Society of Tropical Medicine and Hygiene",103, 7,0,0,2,0,2,0,2
2009,"Corrigendum to ""UK malaria treatment guidelines"" [Journal of Infection 54 (2007) 111-121] (DOI:10.1016/j.jinf.2006.12.003)","Lalloo D.G., Shingadia D., Pasvol G., Chiodini P.L., Whitty C.J., Beeching N.J., Hill D.R., Warrell D.A., Bannister B.A.",01634453,"Journal of Infection",59, 1,0,0,0,0,0,0,0
2009,"Fever in returned travellers presenting in the United Kingdom: Recommendations for investigation and initial management","Johnston V., Stockley J.M., Dockrell D., Warrell D., Bailey R., Pasvol G., Klein J., Ustianowski A., Jones M., Beeching N.J., Brown M., Chapman A.L.N., Sanderson F., Whitty C.J.M.",01634453,"Journal of Infection",59, 1,0,4,5,3,12,0,12
